Song Index,Song Name,Difficulty,Onset_Alignment_Pct,Beat_Alignment_Pct,File_Used
1,Bad Ketchup,Beginner,39.9%,100.0%,Bad Ketchup_Beginner_gemini-pro-latest_task0001_20260224_014019.csv
1,Bad Ketchup,Easy,-,-,No file found
1,Bad Ketchup,Medium,37.8%,100.0%,Bad Ketchup_Medium_gemini-pro-latest_task0003_20260224_034040.csv
1,Bad Ketchup,Hard,40.7%,100.0%,Bad Ketchup_Hard_gemini-pro-latest_20260219_060905.csv
1,Bad Ketchup,Challenge,-,-,No file found
2,Bitch Clap,Beginner,54.0%,100.0%,Bitch Clap_Beginner_gemini-pro-latest_task0001_20260224_020718.csv
2,Bitch Clap,Easy,-,-,No file found
2,Bitch Clap,Medium,54.8%,100.0%,Bitch Clap_Medium_gemini-pro-latest_task0003_20260224_040946.csv
2,Bitch Clap,Hard,55.7%,100.0%,Bitch Clap_Hard_gemini-pro-latest_20260219_065826.csv
2,Bitch Clap,Challenge,-,-,No file found
3,Call Me Maybe (Remix),Beginner,-,-,No file found
3,Call Me Maybe (Remix),Easy,-,-,No file found
3,Call Me Maybe (Remix),Medium,38.7%,90.0%,Call Me Maybe (Remix)_Medium_gemini-pro-latest_task0003_20260224_043625.csv
3,Call Me Maybe (Remix),Hard,40.9%,87.3%,Call Me Maybe (Remix)_Hard_gemini-pro-latest_20260219_134240.csv
3,Call Me Maybe (Remix),Challenge,-,-,No file found
4,Dead Hollywood,Beginner,19.3%,100.0%,Dead Hollywood_Beginner_gemini-pro-latest_task0001_20260224_023743.csv
4,Dead Hollywood,Easy,-,-,No file found
4,Dead Hollywood,Medium,20.5%,100.0%,Dead Hollywood_Medium_gemini-pro-latest_task0003_20260224_044132.csv
4,Dead Hollywood,Hard,24.1%,100.0%,Dead Hollywood_Hard_gemini-pro-latest_20260219_135027.csv
4,Dead Hollywood,Challenge,-,-,No file found
5,Deal With It,Beginner,35.6%,90.1%,Deal With It_Beginner_gemini-pro-latest_task0001_20260224_025011.csv
5,Deal With It,Easy,-,-,No file found
5,Deal With It,Medium,35.3%,88.1%,Deal With It_Medium_gemini-pro-latest_task0003_20260224_050040.csv
5,Deal With It,Hard,34.2%,99.8%,Deal With It_Hard_gemini-pro-latest_20260219_140855.csv
5,Deal With It,Challenge,-,-,No file found
6,Gangnam Style,Beginner,65.7%,100.0%,Gangnam Style_Beginner_gemini-pro-latest_task0001_20260224_014640.csv
