file_path,file_name,extension,duration_sec,n_onsets,onsets_per_sec,associated_chart
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/âƒÇÃÉtÉ@ÉìÉ^ÉWÉA/âƒÇÃÉtÉ@ÉìÉ^ÉWÉA.mp3,âƒÇÃÉtÉ@ÉìÉ^ÉWÉA.mp3,.mp3,113.06,437,3.8653,âƒÇÃÉtÉ@ÉìÉ^ÉWÉA.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÇÌÇΩÇµÇÃÇ≥ÇµÇ∑ÇπÇª/ÇÌÇΩÇµÇÃÇ≥ÇµÇ∑ÇπÇª.mp3,ÇÌÇΩÇµÇÃÇ≥ÇµÇ∑ÇπÇª.mp3,.mp3,97.3,220,2.2611,ÇÌÇΩÇµÇÃÇ≥ÇµÇ∑ÇπÇª.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Piece of Time Ex/Piece of Time.mp3,Piece of Time.mp3,.mp3,133.38,425,3.1864,Piece of Time.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô/ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô.mp3,ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô.mp3,.mp3,102.74,311,3.0271,ÉÅÉ`ÉÉóˆÇÁÇÒÇ‹ÇÒÅô.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Girls spirit/Girls spirit.mp3,Girls spirit.mp3,.mp3,89.12,77,0.864,Girls spirit.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Love Hell Rocket/Love Hell Rocket.mp3,Love Hell Rocket.mp3,.mp3,86.67,343,3.9573,Love Hell Rocket.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ge-Ko-Ku-Jo/Ge-Ko-Ku-Jo.mp3,Ge-Ko-Ku-Jo.mp3,.mp3,123.13,479,3.8902,Ge-Ko-Ku-Jo.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Precious Line/Precious Line.mp3,Precious Line.mp3,.mp3,111.49,443,3.9734,Precious Line.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/DENGEKI Tube/DENGEKI Tube.mp3,DENGEKI Tube.mp3,.mp3,114.73,499,4.3493,DENGEKI Tube.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Ç‹Ç¡ÇµÇÆÇÁÅI Ex/Ç‹Ç¡ÇµÇÆÇÁÅI.mp3,Ç‹Ç¡ÇµÇÆÇÁÅI.mp3,.mp3,115.54,390,3.3755,Ç‹Ç¡ÇµÇÆÇÁÅI.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/my sweet heart Ex/my sweet heart.mp3,my sweet heart.mp3,.mp3,87.35,258,2.9535,my sweet heart.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/èÓîMÇÃÉîÉHÉuÉã/èÓîMÇÃÉîÉHÉuÉã.mp3,èÓîMÇÃÉîÉHÉuÉã.mp3,.mp3,119.3,415,3.4786,èÓîMÇÃÉîÉHÉuÉã.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Change&Chance!/Change&Chance!.mp3,Change&Chance!.mp3,.mp3,92.34,189,2.0467,Change&Chance!.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Feel The Beat/Feel The Beat.mp3,Feel The Beat.mp3,.mp3,122.53,231,1.8853,Feel The Beat.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Bright Pain/Bright Pain.mp3,Bright Pain.mp3,.mp3,150.2,639,4.2542,Bright Pain.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÇƒÇ°ÇÈÇœÇ…DISCO/DISCO.mp3,DISCO.mp3,.mp3,84.06,381,4.5324,DISCO.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Venom/Venom.mp3,Venom.mp3,.mp3,132.15,285,2.1566,Venom.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Daydream cafe/Daydream cafe.mp3,Daydream cafe.mp3,.mp3,90.04,275,3.0541,Daydream cafe.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/êÊìVê´ÉGÉSÉTàÀë∂è«åÛåQ/senten.mp3,senten.mp3,.mp3,94.08,277,2.9443,senten.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Kaleidoscope/Kaleidoscope.mp3,Kaleidoscope.mp3,.mp3,123.6,309,2.5,Kaleidoscope.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉAÉåÉZÉCÉA/ÉAÉåÉZÉCÉA.mp3,ÉAÉåÉZÉCÉA.mp3,.mp3,115.49,482,4.1736,ÉAÉåÉZÉCÉA.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/è≠èóÇÃãÛîíÉvÉäÉYÉì/è≠èóÇÃãÛîíÉvÉäÉYÉì.mp3,è≠èóÇÃãÛîíÉvÉäÉYÉì.mp3,.mp3,102.97,389,3.7776,è≠èóÇÃãÛîíÉvÉäÉYÉì.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/quantum faith/quantum faith.mp3,quantum faith.mp3,.mp3,119.68,123,1.0277,quantum faith.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Verflucht/Verflucht.mp3,Verflucht.mp3,.mp3,115.64,93,0.8042,Verflucht.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/iÇâÇ´Ç»Ç≥Ç¢ Ex/iÇâÇ´Ç»Ç≥Ç¢.mp3,iÇâÇ´Ç»Ç≥Ç¢.mp3,.mp3,99.58,407,4.0873,iÇâÇ´Ç»Ç≥Ç¢.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉXÉ^Å[É`ÉX/ÉXÉ^Å[É`ÉX.mp3,ÉXÉ^Å[É`ÉX.mp3,.mp3,140.09,387,2.7624,ÉXÉ^Å[É`ÉX.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Dreamin/Dreamin.mp3,Dreamin.mp3,.mp3,110.85,327,2.9499,Dreamin.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/É^ÉCÉàÉEÉpÉâÉ_ÉCÉX/É^ÉCÉàÉEÉpÉâÉ_ÉCÉX.mp3,É^ÉCÉàÉEÉpÉâÉ_ÉCÉX.mp3,.mp3,138.91,352,2.534,É^ÉCÉàÉEÉpÉâÉ_ÉCÉX.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/tamutamu/tamutamu.mp3,tamutamu.mp3,.mp3,89.14,188,2.1089,tamutamu.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/Toward the future/Toward the future.mp3,Toward the future.mp3,.mp3,114.9,332,2.8895,Toward the future.sm
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/ÉvÉäÉYÉ}ÉeÉBÉbÉNÉvÉäÉìÉZÉXÅôÉÜÉjÉ]ÉìÉXÉ^Å[ÉY/prism.mp3,prism.mp3,.mp3,101.67,423,4.1606,prism.ssc
/Users/mukeshguntumadugu/LLM_rock/llm_beatmap_generator/src/musicForBeatmap/remi/élÇ¬ótÇÃÉNÉçÅ[ÉoÅ[/élÇ¬ótÇÃÉNÉçÅ[ÉoÅ[.mp3,élÇ¬ótÇÃÉNÉçÅ[ÉoÅ[.mp3,.mp3,115.04,177,1.5386,élÇ¬ótÇÃÉNÉçÅ[ÉoÅ[.sm
