time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,2000,4,2,1.000,bass
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,3001,4,2,0.910,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0000,0,3,1.000,unknown
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,0000,0,2,1.000,unknown
1625.0,4.250,0000,0,3,1.000,unknown
1750.0,4.500,0010,4,3,0.790,snare
1875.0,4.750,0000,0,3,1.000,unknown
2000.0,5.000,",",-1,-1,1.000,separator
20000.0,61.000,1000,4,2,0.950,kick
20125.0,61.250,0000,0,3,1.000,unknown
20250.0,61.500,0010,4,3,0.880,snare
20375.0,61.750,0000,0,3,1.000,unknown
20500.0,62.000,2000,4,2,1.000,bass
20625.0,62.250,0000,0,3,1.000,unknown
20750.0,62.500,0100,4,3,0.820,snare
20875.0,62.750,0000,0,3,1.000,unknown
21000.0,63.000,3001,4,2,0.910,kick
21125.0,63.250,0000,0,3,1.000,unknown
21250.0,63.500,0000,0,2,1.000,unknown
21375.0,63.750,0000,0,3,1.000,unknown
21500.0,64.000,0000,0,2,1.000,unknown
21625.0,64.250,0000,0,3,1.000,unknown
21750.0,64.500,0010,4,3,0.890,snare
21875.0,64.750,0000,0,3,1.000,unknown
22000.0,65.000,",",-1,-1,1.000,separator
100000.0,301.000,1000,4,2,0.950,kick
100125.0,301.250,0000,0,3,1.000,unknown
100250.0,301.500,0010,4,3,0.880,snare
100375.0,301.750,0000,0,3,1.000,unknown
100500.0,302.000,2000,4,2,1.000,bass
100625.0,302.250,0000,0,3,1.000,unknown
100750.0,302.500,0100,4,3,0.820,snare
100875.0,302.750,0000,0,3,1.000,unknown
101000.0,303.000,3001,4,2,0.910,kick
101125.0,303.250,0000,0,3,1.000,unknown
101250.0,303.500,0000,0,3,1.000,unknown
101375.0,303.750,0000,0,3,1.000,unknown
101500.0,304.000,0000,0,2,1.000,unknown
101625.0,304.250,0000,0,3,1.000,unknown
101750.0,304.500,0010,4,3,0.790,snare
101875.0,304.750,0000,0,3,1.000,unknown
102000.0,305.000,",",-1,-1,1.000,separator
