time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
333.42,1.0,1000,4,2,0.95,kick
666.83,1.5,0000,0,3,1.0,unknown
1000.0,2.0,2000,4,2,1.0,bass
1333.42,2.5,0100,4,3,0.82,snare
1666.83,3.0,3001,4,2,0.91,kick
1999.98,3.5,0000,0,3,1.0,unknown
1.333,1.75,0000,0,3,1.0,unknown
1.333,2.25,0000,0,3,1.0,unknown
1.333,2.5,0100,4,3,0.82,snare
1.333,3.0,3001,4,2,0.91,kick
1.333,3.5,0000,0,3,1.0,unknown
1.333,4.0,0000,0,2,1.0,unknown
1.333,4.25,0000,0,3,1.0,unknown
1.333,4.5,0010,4,3,0.79,snare
1.333,4.75,0000,0,3,1.0,unknown
1.333,5.0,0000,0,2,1.0,unknown
1.333,5.25,0000,0,3,1.0,unknown
1.333,5.5,0000,0,3,1.0,unknown
1.333,5.75,0000,0,3,1.0,unknown
1.333,6.0,0000,0,2,1.0,unknown
1.333,6.25,0000,0,3,1.0,unknown
1.333,6.5,0010,4,3,0.79,snare
1.333,6.75,0000,0,3,1.0,unknown
1.333,7.0,0000,0,2,1.0,unknown
1.333,7.25,0000,0,3,1.0,unknown
1.333,7.5,0000,0,3,1.0,unknown
1.333,7.75,0000,0,3,1.0,unknown
1.333,8.0,0000,0,2,1.0,unknown
1.333,8.25,0000,0,3,1.0,unknown
1.333,8.5,0000,0,3,1.0,unknown
1.333,8.75,0000,0,3,1.0,unknown
1.333,9.0,0000,0,2,1.0,unknown
1.333,9.25,0000,0,3,1.0,unknown
1.333,9.5,0010,4,3,0.79,snare
1.333,9.75,0000,0,3,1.0,unknown
1.333,10.0,0000,0,2,1.0,unknown
1.333,10.25,0000,0,3,1.0,unknown
1.333,10.5,0000,0,3,1.0,unknown
1.333,10.75,0000,0,3,1.0,unknown
1.333,11.0,0000,0,2,1.0,unknown
1.333,11.25,0000,0,3,1.0,unknown
1.333,11.5,0010,4,3,0.79,snare
1.333,11.75,0000,0,3,1.0,unknown
1.333,12.0,0000,0,2,1.0,unknown
1.333,12.25,0000,0,3,1.0,unknown
1.333,12.5,0000,0,3,1.0,unknown
1.333,12.75,0000,0,3,1.0,unknown
1.333,13.0,0000,0,2,1.0,unknown
1.333,13.25,0000,0,3,1.0,unknown
1.333,13.5,0010,4,3,0.79,snare
1.333,13.75,0000,0,3,1.0,unknown
1.333,14.0,0000,0,2,1.0,unknown
1.333,14.25,0000,0,3,1.0,unknown
1.333,14.5,0010,4,3,0.79,snare
1.333,14.75,0000,0,3,1.0,unknown
1.333,15.0,0000,0,2,1.0,unknown
1.333,15.25,0000,0,3,1.0,unknown
1.333,15.5,0000,0,3,1.0,unknown
1.333,15.75,0000,0,3,1.0,unknown
1.333,16.0,0000,0,2,1.0,unknown
1.333,16.25,0000,0,3,1.0,unknown
1.333,16.5,0010,4,3,0.79,snare
1.333,16.75,0000,0,3,1.0,unknown
1.333,17.0,0000,0,2,1.0,unknown
1.333,17.25,0000,0,3,1.0,unknown
1.333,17.5,0000,0,3,1.0,unknown
1.333,17.75,0000,0,3,1.0,unknown
1.333,18.0,0000,0,2,1.0,unknown
1.333,18.25,0000,0,3,1.0,unknown
1.333,18.5,0010,4,3,0.79,snare
1.333,18.75,0000,0,3,1.0,unknown
1.333,19.0,0000,0,2,1.0,unknown
1.333,19.25,0000,0,3,1.0,unknown
1.333,19.5,0010,4,3,0.79,snare
