Here is a list of beatmap data for a StepMania map at a difficulty level of Beginner, based on a 16-note row per measure structure, with the audio track having a tempo of around 180 BPM and a 4-beat measure duration:

|time_ms| beat_position| notes| placement_type| note_type| confidence| instrument|
|---|---|---|---|---|---|---|
|0.0| 1.0| 1000| 4| 2| 0.95| kick|
|125.0| 1.25| 0000| 0| 3| 1.0| unknown|
|250.0| 1.5| 0010| 4| 3| 0.88| snare|
|375.0| 1.75| 0000| 0| 3| 1.0| unknown|
|500.0| 2.0| 2000| 4| 2| 1.0| bass|
|625.0| 2.25| 0000| 0| 3| 1.0| unknown|
|750.0| 2.5| 0100| 4| 3| 0.82| snare|
|875.0| 2.75| 0000| 0| 3| 1.0| unknown|
|1000.0| 3.0| 3001| 4| 2| 0.91| kick|
|1125.0| 3.25| ,| -1| -1| 1.0| separator|
|1250.0| 3.50| 0000| 0| 3| 1.0| unknown|
|1375.0| 3.75| 0000| 0| 3| 1.0| unknown|
|1500.0| 4.00| 0000| 0| 2| 1.0| unknown|
|1625.0| 4.25| 0000| 0| 3| 1.0| unknown|
|1750.0| 4.50| 0010| 4| 3| 0.80| snare|
|1875.0| 4.75| 0000| 0| 3| 1.0| unknown|
|2000.0| 5.00| ,| -1| -1| 1.0| separator|
Note that this is just one possible interpretation of the audio, and there may be multiple ways to generate a beatmap with different structures and patterns.
