```css
0.00,1.00,1000,4,2,0.95,kick
1.25,1.50,0000,0,3,1.0,unknown
1.75,2.00,0010,4,3,0.88,snare
2.25,2.50,0000,0,3,1.0,unknown
2.75,3.00,0100,4,3,0.82,snare
3.25,3.50,0000,0,3,1.0,unknown
3.75,4.00,0000,0,2,1.0,unknown
4.25,4.50,0010,4,3,0.79,snare
4.75,5.00,0000,0,3,1.0,unknown
5.25,5.50,0000,0,2,1.0,unknown
5.75,6.00,0000,0,3,1.0,unknown
6.25,6.50,0010,4,3,0.81,snare
6.75,7.00,0000,0,3,1.0,unknown
7.25,7.50,0000,0,2,1.0,unknown
7.75,8.00,0000,0,3,1.0,unknown
8.25,8.50,0000,0,2,1.0,unknown
8.75,9.00,0000,0,3,1.0,unknown
9.25,9.50,0010,4,3,0.78,snare
9.75,10.00,0000,0,3,1.0,unknown
10.25,10.50,',','-1','-1',1.0,separator
10.75,11.00,',','-1','-1',1.0,separator
11.25,11.50,',','-1','-1',1.0,separator
11.75,12.00,',','-1','-1',1.0,separator
12.25,12.50,',','-1','-1',1.0,separator
12.75,13.00,',','-1','-1',1.0,separator
13.25,13.50,',','-1','-1',1.0,separator
13.75,14.00,',','-1','-1',1.0,separator
14.25,14.50,',','-1','-1',1.0,separator
14.75,15.00,',','-1','-1',1.0,separator
15.25,15.50,',','-1','-1',1.0,separator
15.75,16.00,',','-1','-1',1.0,separator
16.25,16.50,',','-1','-1',1.0,separator
16.75,17.00,',','-1','-1',1.0,separator
17.25,17.50,',','-1','-1',1.0,separator
17.75,18.00,',','-1','-1',1.0,separator
18.25,18.50,',','-1','-1',1.0,separator
18.75,19.00,',','-1','-1',1.0,separator
19.25,19.50,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
19.75,20.00,',','-1','-1',1.0,separator
