Here is your CSV:
```css
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.00,1.00,1000,4,2,0.95,kick
125.00,1.25,0000,0,3,1.0,unknown
250.00,1.50,0010,4,3,0.88,snare
375.00,1.75,0000,0,3,1.0,unknown
500.00,2.00,2000,4,2,1.0,bass
625.00,2.25,0000,0,3,1.0,unknown
750.00,2.50,0100,4,3,0.82,snare
875.00,2.75,0000,0,3,1.0,unknown
1000.00,3.00,3001,4,2,0.91,kick
1125.00,3.25,0000,0,3,1.0,unknown
1250.00,3.50,0000,0,3,1.0,unknown
1375.00,3.75,0000,0,3,1.0,unknown
1500.00,4.00,0000,0,2,1.0,unknown
1625.00,4.25,0000,0,3,1.0,unknown
1750.00,4.50,0010,4,3,0.79,snare
1875.00,4.75,0000,0,3,1.0,unknown
2000.00,5.00,2000,4,2,0.95,kick
2125.00,5.25,0000,0,3,1.0,unknown
2250.00,5.50,0100,4,3,0.82,snare
2375.00,5.75,0000,0,3,1.0,unknown
2500.00,6.00,3001,4,2,0.91,kick
2625.00,6.25,0000,0,3,1.0,unknown
2750.00,6.50,0000,0,3,1.0,unknown
2875.00,6.75,0000,0,3,1.0,unknown
2999.72,7.00,0000,0,2,1.0,unknown
3124.74,7.25,0000,0,3,1.0,unknown
3250.00,7.50,0000,0,3,1.0,unknown
3375.00,7.75,0000,0,3,1.0,unknown
3500.00,8.00,2000,4,2,0.95,kick
3625.00,8.25,0000,0,3,1.0,unknown
3750.00,8.50,0100,4,3,0.82,snare
3875.00,8.75,0000,0,3,1.0,unknown
3999.72,9.00,0000,0,2,1.0,unknown
4124.74,9.25,0000,0,3,1.0,unknown
4250.00,9.50,0000,0,3,1.0,unknown
4375.00,9.75,0000,0,3,1.0,unknown
4500.00,10.00,2000,4,2,0.95,kick
4625.00,10.25,0000,0,3,1.0,unknown
4750.00,10.50,0100,4,3,0.82,snare
4875.00,10.75,0000,0,3,1.0,unknown
4999.72,11.00,0000,0,2,1.0,unknown
5124.74,11.25,0000,0,3,1.0,unknown
5250.00,11.50,0000,0,3,1.0,unknown
5375.00,11.75,0000,0,3,1.0,unknown
5500.00,12.00,2000,4,2,0.95,kick
5625.00,12.25,0000,0,3,1.0,unknown
5750.00,12.50,0100,4,3,0.82,snare
5875.00,12.75,0000,0,3,1.0,unknown
5999.72,13.00,0000,0,2,1.0,unknown
6124.74,13.25,0000,0,3,1.0,unknown
6250.00,13.50,0000,0,3,1.0,unknown
6375.00,13.75,0000,0,3,1.0,unknown
6500.00,14.00,2000,4,2,0.95,kick
6625.00,14.25,0000,0,3,1.0,unknown
6750.00,14.50,0100,4,3,0.82,snare
6875.00,14.75,0000,0,3,1.0,unknown
6999.72,15.00,0000,0,2,1.0,unknown
7124.74,15.25,0000,0,3,1.0,unknown
7250.00,15.50,0000,0,3,1.0,unknown
7375.00,15.75,0000,0,3,1.0,unknown
7500.00,16.00,2000,4,2,0.95,kick
7625.00,16.25,0000,0,3,1.0,unknown
7750.00,16.50,0100,4,3,0.82,snare
7875.00,16.75,0000,0,3,1.0,unknown
7999.72,17.00,0000,0,2,1.0,unknown
8124.74,17.25,0000,0,3,1.0,unknown
8250.00,17.50,0000,0,3,1.0,unknown
8375.00,17.75,0000,0,3,1.0,unknown
8500.00,18.00,2000,4,2,0.95,kick
8625.00,18.25,0000,0,3,1.0,unknown
8750.00,18.50,0100,4,3,0.82,snare
8875.00,18.75,0000,0,3,1.0,unknown
8999.72,19.00,0000,0,2,1.0,unknown
9124.74,19.25,0000,0,3,1.0,unknown
9250.00,19.50,0000,0,3,1.0,unknown
9375.00,19.75,0000,0,3,1.0,unknown
9500.00,20.00,2000,4,2,0.95,kick
9625.00,20.25,0000,0,3,1.0,unknown
9750.00,20.50,0100,4,3,0.82,snare
9875.00,20.75,0000,0,3,1.0,unknown
9999.72,21.00,0000,0,2,1.0,unknown
11124.74,21.25,0000,0,3,1.0,unknown
11250.00,21.50,0000,0,3,1.0,unknown
11375.00,21.75,0000,0,3,1.0,unknown
11500.00,22.00,2000,4,2,0.95,kick
11625.00,22.25,0000,0,3,1.0,unknown
11750.00,22.50,0100,4,3,0.82,snare
11875.00,22.75,0000,0,3,1.0,unknown
11999.72,23.00,0000,0,2,1.0,unknown
12124.74,23.25,0000,0,3,1.0,unknown
12250.00,23.50,0000,0,3,1.0,unknown
12375.00,23.75,0000,0,3,1.0,unknown
12500.00,24.00,2000,4,2,0.95,kick
12625.00,24.25,0000,0,3,1.0,unknown
12750.00,24.50,0100,4,3,0.82,snare
12875.00,24.75,0000,0,3,1.0,unknown
12999.72,25.00,0000,0,2,1.0,unknown
13124.74,25.25,0000,0,3,1.0,unknown
13250.00,25.50,0000,0,3,1.0,unknown
13375.00,25.75,0000,0,3,1.0,unknown
13500.00,26.00,2000,4,2,0.95,kick
13625.00,26.25,0000,0,3,1.0,unknown
13750.00,26.50,0100,4,3,0.82,snare
13875.00,26.75,0000,0,3,1.0,unknown
13999.72,27.00,0000,0,2,1.0,unknown
14124.74,27.25,0000,0,3,1.0,unknown
14250.00,27.50,0000,0,3,1.0,unknown
14375.00,27.75,0000,0,3,1.0,unknown
14500.00,28.00,2000,4,2,0.95,kick
14625.00,28.25,0000,0,3,1.0,unknown
14750.00,28.50,0100,4,3,0.82,snare
14875.00,28.75,0000,0,3,1.0,unknown
14999.72,29.00,0000,0,2,1.0,unknown
15124.74,29.25,0000,0,3,1.0,unknown
15250.00,29.50,0000,0,3,1.0,unknown
15375.00,29.75,0000,0,3,1.0,unknown
15500.00,30.00,2000,4,2,0.95,kick
15625.00,30.25,0000,0,3,1.0,unknown
15750.00,30.50,0100,4,3,0.82,snare
15875.00,30.75,0000,0,3,1.0,unknown
15999.72,31.00,0000,0,2,1.0,unknown
16124.74,31.25,0000,0,3,1.0,unknown
16250.00,31.50,0000,0,3,1.0,unknown
16375.00,31.75,0000,0,3,1.0,unknown
16500.00,32.00,2000,4,2,0.95,kick
