time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,0000,0,2,0.000,unknown
400.0,1.000,0000,0,2,0.000,unknown
800.0,2.000,0000,0,2,0.000,unknown
1200.0,3.000,0000,0,2,0.000,unknown
1600.0,4.000,",",-1,-1,1.000,separator
1600.0,4.000,0000,0,2,0.000,unknown
2000.0,5.000,0000,0,2,0.000,unknown
2400.0,6.000,0000,0,2,0.000,unknown
2800.0,7.000,0000,0,2,0.000,unknown
3200.0,8.000,",",-1,-1,1.000,separator
3200.0,8.000,1000,1,2,1.000,kick
3600.0,9.000,0000,0,2,0.000,unknown
4000.0,10.000,0001,1,2,1.000,kick
4400.0,11.000,0000,0,2,0.000,unknown
4800.0,12.000,",",-1,-1,1.000,separator
4800.0,12.000,0100,1,2,1.000,snare
5200.0,13.000,0000,0,2,0.000,unknown
5600.0,14.000,0010,1,2,1.000,snare
6000.0,15.000,0000,0,2,0.000,unknown
6400.0,16.000,",",-1,-1,1.000,separator
6400.0,16.000,0000,0,2,0.000,unknown
6800.0,17.000,0000,0,2,0.000,unknown
7200.0,18.000,0000,0,2,0.000,unknown
7600.0,19.000,0000,0,2,0.000,unknown
8000.0,20.000,",",-1,-1,1.000,separator
8000.0,20.000,1000,2,2,1.000,kick
8400.0,21.000,0000,0,2,1.000,unknown
8800.0,22.000,0001,2,2,1.000,kick
9200.0,23.000,0000,0,2,1.000,unknown
9600.0,24.000,",",-1,-1,1.000,separator
9600.0,24.000,0100,2,2,1.000,snare
10000.0,25.000,0000,0,2,1.000,unknown
10400.0,26.000,0010,2,2,1.000,snare
10800.0,27.000,0000,0,2,1.000,unknown
11200.0,28.000,",",-1,-1,1.000,separator
11200.0,28.000,1000,2,2,1.000,kick
11600.0,29.000,0000,0,2,1.000,unknown
12000.0,30.000,0001,2,2,1.000,kick
12400.0,31.000,0000,0,2,1.000,unknown
12800.0,32.000,",",-1,-1,1.000,separator
12800.0,32.000,0100,2,2,1.000,snare
13200.0,33.000,0000,0,2,1.000,unknown
13600.0,34.000,0010,2,2,1.000,snare
14000.0,35.000,0000,0,2,1.000,unknown
14400.0,36.000,",",-1,-1,1.000,separator
14400.0,36.000,1000,2,2,1.000,kick
14800.0,37.000,0001,2,2,1.000,kick
15200.0,38.000,0100,2,2,1.000,snare
15600.0,39.000,0010,2,2,1.000,snare
16000.0,40.000,",",-1,-1,1.000,separator
16000.0,40.000,1000,2,2,1.000,kick
16400.0,41.000,0001,2,2,1.000,kick
16800.0,42.000,0100,2,2,1.000,snare
17200.0,43.000,0010,2,2,1.000,snare
17600.0,44.000,",",-1,-1,1.000,separator
17600.0,44.000,1000,2,2,1.000,kick
18000.0,45.000,0000,0,2,1.000,unknown
18400.0,46.000,0001,2,2,1.000,kick
18800.0,47.000,0000,0,2,1.000,unknown
19200.0,48.000,",",-1,-1,1.000,separator
19200.0,48.000,0100,2,2,1.000,snare
19600.0,49.000,0000,0,2,1.000,unknown
20000.0,50.000,0010,2,2,1.000,snare
20400.0,51.000,0000,0,2,1.000,unknown
20800.0,52.000,",",-1,-1,1.000,separator
20800.0,52.000,1000,2,2,1.000,kick
21200.0,53.000,0000,0,2,1.000,unknown
21600.0,54.000,0001,2,2,1.000,kick
22000.0,55.000,0000,0,2,1.000,unknown
22400.0,56.000,",",-1,-1,1.000,separator
22400.0,56.000,0100,2,2,1.000,snare
22800.0,57.000,0000,0,2,1.000,unknown
23200.0,58.000,0010,2,2,1.000,snare
23600.0,59.000,0000,0,2,1.000,unknown
24000.0,60.000,",",-1,-1,1.000,separator
24000.0,60.000,1000,2,2,1.000,kick
24400.0,61.000,0001,2,2,1.000,kick
24800.0,62.000,0100,2,2,1.000,snare
25200.0,63.000,0010,2,2,1.000,snare
25600.0,64.000,",",-1,-1,1.000,separator
25600.0,64.000,1000,2,2,1.000,kick
26000.0,65.000,0001,2,2,1.000,kick
26400.0,66.000,0100,2,2,1.000,snare
26800.0,67.000,0010,2,2,1.000,snare
27200.0,68.000,",",-1,-1,1.000,separator
27200.0,68.000,1000,2,2,1.000,kick
27600.0,69.000,0000,0,2,1.000,unknown
28000.0,70.000,0001,2,2,1.000,kick
28400.0,71.000,0000,0,2,1.000,unknown
28800.0,72.000,",",-1,-1,1.000,separator
28800.0,72.000,0100,2,2,1.000,snare
29200.0,73.000,0000,0,2,1.000,unknown
29600.0,74.000,0010,2,2,1.000,snare
30000.0,75.000,0000,0,2,1.000,unknown
30400.0,76.000,",",-1,-1,1.000,separator
30400.0,76.000,1000,2,2,1.000,kick
30800.0,77.000,0000,0,2,1.000,unknown
31200.0,78.000,0001,2,2,1.000,kick
31600.0,79.000,0000,0,2,1.000,unknown
32000.0,80.000,",",-1,-1,1.000,separator
32000.0,80.000,0100,2,2,1.000,snare
32400.0,81.000,0000,0,2,1.000,unknown
32800.0,82.000,0010,2,2,1.000,snare
33200.0,83.000,0000,0,2,1.000,unknown
33600.0,84.000,",",-1,-1,1.000,separator
33600.0,84.000,1000,2,2,1.000,kick
34000.0,85.000,0001,2,2,1.000,kick
34400.0,86.000,0100,2,2,1.000,snare
