time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
40000.0,121.000,1000,4,2,0.950,kick
40125.0,121.250,0000,0,3,1.000,unknown
40250.0,121.500,0010,4,3,0.880,snare
40375.0,121.750,0000,0,3,1.000,unknown
40500.0,122.000,2000,4,2,1.000,bass
40625.0,122.250,0000,0,3,1.000,unknown
40750.0,122.500,0100,4,3,0.820,snare
40875.0,122.750,0000,0,3,1.000,unknown
41000.0,123.000,3001,4,2,0.910,kick
41125.0,123.250,0000,0,3,1.000,unknown
41250.0,123.500,0000,0,3,1.000,unknown
41375.0,123.750,0000,0,3,1.000,unknown
41500.0,124.000,0000,0,2,1.000,unknown
41625.0,124.250,0000,0,3,1.000,unknown
41750.0,124.500,0010,4,3,0.790,snare
41875.0,124.750,0000,0,3,1.000,unknown
42000.0,125.000,",",-1,-1,1.000,separator
