```css
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
39.55,1.75,0000,0,3,1.0,unknown
817.41,2.5,0000,0,3,1.0,unknown
1125.0,3.25,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,3001,4,2,0.91,kick
2125.0,5.25,0000,0,3,1.0,unknown
2250.0,5.5,0000,0,3,1.0,unknown
2375.0,5.75,0000,0,3,1.0,unknown
2500.0,6.0,0000,0,2,1.0,unknown
2625.0,6.25,0000,0,3,1.0,unknown
2750.0,6.5,0010,4,3,0.78,snare
2875.0,6.75,0000,0,3,1.0,unknown
2999.999,7.0,3001,4,2,0.92,kick
```
