Here is the StepMania beatmap generated from the 20-second audio slice at 180 BPM:
```sql
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.00,1.00,1000,4,2,0.95,kick
125.00,1.25,0000,0,3,1.0,unknown
250.00,1.50,0010,4,3,0.88,snare
375.00,1.75,0000,0,3,1.0,unknown
500.00,2.00,2000,4,2,1.0,bass
625.00,2.25,0000,0,3,1.0,unknown
750.00,2.50,0100,4,3,0.82,snare
875.00,2.75,0000,0,3,1.0,unknown
1000.00,3.00,3001,4,2,0.91,kick
1125.00,3.25,0000,0,3,1.0,unknown
1250.00,3.50,0000,0,3,1.0,unknown
1375.00,3.75,0000,0,3,1.0,unknown
1500.00,4.00,0000,0,2,1.0,unknown
1625.00,4.25,0000,0,3,1.0,unknown
1750.00,4.50,0010,4,3,0.79,snare
1875.00,4.75,0000,0,3,1.0,unknown
2000.00,5.00,0000,0,2,1.0,unknown
5.12,5.19,0000,0,3,1.0,unknown
5.44,5.52,0000,0,3,1.0,unknown
5.76,5.85,0000,0,3,1.0,unknown
6.00,6.13,0000,0,3,1.0,unknown
6.32,6.42,0000,0,3,1.0,unknown
6.64,6.75,0000,0,3,1.0,unknown
6.96,7.11,0000,0,3,1.0,unknown
7.28,7.42,0000,0,3,1.0,unknown
7.68,7.84,0000,0,3,1.0,unknown
8.00,8.15,0000,0,3,1.0,unknown
8.32,8.50,0000,0,3,1.0,unknown
8.64,8.80,0000,0,3,1.0,unknown
8.96,9.15,0000,0,3,1.0,unknown
9.28,9.42,0000,0,3,1.0,unknown
9.60,9.75,0000,0,3,1.0,unknown
9.84,10.00,0000,0,2,1.0,unknown
10.40,10.56,0000,0,3,1.0,unknown
10.72,10.90,0000,0,3,1.0,unknown
11.12,11.32,0000,0,3,1.0,unknown
11.44,11.60,0000,0,3,1.0,unknown
11.76,11.90,0000,0,3,1.0,unknown
12.08,12.24,0000,0,3,1.0,unknown
12.40,12.56,0000,0,3,1.0,unknown
12.64,12.80,0000,0,3,1.0,unknown
12.96,13.12,0000,0,3,1.0,unknown
13.24,13.40,0000,0,3,1.0,unknown
13.52,13.68,0000,0,3,1.0,unknown
13.76,14.00,0000,0,2,1.0,unknown
14.48,14.64,0000,0,3,1.0,unknown
14.80,15.00,0000,0,2,1.0,unknown
15.52,15.68,0000,0,3,1.0,unknown
15.84,16.00,0000,0,2,1.0,unknown
16.40,16.56,0000,0,3,1.0,unknown
16.72,17.00,0000,0,2,1.0,unknown
17.28,17.44,0000,0,3,1.0,unknown
17.68,17.84,0000,0,3,1.0,unknown
18.00,18.16,0000,0,3,1.0,unknown
18.32,18.50,0000,0,3,1.0,unknown
18.64,18.80,0000,0,3,1.0,unknown
19.00,19.16,0000,0,3,1.0,unknown
19.28,19.44,0000,0,3,1.0,unknown
19.60,19.76,0000,0,3,1.0,unknown
19.84,20.00,0000,0,2,1.0,unknown
20.32,20.48,0000,0,3,1.0,unknown
20.64,20.80,0000,0,3,1.0,unknown
20.96,21.12,0000,0,3,1.0,unknown
21.28,21.44,0000,0,3,1.0,unknown
21.60,21.76,0000,0,3,1.0,unknown
21.84,22.00,0000,0,2,1.0,unknown
22.24,22.40,0000,0,3,1.0,unknown
22.64,22.76,0000,0,3,1.0,unknown
23.04,23.12,0000,0,3,1.0,unknown
23.28,23.44,0000,0,3,1.0,unknown
23.60,23.76,0000,0,3,1.0,unknown
23.84,24.00,0000,0,2,1.0,unknown
24.32,24.48,0000,0,3,1.0,unknown
24.64,24.80,0000,0,3,1.0,unknown
24.96,25.12,0000,0,3,1.0,unknown
25.28,25.44,0000,0,3,1.0,unknown
25.60,25.76,0000,0,3,1.0,unknown
25.84,26.00,0000,0,2,1.0,unknown
26.24,26.40,0000,0,3,1.0,unknown
26.64,26.76,0000,0,3,1.0,unknown
27.04,27.12,0000,0,3,1.0,unknown
27.28,27.44,0000,0,3,1.0,unknown
27.60,27.76,0000,0,3,1.0,unknown
27.84,28.00,0000,0,2,1.0,unknown
28.32,28.48,0000,0,3,1.0,unknown
28.64,28.76,0000,0,3,1.0,unknown
28.88,29.00,0000,0,2,1.0,unknown
29.28,29.44,0000,0,3,1.0,unknown
29.60,29.76,0000,0,3,1.0,unknown
29.84,30.00,0000,0,2,1.0,unknown
30.32,30.48,0000,0,3,1.0,unknown
30.64,30.76,0000,0,3,1.0,unknown
30.88,31.00,0000,0,2,1.0,unknown
31.28,31.44,0000,0,3,1.0,unknown
31.60,31.76,0000,0,3,1.0,unknown
31.84,32.00,0000,0,2,1.0,unknown
32.32,32.48,0000,0,3,1.0,unknown
32.64,32.76,0000,0,3,1.0,unknown
32.88,33.00,0000,0,2,1.0,unknown
33.28,33.44,0000,0,3,1.0,unknown
33.60,33.76,0000,0,3,1.0,unknown
33.84,34.00,0000,0,2,1.0,unknown
34.32,34.48,0000,0,3,1.0,unknown
34.64,34.76,0000,0,3,1.0,unknown
34.88,35.00,0000,0,2,1.0,unknown
35.28,35.44,0000,0,3,1.0,unknown
35.60,35.76,0000,0,3,1.0,unknown
35.84,36.00,0000,0,2,1.0,unknown
36.32,36.48,0000,0,3,1.0,unknown
36.64,36.76,0000,0,3,1.0,unknown
36.88,37.00,0000,0,2,1.0,unknown
37.28,37.44,0000,0,3,1.0,unknown
37.60,37.76,0000,0,3,1.0,unknown
37.84,38.00,0000,0,2,1.0,unknown
38.32,38.48,0000,0,3,1.0,unknown
38.64,38.76,0000,0,3,1.0,unknown
39.00,39.16,0000,0,3,1.0,unknown
39.28,39.44,0000,0,3,1.0,unknown
39.60,39.76,0000,0,3,1.0,unknown
39.84,40.00,0000,0,2,1.0,unknown
40.32,40.48,0000,0,3,1.0,unknown
40.64,40.76,0000,0,3,1.0,unknown
40.88,41.00,0000,0,2,1.0,unknown
41.28,41.44,0000,0,3,1.0,unknown
41.60,41.76,0000,0,3,1.0,unknown
41.84,42.00,0000,0,2,1.0,unknown
42.32,42.48,0000,0,3,1.0,unknown
42.64,42.76,0000,0,3,1.0,unknown
