time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
60000.0,181.000,1000,4,2,0.950,kick
60125.0,181.250,0000,0,3,1.000,unknown
60250.0,181.500,0010,4,3,0.880,snare
60375.0,181.750,0000,0,3,1.000,unknown
60500.0,182.000,2000,4,2,1.000,bass
60625.0,182.250,0000,0,3,1.000,unknown
60750.0,182.500,0100,4,3,0.820,snare
60875.0,182.750,0000,0,3,1.000,unknown
61000.0,183.000,3001,4,2,0.910,kick
61125.0,183.250,0000,0,3,1.000,unknown
61250.0,183.500,0000,0,2,1.000,unknown
61375.0,183.750,0000,0,3,1.000,unknown
61500.0,184.000,0000,0,2,1.000,unknown
61625.0,184.250,0000,0,3,1.000,unknown
61750.0,184.500,0010,4,3,0.890,snare
61875.0,184.750,0000,0,3,1.000,unknown
62000.0,185.000,",",-1,-1,1.000,separator
