```css
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.00,1.00,1000,4,2,0.95,kick
125.00,1.25,0000,0,3,1.0,unknown
250.00,1.50,0010,4,3,0.88,snare
375.00,1.75,0000,0,3,1.0,unknown
500.00,2.00,2000,4,2,1.0,bass
625.00,2.25,0000,0,3,1.0,unknown
750.00,2.50,0100,4,3,0.82,snare
875.00,2.75,0000,0,3,1.0,unknown
1000.00,3.00,3001,4,2,0.91,kick
1125.00,3.25,0000,0,3,1.0,unknown
1250.00,3.50,0000,0,3,1.0,unknown
1375.00,3.75,0000,0,3,1.0,unknown
1500.00,4.00,0000,0,2,1.0,unknown
1625.00,4.25,0000,0,3,1.0,unknown
1750.00,4.50,0010,4,3,0.79,snare
1875.00,4.75,0000,0,3,1.0,unknown
2000.00,5.00,-1000,-4,-1,1.0,separator
3125.00,5.25,-1000,-4,-1,1.0,separator
3250.00,5.50,-1000,-4,-1,1.0,separator
3375.00,5.75,-1000,-4,-1,1.0,separator
3500.00,6.00,-1000,-4,-1,1.0,separator
6375.00,6.25,-1000,-4,-1,1.0,separator
6500.00,6.50,-1000,-4,-1,1.0,separator
6625.00,6.75,-1000,-4,-1,1.0,separator
6750.00,7.00,-1000,-4,-1,1.0,separator
7000.00,7.25,-1000,-4,-1,1.0,separator
7125.00,7.50,-1000,-4,-1,1.0,separator
7250.00,7.75,-1000,-4,-1,1.0,separator
7375.00,8.00,-1000,-4,-1,1.0,separator
7500.00,8.25,-1000,-4,-1,1.0,separator
7625.00,8.50,-1000,-4,-1,1.0,separator
7750.00,8.75,-1000,-4,-1,1.0,separator
7875.00,9.00,-1000,-4,-1,1.0,separator
8000.00,9.25,-1000,-4,-1,1.0,separator
8125.00,9.50,-1000,-4,-1,1.0,separator
8250.00,9.75,-1000,-4,-1,1.0,separator
8375.00,10.00,-1000,-4,-1,1.0,separator
10625.00,10.25,-1000,-4,-1,1.0,separator
10750.00,10.50,-1000,-4,-1,1.0,separator
10925.00,10.75,-1000,-4,-1,1.0,separator
11062.50,11.00,-1000,-4,-1,1.0,separator
11250.00,11.25,-1000,-4,-1,1.0,separator
11375.00,11.50,-1000,-4,-1,1.0,separator
11500.00,11.75,-1000,-4,-1,1.0,separator
11625.00,12.00,-1000,-4,-1,1.0,separator
12750.00,12.25,-1000,-4,-1,1.0,separator
12925.00,12.50,-1000,-4,-1,1.0,separator
13062.50,13.00,-1000,-4,-1,1.0,separator
13250.00,13.25,-1000,-4,-1,1.0,separator
13425.00,13.50,-1000,-4,-1,1.0,separator
13500.00,13.75,-1000,-4,-1,1.0,separator
13625.00,14.00,-1000,-4,-1,1.0,separator
14750.00,14.25,-1000,-4,-1,1.0,separator
15000.00,15.25,-1000,-4,-1,1.0,separator
15250.00,15.50,-1000,-4,-1,1.0,separator
15500.00,15.75,-1000,-4,-1,1.0,separator
15625.00,16.00,-1000,-4,-1,1.0,separator
16750.00,16.25,-1000,-4,-1,1.0,separator
17000.00,17.25,-1000,-4,-1,1.0,separator
17250.00,17.50,-1000,-4,-1,1.0,separator
17500.00,17.75,-1000,-4,-1,1.0,separator
17750.00,18.00,-1000,-4,-1,1.0,separator
18750.00,18.75,-1000,-4,-1,1.0,separator
19000.00,19.25,-1000,-4,-1,1.0,separator
19250.00,19.50,-1000,-4,-1,1.0,separator
19500.00,19.75,-1000,-4,-1,1.0,separator
19750.00,20.00,-1000,-4,-1,1.0,separator
22500.00,22.50,-1000,-4,-1,1.0,separator
25000.00,25.00,-1000,-4,-1,1.0,separator
27500.00,27.50,-1000,-4,-1,1.0,separator
30000.00,30.00,-1000,-4,-1,1.0,separator
32500.00,32.50,-1000,-4,-1,1.0,separator
35000.00,35.00,-1000,-4,-1,1.0,separator
37500.00,37.50,-1000,-4,-1,1.0,separator
37500.00,39.25,-1000,-4,-1,1.0,separator
37500.00,40.00,-1000,-4,-1,1.0,separator
37500.00,41.25,-1000,-4,-1,1.0,separator
37500.00,42.50,-1000,-4,-1,1.0,separator
37500.00,43.75,-1000,-4,-1,1.0,separator
37500.00,45.00,-1000,-4,-1,1.0,separator
37500.00,46.25,-1000,-4,-1,1.0,separator
37500.00,47.50,-1000,-4,-1,1.0,separator
37500.00,48.75,-1000,-4,-1,1.0,separator
37500.00,49.99,-1000,-4,-1,1.0,separator
37500.00,51.25,-1000,-4,-1,1.0,separator
37500.00,52.50,-1000,-4,-1,1.0,separator
37500.00,53.75,-1000,-4,-1,1.0,separator
37500.00,55.00,-1000,-4,-1,1.0,separator
37500.00,56.25,-1000,-4,-1,1.0,separator
37500.00,57.50,-1000,-4,-1,1.0,separator
37500.00,58.75,-1000,-4,-1,1.0,separator
37500.00,59.99,-1000,-4,-1,1.0,separator
37500.00,61.25,-1000,-4,-1,1.0,separator
37500.00,62.50,-1000,-4,-1,1.0,separator
37500.00,63.75,-1000,-4,-1,1.0,separator
37500.00,65.00,-1000,-4,-1,1.0,separator
37500.00,66.25,-1000,-4,-1,1.0,separator
37500.00,67.50,-1000,-4,-1,1.0,separator
37500.00,68.75,-1000,-4,-1,1.0,separator
37500.00,69.99,-1000,-4,-1,1.0,separator
37500.00,71.25,-1000,-4,-1,1.0,separator
37500.00,72.50,-1000,-4,-1,1.0,separator
37500.00,73.75,-1000,-4,-1,1.0,separator
37500.00,75.00,-1000,-4,-1,1.0,separator
37500.00,76.25,-1000,-4,-1,1.0,separator
37500.00,77.50,-1000,-4,-1,1.0,separator
37500.00,78.75,-1000,-4,-1,1.0,separator
37500.00,79.99,-1000,-4,-1,1.0,separator
37500.00,81.25,-1000,-4,-1,1.0,separator
37500.00,82.50,-1000,-4,-1,1.0,separator
37500.00,83.75,-1000,-4,-1,1.0,separator
37500.00,85.00,-1000,-4,-1,1.0,separator
37500.00,86.25,-1000,-4,-1,1.0,separator
37500.00,87.50,-1000,-4,-1,1.0,separator
37500.00,88.75,-1000,-4,-1,1.0,separator
37500.00,89.99,-1000,-4,-1,1.0,separator
