time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,0.950,kick
166.66,1.500,0000,0,3,1.000,unknown
333.33,2.000,0100,1,2,0.920,snare
500.0,2.500,0000,0,3,1.000,unknown
666.66,3.000,0010,1,2,0.880,kick
833.33,3.500,0000,0,3,1.000,unknown
1000.0,4.000,0001,1,2,0.910,snare
1166.66,4.500,0000,0,3,1.000,unknown
1333.33,5.000,",",-1,-1,1.000,separator
1333.33,5.000,2000,1,2,0.850,bass
1500.0,5.500,0000,0,3,1.000,unknown
1666.66,6.000,0000,0,3,1.000,unknown
1833.33,6.500,3000,1,2,0.850,bass
2000.0,7.000,0100,1,2,0.900,snare
2166.66,7.500,0000,0,3,1.000,unknown
2333.33,8.000,0010,1,2,0.890,kick
2500.0,8.500,0000,0,3,1.000,unknown
2666.66,9.000,",",-1,-1,1.000,separator
2666.66,9.000,1000,1,3,0.940,kick
2750.0,9.250,0100,4,3,0.880,percussive
2833.33,9.500,1000,4,3,0.900,kick
2916.66,9.750,0100,4,3,0.870,percussive
3000.0,10.000,1010,1,2,0.960,snare
3083.33,10.250,0000,0,3,1.000,unknown
3166.66,10.500,1010,4,3,0.930,snare
3250.0,10.750,0000,0,3,1.000,unknown
3333.33,11.000,1000,1,2,0.950,kick
3416.66,11.250,0100,4,3,0.890,percussive
3500.0,11.500,0010,4,3,0.880,percussive
3583.33,11.750,0001,4,3,0.910,percussive
3666.66,12.000,0101,1,2,0.970,snare
3750.0,12.250,0000,0,3,1.000,unknown
3833.33,12.500,1010,4,3,0.900,snare
3916.66,12.750,0000,0,3,1.000,unknown
4000.0,13.000,",",-1,-1,1.000,separator
4000.0,13.000,1100,4,2,0.980,kick
4083.33,13.250,1100,4,3,0.950,kick
4166.66,13.500,0011,4,3,0.950,kick
4250.0,13.750,0011,4,3,0.940,kick
4333.33,14.000,1001,4,2,0.960,snare
4416.66,14.250,1001,4,3,0.920,snare
4500.0,14.500,0110,4,3,0.930,snare
4583.33,14.750,0110,4,3,0.910,snare
4666.66,15.000,1100,4,2,0.980,kick
4750.0,15.250,1100,4,3,0.940,kick
4833.33,15.500,0011,4,3,0.950,kick
4916.66,15.750,0011,4,3,0.930,kick
5000.0,16.000,1001,4,2,0.960,snare
5083.33,16.250,1001,4,3,0.920,snare
5166.66,16.500,0110,4,3,0.930,snare
5250.0,16.750,0110,4,3,0.910,snare
5333.33,17.000,",",-1,-1,1.000,separator
0.0,1.000,1000,1,2,0.980,kick
83.33,1.250,0000,0,3,1.000,unknown
166.66,1.500,0010,1,3,0.950,snare
250.0,1.750,0000,0,3,1.000,unknown
333.33,2.000,0100,1,2,0.970,kick
416.66,2.250,0001,4,3,0.850,snare
500.0,2.500,0100,1,3,0.920,kick
583.33,2.750,1000,4,3,0.880,snare
666.66,3.000,1010,1,2,0.990,kick
750.0,3.250,0000,0,3,1.000,unknown
833.33,3.500,0101,1,3,0.940,snare
916.66,3.750,0000,0,3,1.000,unknown
1000.0,4.000,1100,1,2,0.960,kick
1083.33,4.250,0011,4,3,0.890,snare
1166.66,4.500,1001,1,3,0.930,kick
1250.0,4.750,0110,4,3,0.870,snare
1333.33,5.000,",",-1,-1,1.000,separator
1416.66,5.250,2000,1,2,0.950,synth
1500.0,5.500,0000,0,3,1.000,unknown
1583.33,5.750,0100,4,3,0.820,kick
1666.66,6.000,0010,4,2,0.840,snare
1750.0,6.250,3000,1,3,0.980,synth
1833.33,6.500,1001,1,3,0.910,kick
1916.66,6.750,0000,0,3,1.000,unknown
2000.0,7.000,0110,4,2,0.880,snare
2083.33,7.250,0000,0,3,1.000,unknown
2166.66,7.500,1001,1,3,0.950,kick
2250.0,7.750,0100,4,3,0.860,snare
2333.33,8.000,0010,1,2,0.920,kick
2416.66,8.250,1000,4,3,0.840,snare
2500.0,8.500,0100,1,3,0.900,kick
2583.33,8.750,0010,4,3,0.830,snare
2666.66,9.000,",",-1,-1,1.000,separator
0.0,1.000,1100,1,2,0.950,kick
83.33,1.250,0000,3,4,1.000,unknown
166.67,1.500,0011,1,3,0.920,snare
250.0,1.750,0000,3,4,1.000,unknown
333.33,2.000,1001,1,2,0.950,kick
416.67,2.250,0100,4,4,0.850,synth
500.0,2.500,0010,4,3,0.850,synth
583.33,2.750,0100,4,4,0.850,synth
666.67,3.000,1001,1,2,0.950,kick
750.0,3.250,0000,3,4,1.000,unknown
833.33,3.500,0110,1,3,0.920,snare
