time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
1000.0,1.000,",",-1,-1,1.000,separator
2850.0,2.500,1000,1,2,0.900,melody
3000.0,3.000,",",-1,-1,1.000,separator
4000.0,4.000,0001,1,2,0.900,melody
4350.0,4.500,0100,1,2,0.900,melody
5000.0,5.000,",",-1,-1,1.000,separator
5200.0,5.200,0010,1,2,0.800,melody
6000.0,6.000,",",-1,-1,1.000,separator
7000.0,7.000,",",-1,-1,1.000,separator
8000.0,8.000,",",-1,-1,1.000,separator
8500.0,8.500,1000,4,3,0.800,snare
8633.0,8.750,0010,4,3,0.850,snare
8766.0,9.000,0100,4,3,0.900,snare
8900.0,9.250,0001,4,3,0.900,snare
9000.0,9.500,",",-1,-1,1.000,separator
9150.0,10.000,1100,2,2,1.000,kick
9416.0,10.500,0010,2,3,0.900,kick
9683.0,11.000,0001,2,2,0.900,snare
9816.0,11.250,0100,4,3,0.800,kick
9950.0,11.500,1000,2,2,0.900,snare
10000.0,11.600,",",-1,-1,1.000,separator
10216.0,12.000,0011,2,2,1.000,kick
10483.0,12.500,1000,2,3,0.900,snare
10750.0,13.000,0100,2,2,0.900,kick
11000.0,13.500,",",-1,-1,1.000,separator
11016.0,13.500,0001,2,3,0.900,snare
11283.0,14.000,0110,2,2,1.000,kick
11550.0,14.500,0001,2,3,0.800,snare
11816.0,15.000,1000,2,2,0.900,snare
12000.0,15.300,",",-1,-1,1.000,separator
12083.0,15.500,0100,2,3,0.900,kick
12350.0,16.000,1001,2,2,1.000,kick
12616.0,16.500,0010,2,3,0.800,snare
12883.0,17.000,0100,2,2,0.900,snare
13000.0,17.200,",",-1,-1,1.000,separator
13150.0,17.500,1000,2,3,0.900,kick
13416.0,18.000,0001,2,2,1.000,kick
13683.0,18.500,0010,2,3,0.900,snare
13950.0,19.000,0100,2,2,0.900,kick
14000.0,19.100,",",-1,-1,1.000,separator
14216.0,19.500,1000,2,3,0.800,snare
14483.0,20.000,0110,2,2,1.000,kick
14750.0,20.500,0001,2,3,0.900,snare
15000.0,21.000,",",-1,-1,1.000,separator
15016.0,21.000,1000,2,2,0.900,kick
15283.0,21.500,0100,2,3,0.900,kick
15550.0,22.000,0010,2,2,1.000,kick
15816.0,22.500,0001,2,3,0.900,snare
16000.0,22.800,",",-1,-1,1.000,separator
16083.0,23.000,0101,2,2,0.900,snare
16350.0,23.500,1000,2,3,0.800,kick
16616.0,24.000,0010,2,2,1.000,kick
16883.0,24.500,0100,2,3,0.900,snare
17000.0,24.700,",",-1,-1,1.000,separator
17150.0,25.000,1001,2,2,1.000,kick
17416.0,25.500,0100,2,3,0.900,snare
17683.0,26.000,0010,2,2,0.900,kick
17950.0,26.500,0001,2,3,0.800,snare
18000.0,26.600,",",-1,-1,1.000,separator
18216.0,27.000,1100,2,2,1.000,kick
18483.0,27.500,0010,2,3,0.900,snare
18750.0,28.000,0001,2,2,0.900,kick
19000.0,28.500,",",-1,-1,1.000,separator
19016.0,28.500,0100,2,3,0.900,snare
19283.0,29.000,1001,4,2,1.000,kick
19550.0,29.500,1010,4,2,1.000,synth
19816.0,30.000,0101,4,2,1.000,synth
20000.0,30.200,",",-1,-1,1.000,separator
20083.0,30.500,1000,2,3,0.900,kick
20350.0,31.000,0100,2,2,0.900,snare
20616.0,31.500,0010,2,3,0.900,kick
20883.0,32.000,0001,2,2,1.000,snare
21000.0,32.200,",",-1,-1,1.000,separator
21150.0,32.500,1000,2,3,0.800,kick
21416.0,33.000,0110,2,2,1.000,kick
21683.0,33.500,0001,2,3,0.900,snare
21950.0,34.000,1001,2,2,1.000,kick
22000.0,34.100,",",-1,-1,1.000,separator
22216.0,34.500,0100,2,3,0.900,snare
22483.0,35.000,0010,2,2,0.900,kick
22750.0,35.500,1000,2,3,0.800,snare
23000.0,36.000,",",-1,-1,1.000,separator
23016.0,36.000,0101,2,2,1.000,kick
23283.0,36.500,1000,2,3,0.900,snare
23550.0,37.000,0010,2,2,0.900,kick
23816.0,37.500,0100,2,3,0.900,snare
24000.0,37.800,",",-1,-1,1.000,separator
24083.0,38.000,1100,2,2,1.000,kick
25000.0,39.500,",",-1,-1,1.000,separator
26000.0,41.000,",",-1,-1,1.000,separator
27000.0,42.500,",",-1,-1,1.000,separator
28000.0,44.000,",",-1,-1,1.000,separator
29000.0,45.500,",",-1,-1,1.000,separator
30000.0,47.000,",",-1,-1,1.000,separator
30500.0,47.700,1010,4,2,0.900,synth
30600.0,47.900,0101,4,2,0.900,synth
30700.0,48.000,1010,4,2,0.900,synth
30800.0,48.200,0101,4,2,0.900,synth
31000.0,48.500,",",-1,-1,1.000,separator
32000.0,50.000,",",-1,-1,1.000,separator
33000.0,51.500,",",-1,-1,1.000,separator
34000.0,53.000,",",-1,-1,1.000,separator
35000.0,54.500,",",-1,-1,1.000,separator
36000.0,56.000,",",-1,-1,1.000,separator
37000.0,57.500,",",-1,-1,1.000,separator
38000.0,59.000,",",-1,-1,1.000,separator
39000.0,60.500,",",-1,-1,1.000,separator
40000.0,62.000,",",-1,-1,1.000,separator
41000.0,63.500,",",-1,-1,1.000,separator
42000.0,65.000,",",-1,-1,1.000,separator
43000.0,66.500,",",-1,-1,1.000,separator
43500.0,67.200,1001,1,2,0.950,synth
44000.0,68.000,",",-1,-1,1.000,separator
45000.0,69.500,",",-1,-1,1.000,separator
46000.0,71.000,",",-1,-1,1.000,separator
47000.0,72.500,",",-1,-1,1.000,separator
48000.0,74.000,",",-1,-1,1.000,separator
49000.0,75.500,",",-1,-1,1.000,separator
50000.0,77.000,",",-1,-1,1.000,separator
51000.0,78.500,",",-1,-1,1.000,separator
52000.0,80.000,",",-1,-1,1.000,separator
53000.0,81.500,",",-1,-1,1.000,separator
54000.0,83.000,",",-1,-1,1.000,separator
55000.0,84.500,",",-1,-1,1.000,separator
56000.0,86.000,",",-1,-1,1.000,separator
57000.0,87.500,",",-1,-1,1.000,separator
58000.0,89.000,",",-1,-1,1.000,separator
59000.0,90.500,",",-1,-1,1.000,separator
60000.0,92.000,",",-1,-1,1.000,separator
61000.0,93.500,",",-1,-1,1.000,separator
62000.0,95.000,",",-1,-1,1.000,separator
63000.0,96.500,",",-1,-1,1.000,separator
64000.0,98.000,",",-1,-1,1.000,separator
65000.0,99.500,",",-1,-1,1.000,separator
66000.0,101.000,",",-1,-1,1.000,separator
67000.0,102.500,",",-1,-1,1.000,separator
68000.0,104.000,",",-1,-1,1.000,separator
69000.0,105.500,",",-1,-1,1.000,separator
70000.0,107.000,",",-1,-1,1.000,separator
71000.0,108.500,",",-1,-1,1.000,separator
72000.0,110.000,",",-1,-1,1.000,separator
73000.0,111.500,",",-1,-1,1.000,separator
74000.0,113.000,",",-1,-1,1.000,separator
75000.0,114.500,",",-1,-1,1.000,separator
76000.0,116.000,",",-1,-1,1.000,separator
77000.0,117.500,",",-1,-1,1.000,separator
78000.0,119.000,",",-1,-1,1.000,separator
79000.0,120.500,",",-1,-1,1.000,separator
80000.0,122.000,",",-1,-1,1.000,separator
81000.0,123.500,",",-1,-1,1.000,separator
82000.0,125.000,",",-1,-1,1.000,separator
83000.0,126.500,",",-1,-1,1.000,separator
84000.0,128.000,",",-1,-1,1.000,separator
85000.0,129.500,",",-1,-1,1.000,separator
86000.0,131.000,",",-1,-1,1.000,separator
87000.0,132.500,",",-1,-1,1.000,separator
88000.0,134.000,",",-1,-1,1.000,separator
89000.0,135.500,",",-1,-1,1.000,separator
90000.0,137.000,",",-1,-1,1.000,separator
91000.0,138.500,",",-1,-1,1.000,separator
92000.0,140.000,",",-1,-1,1.000,separator
93000.0,141.500,",",-1,-1,1.000,separator
94000.0,143.000,",",-1,-1,1.000,separator
95000.0,144.500,",",-1,-1,1.000,separator
96000.0,146.000,",",-1,-1,1.000,separator
97000.0,147.500,",",-1,-1,1.000,separator
98000.0,149.000,",",-1,-1,1.000,separator
99000.0,150.500,",",-1,-1,1.000,separator
100000.0,152.000,",",-1,-1,1.000,separator
101000.0,153.500,",",-1,-1,1.000,separator
102000.0,155.000,",",-1,-1,1.000,separator
103000.0,156.500,",",-1,-1,1.000,separator
104000.0,158.000,",",-1,-1,1.000,separator
105000.0,159.500,",",-1,-1,1.000,separator
106000.0,161.000,",",-1,-1,1.000,separator
107000.0,162.500,",",-1,-1,1.000,separator
108000.0,164.000,",",-1,-1,1.000,separator
109000.0,165.500,",",-1,-1,1.000,separator
110000.0,167.000,",",-1,-1,1.000,separator
111000.0,168.500,",",-1,-1,1.000,separator
112000.0,170.000,",",-1,-1,1.000,separator
113000.0,171.500,",",-1,-1,1.000,separator
114000.0,173.000,",",-1,-1,1.000,separator
115000.0,174.500,",",-1,-1,1.000,separator
115200.0,174.800,1111,1,2,1.000,melody
116000.0,176.000,",",-1,-1,1.000,separator
116016.0,176.000,1001,2,2,1.000,kick
117000.0,177.500,",",-1,-1,1.000,separator
