time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0000,0,3,1.000,unknown
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,0000,0,2,1.000,unknown
1625.0,4.250,0000,0,3,1.000,unknown
1750.0,4.500,0010,4,3,0.790,snare
1875.0,4.750,0000,0,3,1.000,unknown
80000.0,241.000,1000,4,2,0.950,kick
80125.0,241.250,0000,0,3,1.000,unknown
80250.0,241.500,0010,4,3,0.880,snare
80375.0,241.750,0000,0,3,1.000,unknown
80500.0,242.000,2000,4,2,1.000,bass
80625.0,242.250,0000,0,3,1.000,unknown
80750.0,242.500,0100,4,3,0.820,snare
80875.0,242.750,0000,0,3,1.000,unknown
81000.0,243.000,3001,4,2,0.910,kick
81125.0,243.250,0000,0,3,1.000,unknown
81250.0,243.500,0000,0,3,1.000,unknown
81375.0,243.750,0000,0,3,1.000,unknown
81500.0,244.000,0000,0,2,1.000,unknown
81625.0,244.250,0000,0,3,1.000,unknown
81750.0,244.500,0010,4,3,0.790,snare
81875.0,244.750,0000,0,3,1.000,unknown
82000.0,245.000,",",-1,-1,1.000,separator
140000.0,421.000,1000,4,2,0.950,kick
140125.0,421.250,0000,0,3,1.000,unknown
140250.0,421.500,0010,4,3,0.880,snare
140375.0,421.750,0000,0,3,1.000,unknown
140500.0,422.000,2000,4,2,1.000,bass
140625.0,422.250,0000,0,3,1.000,unknown
140750.0,422.500,0100,4,3,0.820,snare
140875.0,422.750,0000,0,3,1.000,unknown
141000.0,423.000,3001,4,2,0.910,kick
141125.0,423.250,0000,0,3,1.000,unknown
141250.0,423.500,0000,0,3,1.000,unknown
141375.0,423.750,0000,0,3,1.000,unknown
141500.0,424.000,0000,0,2,1.000,unknown
141625.0,424.250,0000,0,3,1.000,unknown
141750.0,424.500,0010,4,3,0.790,snare
141875.0,424.750,0000,0,3,1.000,unknown
142000.0,425.000,",",-1,-1,1.000,separator
