time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,,-1,-1,-1.0,separator
1748.88,488.34,1000,4,2,0.95,kick
1988.22,5654.78,2000,4,2,1.0,bass
2173.75,6409.43,3001,4,2,0.91,kick
2359.41,7245.35,4000,4,2,0.93,bass
2546.27,8081.27,5000,4,2,0.94,bass
2733.40,8499.23,6000,4,2,0.95,bass
2919.93,9242.27,7000,4,2,0.95,bass
3097.04,9880.82,8000,4,2,0.95,bass
3274.48,10380.05,9000,4,2,0.95,bass
3451.96,11215.96,10000,4,2,0.95,bass
3628.71,11633.92,11000,4,2,0.95,bass
3805.44,12307.30,12000,4,2,0.95,bass
3982.15,12748.48,13000,4,2,0.95,bass
4158.78,13166.44,14000,4,2,0.95,bass
4335.42,15720.63,15000,4,2,0.95,bass
4512.08,16045.71,16000,4,2,0.95,bass
4688.74,16626.21,17000,4,2,0.95,bass
4865.40,17000.00,18000,4,2,0.95,bass
4942.07,17000.00,19000,4,2,0.95,bass
5118.73,17000.00,20000,4,2,0.95,bass
5295.41,17000.00,21000,4,2,0.95,bass
5472.07,17000.00,22000,4,2,0.95,bass
5648.74,17000.00,23000,4,2,0.95,bass
5825.41,17000.00,24000,4,2,0.95,bass
5992.08,17000.00,25000,4,2,0.95,bass
6168.75,17000.00,26000,4,2,0.95,bass
6345.42,17000.00,27000,4,2,0.95,bass
6522.07,17000.00,28000,4,2,0.95,bass
6698.73,17000.00,29000,4,2,0.95,bass
6875.40,17000.00,30000,4,2,0.95,bass
6952.07,17000.00,31000,4,2,0.95,bass
7128.74,17000.00,32000,4,2,0.95,bass
7205.41,17000.00,33000,4,2,0.95,bass
7382.07,17000.00,34000,4,2,0.95,bass
7558.73,17000.00,35000,4,2,0.95,bass
7735.40,17000.00,36000,4,2,0.95,bass
7912.07,17000.00,37000,4,2,0.95,bass
8088.74,17000.00,38000,4,2,0.95,bass
8265.41,17000.00,39000,4,2,0.95,bass
8442.07,17000.00,40000,4,2,0.95,bass
8618.73,17000.00,41000,4,2,0.95,bass
8795.40,17000.00,42000,4,2,0.95,bass
8972.07,17000.00,43000,4,2,0.95,bass
9148.74,17000.00,44000,4,2,0.95,bass
9325.41,17000.00,45000,4,2,0.95,bass
9492.07,17000.00,46000,4,2,0.95,bass
9668.73,17000.00,47000,4,2,0.95,bass
9845.40,17000.00,48000,4,2,0.95,bass
