time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,2000,4,2,1.000,bass
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,3001,4,2,0.910,kick
1250.0,3.500,0000,0,3,1.000,unknown
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,0000,0,2,1.000,unknown
1625.0,4.250,0000,0,3,1.000,unknown
1750.0,4.500,0010,4,3,0.790,snare
1875.0,4.750,0000,0,3,1.000,unknown
20000.0,61.000,1000,4,2,0.950,kick
20125.0,61.250,0000,0,3,1.000,unknown
20250.0,61.500,0010,4,3,0.880,snare
20375.0,61.750,0000,0,3,1.000,unknown
20500.0,62.000,2000,4,2,1.000,bass
20625.0,62.250,0000,0,3,1.000,unknown
20750.0,62.500,0100,4,3,0.820,snare
20875.0,62.750,0000,0,3,1.000,unknown
21000.0,63.000,3001,4,2,0.910,kick
21125.0,63.250,",",-1,-1,1.000,separator
60000.0,181.000,1000,4,2,0.950,kick
60125.0,181.250,0000,0,3,1.000,unknown
60250.0,181.500,0010,4,3,0.880,snare
60375.0,181.750,0000,0,3,1.000,unknown
60500.0,182.000,2000,4,2,1.000,bass
60625.0,182.250,0000,0,3,1.000,unknown
60750.0,182.500,0100,4,3,0.820,snare
60875.0,182.750,0000,0,3,1.000,unknown
61000.0,183.000,3001,4,2,0.910,kick
61125.0,183.250,0000,0,3,1.000,unknown
61250.0,183.500,0000,0,3,1.000,unknown
61375.0,183.750,0000,0,3,1.000,unknown
61500.0,184.000,0000,0,2,1.000,unknown
61625.0,184.250,0000,0,3,1.000,unknown
61750.0,184.500,0010,4,3,0.790,snare
61875.0,184.750,0000,0,3,1.000,unknown
62000.0,185.000,",",-1,-1,1.000,separator
140000.0,421.000,1000,4,2,0.950,kick
140125.0,421.250,0000,0,3,1.000,unknown
140250.0,421.500,0010,4,3,0.880,snare
140375.0,421.750,0000,0,3,1.000,unknown
140500.0,422.000,2000,4,2,1.000,bass
140625.0,422.250,0000,0,3,1.000,unknown
140750.0,422.500,0100,4,3,0.820,snare
140875.0,422.750,0000,0,3,1.000,unknown
141000.0,423.000,3001,4,2,0.910,kick
141125.0,423.250,0000,0,3,1.000,unknown
141250.0,423.500,0000,0,3,1.000,unknown
141375.0,423.750,0000,0,3,1.000,unknown
141500.0,424.000,0000,0,2,1.000,unknown
141625.0,424.250,0000,0,3,1.000,unknown
141750.0,424.500,0010,4,3,0.790,snare
141875.0,424.750,0000,0,3,1.000,unknown
142000.0,425.000,",",-1,-1,1.000,separator
