time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,0000,0,0,1.000,unknown
266.7,1.000,0000,0,0,1.000,unknown
533.3,2.000,0000,0,0,1.000,unknown
800.0,3.000,0000,0,0,1.000,unknown
1066.7,4.000,",",-1,-1,1.000,separator
1066.7,4.000,0000,0,0,1.000,unknown
1333.3,5.000,0000,0,0,1.000,unknown
1600.0,6.000,0000,0,0,1.000,unknown
1866.7,7.000,0000,0,0,1.000,unknown
2133.3,8.000,",",-1,-1,1.000,separator
2133.3,8.000,0000,0,0,1.000,unknown
2400.0,9.000,0000,0,0,1.000,unknown
2666.7,10.000,0000,0,0,1.000,unknown
2933.3,11.000,1000,1,2,0.800,melody
3200.0,12.000,",",-1,-1,1.000,separator
3200.0,12.000,0000,0,0,1.000,unknown
3466.7,13.000,0000,0,0,1.000,unknown
3733.3,14.000,0000,0,0,1.000,unknown
4000.0,15.000,0001,1,2,0.800,melody
4266.7,16.000,",",-1,-1,1.000,separator
4266.7,16.000,0000,0,0,1.000,unknown
4533.3,17.000,0000,0,0,1.000,unknown
4800.0,18.000,0000,0,0,1.000,unknown
5066.7,19.000,0100,1,2,0.800,melody
5333.3,20.000,",",-1,-1,1.000,separator
5333.3,20.000,0000,0,0,1.000,unknown
5600.0,21.000,0000,0,0,1.000,unknown
5866.7,22.000,0000,0,0,1.000,unknown
6133.3,23.000,0010,1,2,0.800,melody
6400.0,24.000,",",-1,-1,1.000,separator
6400.0,24.000,0000,0,0,1.000,unknown
6666.7,25.000,0000,0,0,1.000,unknown
6933.3,26.000,0000,0,0,1.000,unknown
7200.0,27.000,0000,0,0,1.000,unknown
7466.7,28.000,",",-1,-1,1.000,separator
7466.7,28.000,0000,0,0,1.000,unknown
7733.3,29.000,0000,0,0,1.000,unknown
8000.0,30.000,1000,1,2,0.900,melody
8266.7,31.000,0000,0,0,1.000,unknown
8533.3,32.000,",",-1,-1,1.000,separator
8533.3,32.000,1000,4,3,1.000,kick
8666.6,32.500,1000,4,3,0.900,kick
8800.0,33.000,0100,4,3,1.000,snare
8933.3,33.500,0100,4,3,0.900,snare
9066.6,34.000,1001,4,2,1.000,kick
9200.0,34.500,0000,0,3,1.000,unknown
9333.3,35.000,0010,4,3,1.000,snare
9466.6,35.500,0000,0,3,1.000,unknown
9600.0,36.000,",",-1,-1,1.000,separator
9600.0,36.000,1000,2,2,1.000,kick
9866.7,37.000,0100,2,2,1.000,snare
10133.3,38.000,0001,2,2,1.000,kick
10400.0,39.000,0010,2,2,1.000,snare
10666.7,40.000,",",-1,-1,1.000,separator
10666.7,40.000,1001,4,2,1.000,kick
10933.3,41.000,0000,0,2,0.000,unknown
11200.0,42.000,0110,4,2,1.000,snare
11466.7,43.000,0000,0,2,0.000,unknown
11733.3,44.000,",",-1,-1,1.000,separator
11733.3,44.000,1000,2,2,1.000,kick
12000.0,45.000,0010,2,2,1.000,snare
12266.7,46.000,0100,2,2,1.000,kick
12533.3,47.000,0001,2,2,1.000,snare
12800.0,48.000,",",-1,-1,1.000,separator
12800.0,48.000,1001,4,2,1.000,kick
12933.3,48.500,0000,0,3,1.000,unknown
13066.7,49.000,0100,4,3,1.000,snare
13200.0,49.500,0010,4,3,1.000,hat
13333.3,50.000,1000,4,3,1.000,kick
13466.7,50.500,0000,0,3,1.000,unknown
13600.0,51.000,0001,4,3,1.000,snare
13733.3,51.500,0000,0,3,1.000,unknown
13866.7,52.000,",",-1,-1,1.000,separator
13866.7,52.000,1000,2,2,1.000,kick
14133.3,53.000,0100,2,2,1.000,snare
14400.0,54.000,0010,2,2,1.000,kick
14666.7,55.000,0001,2,2,1.000,snare
14933.3,56.000,",",-1,-1,1.000,separator
14933.3,56.000,1100,4,2,1.000,kick
15200.0,57.000,0011,4,2,1.000,snare
15466.7,58.000,1010,4,2,1.000,kick
15733.3,59.000,0101,4,2,1.000,snare
16000.0,60.000,",",-1,-1,1.000,separator
16000.0,60.000,1000,2,2,1.000,kick
16266.7,61.000,0100,2,2,1.000,snare
16533.3,62.000,0010,2,2,1.000,kick
16800.0,63.000,0001,2,2,1.000,snare
17066.7,64.000,",",-1,-1,1.000,separator
17066.7,64.000,1001,4,2,1.000,kick
17200.0,64.500,0000,0,3,1.000,unknown
17333.3,65.000,0100,4,3,1.000,snare
17466.7,65.500,0000,0,3,1.000,unknown
17600.0,66.000,0010,4,3,1.000,kick
17733.3,66.500,0000,0,3,1.000,unknown
17866.7,67.000,0001,4,3,1.000,snare
18000.0,67.500,0000,0,3,1.000,unknown
18133.3,68.000,",",-1,-1,1.000,separator
18133.3,68.000,1000,2,2,1.000,kick
18400.0,69.000,0010,2,2,1.000,snare
18666.7,70.000,0100,2,2,1.000,kick
18933.3,71.000,0001,2,2,1.000,snare
19200.0,72.000,",",-1,-1,1.000,separator
19200.0,72.000,1001,2,2,1.000,kick
19466.7,73.000,0110,2,2,1.000,snare
19733.3,74.000,1001,2,2,1.000,kick
20000.0,75.000,0110,2,2,1.000,snare
20266.7,76.000,",",-1,-1,1.000,separator
20266.7,76.000,0100,2,2,1.000,kick
20533.3,77.000,0010,2,2,1.000,snare
20800.0,78.000,1000,2,2,1.000,kick
21066.7,79.000,0001,2,2,1.000,snare
21333.3,80.000,",",-1,-1,1.000,separator
21333.3,80.000,1001,4,2,1.000,kick
21466.7,80.500,0000,0,3,1.000,unknown
21600.0,81.000,0100,4,3,1.000,snare
21733.3,81.500,0000,0,3,1.000,unknown
21866.7,82.000,0010,4,3,1.000,kick
22000.0,82.500,0000,0,3,1.000,unknown
22133.3,83.000,0001,4,3,1.000,snare
22266.7,83.500,0000,0,3,1.000,unknown
22400.0,84.000,",",-1,-1,1.000,separator
22400.0,84.000,1000,2,2,1.000,kick
22666.7,85.000,0010,2,2,1.000,snare
22933.3,86.000,0100,2,2,1.000,kick
23200.0,87.000,0001,2,2,1.000,snare
23466.7,88.000,",",-1,-1,1.000,separator
23466.7,88.000,1100,4,2,1.000,kick
23733.3,89.000,0011,4,2,1.000,snare
24000.0,90.000,1010,4,2,1.000,kick
24266.7,91.000,0101,4,2,1.000,snare
24533.3,92.000,",",-1,-1,1.000,separator
24533.3,92.000,1000,2,2,1.000,kick
24800.0,93.000,0100,2,2,1.000,snare
25066.7,94.000,0010,2,2,1.000,kick
25333.3,95.000,0001,2,2,1.000,snare
25600.0,96.000,",",-1,-1,1.000,separator
25600.0,96.000,1001,4,2,1.000,kick
25733.3,96.500,0000,0,3,1.000,unknown
25866.7,97.000,0100,4,3,1.000,snare
26000.0,97.500,0000,0,3,1.000,unknown
26133.3,98.000,0010,4,3,1.000,kick
26266.7,98.500,0000,0,3,1.000,unknown
26400.0,99.000,0001,4,3,1.000,snare
26533.3,99.500,0000,0,3,1.000,unknown
26666.7,100.000,",",-1,-1,1.000,separator
26666.7,100.000,1000,2,2,1.000,kick
26933.3,101.000,0010,2,2,1.000,snare
27200.0,102.000,0100,2,2,1.000,kick
27466.7,103.000,0001,2,2,1.000,snare
27733.3,104.000,",",-1,-1,1.000,separator
27733.3,104.000,1001,2,2,1.000,kick
28000.0,105.000,0110,2,2,1.000,snare
28266.7,106.000,1001,2,2,1.000,kick
28533.3,107.000,0110,2,2,1.000,snare
28800.0,108.000,",",-1,-1,1.000,separator
28800.0,108.000,0100,2,2,1.000,kick
29066.7,109.000,0010,2,2,1.000,snare
29333.3,110.000,1000,2,2,1.000,kick
29600.0,111.000,0001,2,2,1.000,snare
29866.7,112.000,",",-1,-1,1.000,separator
29866.7,112.000,1000,2,2,1.000,kick
30133.3,113.000,0000,0,2,0.000,unknown
30400.0,114.000,0010,2,2,1.000,snare
30666.7,115.000,0000,0,2,0.000,unknown
30933.3,116.000,",",-1,-1,1.000,separator
30933.3,116.000,1001,2,2,1.000,kick
31200.0,117.000,0110,2,2,1.000,snare
31466.7,118.000,1001,2,2,1.000,kick
31733.3,119.000,0110,2,2,1.000,snare
32000.0,120.000,",",-1,-1,1.000,separator
32000.0,120.000,0100,2,2,1.000,kick
32266.7,121.000,0010,2,2,1.000,snare
32533.3,122.000,1000,2,2,1.000,kick
32800.0,123.000,0001,2,2,1.000,snare
33066.7,124.000,",",-1,-1,1.000,separator
33066.7,124.000,1001,4,2,1.000,kick
33200.0,124.500,0000,0,3,1.000,unknown
33333.3,125.000,0100,4,3,1.000,snare
33466.7,125.500,0000,0,3,1.000,unknown
33600.0,126.000,0010,4,3,1.000,kick
33733.3,126.500,0000,0,3,1.000,unknown
33866.7,127.000,0001,4,3,1.000,snare
34000.0,127.500,0000,0,3,1.000,unknown
34133.3,128.000,",",-1,-1,1.000,separator
34133.3,128.000,1000,2,2,1.000,kick
34400.0,129.000,0010,2,2,1.000,snare
34666.7,130.000,0100,2,2,1.000,kick
34933.3,131.000,0001,2,2,1.000,snare
35200.0,132.000,",",-1,-1,1.000,separator
35200.0,132.000,1001,2,2,1.000,kick
35466.7,133.000,0110,2,2,1.000,snare
35733.3,134.000,1001,2,2,1.000,kick
36000.0,135.000,0110,2,2,1.000,snare
36266.7,136.000,",",-1,-1,1.000,separator
36266.7,136.000,0000,0,0,1.000,unknown
36533.3,137.000,0000,0,0,1.000,unknown
36800.0,138.000,0000,0,0,1.000,unknown
37066.7,139.000,0000,0,0,1.000,unknown
37333.3,140.000,",",-1,-1,1.000,separator
37333.3,140.000,1000,2,2,1.000,kick
37600.0,141.000,0010,2,2,1.000,snare
37866.7,142.000,0100,2,2,1.000,kick
38133.3,143.000,0001,2,2,1.000,snare
38400.0,144.000,",",-1,-1,1.000,separator
38400.0,144.000,1001,2,2,1.000,kick
38666.7,145.000,0110,2,2,1.000,snare
38933.3,146.000,1001,2,2,1.000,kick
39200.0,147.000,0110,2,2,1.000,snare
39466.7,148.000,",",-1,-1,1.000,separator
39466.7,148.000,0100,2,2,1.000,kick
39733.3,149.000,0010,2,2,1.000,snare
40000.0,150.000,1000,2,2,1.000,kick
40266.7,151.000,0001,2,2,1.000,snare
40533.3,152.000,",",-1,-1,1.000,separator
40533.3,152.000,1001,4,2,1.000,kick
40666.7,152.500,0000,0,3,1.000,unknown
40800.0,153.000,0100,4,3,1.000,snare
40933.3,153.500,0000,0,3,1.000,unknown
41066.7,154.000,0010,4,3,1.000,kick
41200.0,154.500,0000,0,3,1.000,unknown
41333.3,155.000,0001,4,3,1.000,snare
41466.7,155.500,0000,0,3,1.000,unknown
41600.0,156.000,",",-1,-1,1.000,separator
41600.0,156.000,1000,2,2,1.000,kick
41866.7,157.000,0010,2,2,1.000,snare
42133.3,158.000,0100,2,2,1.000,kick
42400.0,159.000,0001,2,2,1.000,snare
42666.7,160.000,",",-1,-1,1.000,separator
42666.7,160.000,1100,4,2,1.000,kick
42933.3,161.000,0011,4,2,1.000,snare
43200.0,162.000,1010,4,2,1.000,kick
43466.7,163.000,0101,4,2,1.000,snare
43733.3,164.000,",",-1,-1,1.000,separator
43733.3,164.000,1000,2,2,1.000,kick
44000.0,165.000,0100,2,2,1.000,snare
44266.7,166.000,0010,2,2,1.000,kick
44533.3,167.000,0001,2,2,1.000,snare
44800.0,168.000,",",-1,-1,1.000,separator
44800.0,168.000,1001,4,2,1.000,kick
44933.3,168.500,0000,0,3,1.000,unknown
45066.7,169.000,0100,4,3,1.000,snare
