# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,Exhaustive Sequence Evaluation over MuMu-LLaMA c_loss
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,Dynamic Scale Matrix (1.0 + N*0.5)
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
117.5,2.37,0.00,0.09|0.23,True,0110,0001-0.2%|0011-0.2%|0010-0.1%|0110-0.1%|0101-0.1%|0100-0.1%|0111-0.1%|0000-0.1%|1111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0110,2.88
117.5,2.37,0.51,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,1.02,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,1.53,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,2.04,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,2.55,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,3.07,3.25,True,1011,0110-0.3%|0010-0.1%|0001-0.1%|0011-0.1%|0101-0.1%|1010-0.1%|1110-0.1%|1011-0.1%|0100-0.1%|1111-0.0%|1100-0.0%|0000-0.0%|1000-0.0%|1001-0.0%|0111-0.0%|1101-0.0%,1011,2.41
117.5,2.37,3.58,3.65|3.76|4.04,True,0101,0110-0.3%|0010-0.1%|0001-0.1%|0101-0.1%|0011-0.1%|1010-0.1%|0100-0.1%|1110-0.1%|1111-0.0%|1100-0.0%|0000-0.0%|1000-0.0%|1001-0.0%|0111-0.0%|1011-0.0%|1101-0.0%,0101,2.40
117.5,2.37,4.09,4.30|4.57,True,0001,1011-0.2%|0110-0.1%|1101-0.1%|1110-0.1%|0011-0.1%|1111-0.1%|0001-0.1%|0010-0.1%|1100-0.1%|0111-0.1%|0101-0.0%|1001-0.0%|0000-0.0%|0100-0.0%|1000-0.0%|1010-0.0%,0001,2.46
117.5,2.37,4.60,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,5.11,5.15|5.57,True,1011,0110-0.2%|1011-0.2%|0011-0.1%|1110-0.1%|1111-0.1%|1101-0.1%|0010-0.1%|1100-0.1%|0111-0.0%|0101-0.0%|1001-0.0%|1000-0.0%|0000-0.0%|0001-0.0%|0100-0.0%|1010-0.0%,1011,2.46
117.5,2.37,5.62,5.71|5.90|6.06,True,0110,0110-0.2%|1011-0.1%|1110-0.1%|0011-0.1%|1101-0.1%|1111-0.1%|0010-0.1%|1100-0.1%|0111-0.1%|0101-0.0%|1001-0.0%|1000-0.0%|0000-0.0%|0001-0.0%|0100-0.0%|1010-0.0%,0110,2.46
117.5,2.37,6.13,6.29|6.46,True,0111,0110-0.1%|1011-0.1%|1111-0.1%|1101-0.1%|1110-0.1%|0011-0.1%|0010-0.1%|1100-0.1%|0111-0.1%|0001-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|0000-0.0%|0100-0.0%|0101-0.0%,0111,2.62
117.5,2.37,6.64,6.69|6.80|6.99,True,0110,0110-0.2%|1011-0.1%|1101-0.1%|1111-0.1%|0011-0.1%|1110-0.1%|1100-0.1%|0010-0.1%|0001-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|0000-0.0%|0100-0.0%|0101-0.0%|0111-0.0%,0110,2.61
117.5,2.37,7.15,7.29|7.55,True,0010,1011-0.1%|0011-0.1%|1111-0.1%|1101-0.1%|1110-0.1%|0110-0.1%|0010-0.1%|1100-0.1%|0001-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|0101-0.0%|0000-0.0%|0100-0.0%|0111-0.0%,0010,2.61
117.5,2.37,7.66,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,8.17,8.27|8.43|8.68,True,0101,1011-0.1%|1110-0.1%|1111-0.1%|0111-0.1%|1101-0.1%|0011-0.1%|1100-0.1%|0101-0.1%|0000-0.0%|0001-0.0%|1010-0.0%|0110-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|1001-0.0%,0101,2.70
117.5,2.37,8.68,8.87|9.03,True,1101,1011-0.1%|1101-0.1%|0111-0.1%|1111-0.1%|1110-0.1%|0011-0.1%|1100-0.1%|0001-0.1%|0000-0.0%|0110-0.0%|1010-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0101-0.0%|1001-0.0%,1101,2.69
117.5,2.37,9.20,9.38|9.54|9.61,True,1110,1011-0.2%|0111-0.1%|1111-0.1%|1110-0.1%|0011-0.1%|1100-0.1%|0001-0.1%|1101-0.0%|0110-0.0%|1010-0.0%|0000-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0101-0.0%|1001-0.0%,1110,2.69
117.5,2.37,9.71,9.80|9.87|10.03,True,1111,1011-0.2%|1111-0.1%|0111-0.1%|1100-0.1%|0011-0.1%|0001-0.1%|1101-0.1%|1110-0.0%|0000-0.0%|0110-0.0%|1010-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0101-0.0%|1001-0.0%,1111,2.70
117.5,2.37,10.22,10.31|10.54|10.70,True,0110,1011-0.2%|0001-0.1%|1111-0.1%|0011-0.1%|0111-0.1%|0110-0.1%|1100-0.1%|1101-0.1%|0101-0.1%|0000-0.0%|1110-0.0%|1010-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|1001-0.0%,0110,2.81
117.5,2.37,10.73,11.03|11.22,True,1100,1011-0.2%|0111-0.2%|1111-0.1%|0001-0.1%|0011-0.1%|1100-0.1%|1101-0.1%|0101-0.1%|0000-0.0%|1110-0.0%|0110-0.0%|1010-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|1001-0.0%,1100,2.81
117.5,2.37,11.24,11.38|11.54|11.63,True,1110,1011-0.2%|0111-0.2%|1111-0.1%|0011-0.1%|0001-0.1%|0110-0.1%|1101-0.1%|0101-0.0%|1010-0.0%|1110-0.0%|0000-0.0%|1001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|1100-0.0%,1110,2.81
117.5,2.37,11.75,11.80|11.96|12.05|12.21,True,1101,1011-0.2%|0111-0.2%|1111-0.1%|0001-0.1%|0011-0.1%|0110-0.1%|0010-0.1%|1101-0.1%|0101-0.0%|0000-0.0%|1010-0.0%|0100-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1110-0.0%,1101,2.81
117.5,2.37,12.26,12.38|12.54|12.63|12.70,True,0011,1011-0.2%|0110-0.1%|0111-0.1%|0011-0.1%|0001-0.1%|1100-0.1%|1111-0.1%|1101-0.1%|0010-0.1%|1001-0.1%|1010-0.0%|1000-0.0%|0101-0.0%|0000-0.0%|0100-0.0%|1110-0.0%,0011,2.89
117.5,2.37,12.77,12.89|12.96|13.05|13.21,True,1101,1011-0.2%|0110-0.1%|0111-0.1%|0101-0.1%|0001-0.1%|1101-0.1%|1100-0.1%|1111-0.1%|0010-0.1%|1001-0.0%|1010-0.0%|1000-0.0%|0000-0.0%|0100-0.0%|0011-0.0%|1110-0.0%,1101,2.89
117.5,2.37,13.28,13.47|13.79,True,1010,1011-0.2%|0110-0.1%|0111-0.1%|0101-0.1%|0001-0.1%|1100-0.1%|1111-0.1%|0010-0.1%|1101-0.1%|1001-0.0%|1010-0.0%|1000-0.0%|0000-0.0%|0100-0.0%|0011-0.0%|1110-0.0%,1010,2.89
117.5,2.37,13.79,13.89|14.14,True,1111,1011-0.2%|0110-0.1%|0111-0.1%|0101-0.1%|0001-0.1%|1100-0.1%|1101-0.1%|1111-0.1%|0010-0.1%|1110-0.1%|1001-0.0%|1000-0.0%|0000-0.0%|0100-0.0%|0011-0.0%|1010-0.0%,1111,2.89
117.5,2.37,14.30,14.47|14.63,True,0111,1011-0.2%|0111-0.1%|1111-0.1%|0110-0.1%|0101-0.1%|0001-0.1%|0011-0.1%|0010-0.0%|0000-0.0%|1001-0.0%|1110-0.0%|1101-0.0%|1000-0.0%|0100-0.0%|1010-0.0%|1100-0.0%,0111,2.95
117.5,2.37,14.81,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,15.33,15.37|15.63|15.79,True,1011,1011-0.2%|0110-0.2%|1111-0.1%|0101-0.1%|0001-0.1%|1100-0.1%|0011-0.1%|0111-0.1%|0010-0.0%|0000-0.0%|1110-0.0%|1001-0.0%|0100-0.0%|1000-0.0%|1010-0.0%|1101-0.0%,1011,2.94
117.5,2.37,15.84,16.04,True,1110,0110-0.2%|1111-0.1%|1011-0.1%|1110-0.1%|0101-0.1%|0001-0.1%|1100-0.1%|0111-0.1%|0011-0.1%|0010-0.1%|0000-0.0%|1001-0.0%|0100-0.0%|1000-0.0%|1010-0.0%|1101-0.0%,1110,2.94
117.5,2.37,16.35,16.37|16.53|16.72,True,0000,0110-0.1%|1011-0.1%|1100-0.1%|1101-0.1%|1111-0.1%|0001-0.1%|0101-0.1%|0111-0.1%|1110-0.1%|0000-0.0%|0010-0.0%|0011-0.0%|1001-0.0%|0100-0.0%|1000-0.0%|1010-0.0%,0000,3.16
117.5,2.37,16.86,16.88|17.04,True,0101,0110-0.1%|1011-0.1%|1100-0.1%|0011-0.1%|1101-0.1%|0001-0.1%|1111-0.1%|0101-0.1%|0111-0.1%|1110-0.1%|0000-0.0%|0010-0.0%|1001-0.0%|0100-0.0%|1000-0.0%|1010-0.0%,0101,3.16
117.5,2.37,17.37,17.51|17.62,True,0110,1101-0.2%|0110-0.1%|1011-0.1%|1100-0.1%|0011-0.1%|1111-0.1%|0001-0.1%|0111-0.1%|1110-0.1%|0010-0.0%|0000-0.0%|1001-0.0%|0100-0.0%|1000-0.0%|0101-0.0%|1010-0.0%,0110,3.16
117.5,2.37,17.88,17.88|18.00|18.37,True,0001,1101-0.2%|1011-0.1%|1100-0.1%|0011-0.1%|1111-0.1%|0001-0.1%|0111-0.1%|1110-0.1%|0110-0.1%|1010-0.0%|0000-0.0%|0010-0.0%|1001-0.0%|0100-0.0%|1000-0.0%|0101-0.0%,0001,3.16
117.5,2.37,18.39,18.53|18.72|18.88,True,0011,1101-0.2%|1111-0.2%|0011-0.1%|1100-0.1%|0110-0.1%|0111-0.1%|1110-0.1%|0000-0.1%|0010-0.1%|1001-0.0%|0101-0.0%|0001-0.0%|0100-0.0%|1000-0.0%|1010-0.0%|1011-0.0%,0011,3.23
117.5,2.37,18.90,19.16,True,0111,1101-0.2%|1111-0.1%|0111-0.1%|1100-0.1%|0110-0.1%|1110-0.1%|0000-0.1%|0010-0.1%|1001-0.0%|0001-0.0%|0101-0.0%|0011-0.0%|1011-0.0%|0100-0.0%|1000-0.0%|1010-0.0%,0111,3.23
117.5,2.37,19.41,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,19.92,20.04|20.36,True,0101,1101-0.2%|1111-0.1%|1100-0.1%|1011-0.1%|0110-0.1%|0111-0.1%|1110-0.1%|0000-0.1%|0010-0.1%|1001-0.0%|0011-0.0%|0001-0.0%|0101-0.0%|0100-0.0%|1000-0.0%|1010-0.0%,0101,3.23
117.5,2.37,20.43,20.62,True,1100,1011-0.2%|1101-0.2%|1111-0.1%|1110-0.1%|1100-0.1%|0111-0.1%|1010-0.1%|0110-0.1%|0011-0.0%|0000-0.0%|0010-0.0%|0001-0.0%|0100-0.0%|1000-0.0%|0101-0.0%|1001-0.0%,1100,3.29
117.5,2.37,20.94,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.37,21.46,21.62|21.87,True,0000,1011-0.2%|1101-0.2%|1111-0.1%|1110-0.1%|0111-0.1%|0110-0.1%|1010-0.1%|0011-0.0%|1100-0.0%|0000-0.0%|0101-0.0%|0010-0.0%|0001-0.0%|0100-0.0%|1000-0.0%|1001-0.0%,0000,3.29
117.5,2.37,21.97,22.13|22.38,True,1011,1011-0.2%|1101-0.2%|0110-0.1%|1111-0.1%|1110-0.1%|0111-0.1%|1010-0.1%|0011-0.0%|0000-0.0%|1100-0.0%|0101-0.0%|0010-0.0%|0001-0.0%|0100-0.0%|1000-0.0%|1001-0.0%,1011,3.29
117.5,2.37,22.48,22.71|22.87,True,1011,1101-0.2%|0110-0.1%|1011-0.1%|1111-0.1%|0001-0.1%|1110-0.1%|0111-0.1%|0000-0.1%|0011-0.1%|0010-0.0%|0101-0.0%|0100-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%,1011,3.36
117.5,2.37,22.99,23.03|23.20|23.38|23.45,True,1110,1101-0.2%|0110-0.1%|0011-0.1%|1111-0.1%|0001-0.1%|1110-0.1%|0111-0.1%|1011-0.1%|0000-0.1%|0010-0.0%|0101-0.0%|0100-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%,1110,3.36
117.5,2.37,23.50,23.55|23.71|23.87|23.96,True,0110,1101-0.2%|0111-0.2%|0110-0.1%|0011-0.1%|1111-0.1%|0001-0.1%|1011-0.1%|0000-0.1%|0010-0.0%|1100-0.0%|0101-0.0%|0100-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1110-0.0%,0110,3.36
117.5,2.37,24.01,24.13|24.22|24.38|24.47,True,1101,1101-0.2%|0111-0.2%|0011-0.1%|1111-0.1%|0001-0.1%|1011-0.1%|0000-0.1%|0110-0.1%|0010-0.0%|1100-0.0%|1110-0.0%|0101-0.0%|0100-0.0%|1000-0.0%|1001-0.0%|1010-0.0%,1101,3.36
117.5,2.37,24.52,24.64|24.71|24.96,True,1101,0111-0.1%|1011-0.1%|0011-0.1%|1101-0.1%|0001-0.1%|0101-0.1%|1111-0.1%|0110-0.1%|0000-0.1%|0010-0.0%|1100-0.0%|0100-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1110-0.0%,1101,3.62
