# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,5.0
# Top-P,0.9
# Min-P,0.05
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.2, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,total_onsets_in_beat_slot,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
117.5,2.37,0.00,2,False,1100,0000-21.3%|0001-7.5%|0010-9.1%|0100-5.9%|1000-7.7%|0011-7.8%|0101-5.6%|0110-5.2%|1001-5.2%|1010-5.5%|1100-4.5%|0111-5.4%|1011-0.0%|1101-4.2%|1110-0.0%|1111-5.1%,1100,2.17
117.5,2.37,0.51,0,False,0001,0000-22.5%|0001-8.2%|0010-10.2%|0100-6.6%|1000-7.0%|0011-8.8%|0101-6.1%|0110-5.5%|1001-5.0%|1010-5.4%|1100-0.0%|0111-5.8%|1011-0.0%|1101-4.0%|1110-0.0%|1111-4.7%,0001,1.77
117.5,2.37,1.02,0,False,1000,0000-23.5%|0001-6.4%|0010-10.7%|0100-6.5%|1000-7.8%|0011-8.9%|0101-6.4%|0110-4.7%|1001-5.2%|1010-5.9%|1100-0.0%|0111-4.9%|1011-4.4%|1101-0.0%|1110-0.0%|1111-4.8%,1000,1.77
117.5,2.37,1.53,0,False,1001,0000-21.4%|0001-6.8%|0010-10.2%|0100-5.7%|1000-4.9%|0011-9.0%|0101-5.8%|0110-5.6%|1001-5.3%|1010-5.6%|1100-0.0%|0111-5.8%|1011-4.0%|1101-4.6%|1110-0.0%|1111-5.3%,1001,1.76
117.5,2.37,2.04,0,False,0000,0000-13.5%|0001-7.9%|0010-6.9%|0100-5.9%|1000-9.1%|0011-5.8%|0101-4.5%|0110-5.1%|1001-7.9%|1010-5.1%|1100-10.6%|0111-0.0%|1011-0.0%|1101-6.1%|1110-6.5%|1111-5.0%,0000,1.92
117.5,2.37,2.55,0,False,1110,0000-13.7%|0001-7.8%|0010-7.5%|0100-6.1%|1000-8.5%|0011-6.3%|0101-4.7%|0110-5.3%|1001-7.7%|1010-5.3%|1100-9.8%|0111-0.0%|1011-0.0%|1101-5.9%|1110-6.3%|1111-5.1%,1110,1.92
117.5,2.37,3.07,1,False,1000,0000-13.6%|0001-8.1%|0010-7.5%|0100-6.1%|1000-8.8%|0011-6.2%|0101-4.7%|0110-5.3%|1001-8.2%|1010-5.2%|1100-10.2%|0111-0.0%|1011-0.0%|1101-6.1%|1110-4.8%|1111-5.2%,1000,1.92
117.5,2.37,3.58,3,False,1001,0000-13.7%|0001-7.8%|0010-7.5%|0100-5.9%|1000-7.5%|0011-6.3%|0101-4.6%|0110-5.2%|1001-8.1%|1010-5.3%|1100-10.4%|0111-0.0%|1011-0.0%|1101-6.3%|1110-5.7%|1111-5.7%,1001,1.92
117.5,2.37,4.09,2,False,1000,0000-12.6%|0001-8.6%|0010-6.1%|0100-5.7%|1000-7.2%|0011-6.1%|0101-0.0%|0110-6.2%|1001-6.2%|1010-5.6%|1100-9.0%|0111-5.0%|1011-0.0%|1101-6.5%|1110-8.8%|1111-6.3%,1000,1.98
117.5,2.37,4.60,0,True,1100,0000-6.5%|0001-9.4%|0010-5.5%|0100-0.0%|1000-5.8%|0011-6.1%|0101-0.0%|0110-9.3%|1001-7.5%|1010-5.9%|1100-9.1%|0111-6.5%|1011-5.7%|1101-6.4%|1110-9.2%|1111-7.2%,1100,2.03
117.5,2.37,5.11,2,True,1110,0000-6.5%|0001-10.2%|0010-0.0%|0100-5.3%|1000-6.0%|0011-6.1%|0101-0.0%|0110-9.3%|1001-7.4%|1010-5.7%|1100-7.8%|0111-6.7%|1011-5.7%|1101-6.5%|1110-9.1%|1111-7.7%,1110,2.03
117.5,2.37,5.62,3,True,0000,0000-6.7%|0001-10.3%|0010-5.5%|0100-0.0%|1000-6.9%|0011-6.0%|0101-0.0%|0110-9.2%|1001-7.5%|1010-5.9%|1100-8.2%|0111-6.5%|1011-5.7%|1101-6.6%|1110-7.7%|1111-7.3%,0000,2.04
117.5,2.37,6.13,2,False,1101,0000-13.1%|0001-7.1%|0010-6.4%|0100-5.6%|1000-5.9%|0011-6.9%|0101-0.0%|0110-6.9%|1001-5.5%|1010-5.0%|1100-8.7%|0111-5.5%|1011-0.0%|1101-6.6%|1110-9.2%|1111-7.5%,1101,2.05
117.5,2.37,6.64,3,True,0011,0000-8.0%|0001-11.0%|0010-6.0%|0100-5.6%|1000-6.2%|0011-6.6%|0101-0.0%|0110-9.8%|1001-6.5%|1010-5.3%|1100-8.0%|0111-6.5%|1011-0.0%|1101-5.2%|1110-8.4%|1111-7.1%,0011,2.16
117.5,2.37,7.15,2,False,0010,0000-13.9%|0001-7.1%|0010-6.6%|0100-5.3%|1000-5.9%|0011-5.4%|0101-0.0%|0110-6.5%|1001-5.7%|1010-5.4%|1100-8.8%|0111-5.4%|1011-0.0%|1101-5.6%|1110-10.3%|1111-8.1%,0010,2.06
117.5,2.37,7.66,0,False,1110,0000-14.4%|0001-7.2%|0010-4.8%|0100-5.5%|1000-7.2%|0011-5.8%|0101-0.0%|0110-6.4%|1001-5.8%|1010-5.3%|1100-9.1%|0111-5.1%|1011-0.0%|1101-5.8%|1110-10.0%|1111-7.6%,1110,2.06
117.5,2.37,8.17,3,False,1110,0000-11.8%|0001-7.6%|0010-7.0%|0100-4.9%|1000-6.3%|0011-8.0%|0101-0.0%|0110-6.1%|1001-6.5%|1010-4.9%|1100-8.0%|0111-5.3%|1011-0.0%|1101-8.1%|1110-8.7%|1111-7.1%,1110,2.16
117.5,2.37,8.68,2,True,1101,0000-6.7%|0001-9.7%|0010-6.7%|0100-5.5%|1000-6.9%|0011-7.9%|0101-5.3%|0110-9.3%|1001-6.9%|1010-0.0%|1100-6.3%|0111-7.4%|1011-0.0%|1101-6.8%|1110-6.7%|1111-8.0%,1101,2.21
117.5,2.37,9.20,3,False,0000,0000-11.8%|0001-7.2%|0010-7.0%|0100-4.6%|1000-7.1%|0011-8.1%|0101-0.0%|0110-5.9%|1001-6.4%|1010-4.7%|1100-8.9%|0111-5.2%|1011-0.0%|1101-6.8%|1110-8.7%|1111-7.6%,0000,2.16
117.5,2.37,9.71,3,False,0110,0000-11.5%|0001-7.4%|0010-6.8%|0100-4.5%|1000-7.1%|0011-8.0%|0101-0.0%|0110-5.7%|1001-6.5%|1010-4.7%|1100-8.8%|0111-5.1%|1011-0.0%|1101-7.3%|1110-9.0%|1111-7.6%,0110,2.16
117.5,2.37,10.22,3,False,0000,0000-11.3%|0001-7.2%|0010-5.9%|0100-5.4%|1000-6.8%|0011-6.9%|0101-0.0%|0110-7.8%|1001-6.4%|1010-5.0%|1100-8.0%|0111-6.5%|1011-0.0%|1101-6.4%|1110-8.9%|1111-7.5%,0000,2.23
117.5,2.37,10.73,2,True,1100,0000-5.6%|0001-9.5%|0010-5.8%|0100-0.0%|1000-7.5%|0011-6.8%|0101-0.0%|0110-9.1%|1001-7.3%|1010-5.5%|1100-7.1%|0111-7.3%|1011-5.6%|1101-6.8%|1110-8.2%|1111-8.0%,1100,2.30
117.5,2.37,11.24,3,True,0010,0000-5.9%|0001-9.6%|0010-5.7%|0100-5.7%|1000-7.2%|0011-8.0%|0101-5.3%|0110-9.5%|1001-7.2%|1010-0.0%|1100-5.3%|0111-7.8%|1011-0.0%|1101-6.5%|1110-7.9%|1111-8.2%,0010,2.30
117.5,2.37,11.75,4,False,0101,0000-11.5%|0001-7.1%|0010-5.5%|0100-5.2%|1000-6.3%|0011-8.5%|0101-4.7%|0110-8.3%|1001-5.8%|1010-0.0%|1100-7.1%|0111-6.8%|1011-0.0%|1101-7.4%|1110-8.4%|1111-7.5%,0101,2.23
117.5,2.37,12.26,4,False,0000,0000-10.3%|0001-6.6%|0010-6.0%|0100-6.9%|1000-6.8%|0011-7.7%|0101-5.6%|0110-7.5%|1001-5.6%|1010-0.0%|1100-7.2%|0111-6.7%|1011-0.0%|1101-6.9%|1110-8.9%|1111-7.4%,0000,2.30
117.5,2.37,12.77,4,False,1111,0000-10.4%|0001-6.7%|0010-6.4%|0100-6.8%|1000-6.1%|0011-8.2%|0101-6.0%|0110-8.0%|1001-5.1%|1010-0.0%|1100-6.6%|0111-7.1%|1011-0.0%|1101-6.3%|1110-9.2%|1111-7.1%,1111,2.30
117.5,2.37,13.28,2,False,1101,0000-9.9%|0001-6.4%|0010-6.0%|0100-6.6%|1000-6.4%|0011-7.9%|0101-6.0%|0110-7.9%|1001-5.4%|1010-0.0%|1100-7.1%|0111-7.0%|1011-0.0%|1101-7.8%|1110-9.8%|1111-6.0%,1101,2.30
