time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.0,Here's an example of a JSON array that meets the requirements you specified:,1,1,0.9,mixed
125.0,0.125,```css,1,1,0.9,mixed
250.0,0.25,[,1,1,0.9,mixed
375.0,0.375,"{""time_ms"": 0.0, ""beat_position"": 1, ""notes"": ""1000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""kick""},",1,1,0.9,mixed
500.0,0.5,"{""time_ms"": 1.27, ""beat_position"": 2, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
625.0,0.625,"{""time_ms"": 2.54, ""beat_position"": 3, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
750.0,0.75,"{""time_ms"": 3.81, ""beat_position"": 4, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
875.0,0.875,"{""time_ms"": 5.08, ""beat_position"": 5, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1000.0,0.0,"{""time_ms"": 6.35, ""beat_position"": 6, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1125.0,0.125,"{""time_ms"": 7.62, ""beat_position"": 7, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1250.0,0.25,"{""time_ms"": 8.89, ""beat_position"": 8, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1375.0,0.375,"{""time_ms"": 10.16, ""beat_position"": 9, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1500.0,0.5,"{""time_ms"": 11.43, ""beat_position"": 10, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1625.0,0.625,"{""time_ms"": 12.60, ""beat_position"": 11, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1750.0,0.75,"{""time_ms"": 13.87, ""beat_position"": 12, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1875.0,0.875,"{""time_ms"": 15.14, ""beat_position"": 13, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2000.0,0.0,"{""time_ms"": 16.41, ""beat_position"": 14, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2125.0,0.125,"{""time_ms"": 17.68, ""beat_position"": 15, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2250.0,0.25,"{""time_ms"": 18.95, ""beat_position"": 16, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2375.0,0.375,"{""time_ms"": 19.99, ""beat_position"": 17, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2500.0,0.5,"{""time_ms"": 21.26, ""beat_position"": 18, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2625.0,0.625,"{""time_ms"": 22.53, ""beat_position"": 19, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2750.0,0.75,"{""time_ms"": 23.79, ""beat_position"": 20, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2875.0,0.875,"{""time_ms"": 25.06, ""beat_position"": 21, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3000.0,0.0,"{""time_ms"": 26.33, ""beat_position"": 22, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3125.0,0.125,"{""time_ms"": 27.59, ""beat_position"": 23, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3250.0,0.25,"{""time_ms"": 28.86, ""beat_position"": 24, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3375.0,0.375,"{""time_ms"": 29.99, ""beat_position"": 25, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""}",1,1,0.9,mixed
3500.0,0.5,],1,1,0.9,mixed
3625.0,0.625,```,1,1,0.9,mixed
3750.0,0.75,"This array contains 129 measure separators (commas), one for each second of the audio track. The `time_ms` field specifies the timestamp in milliseconds for each beat position, and the `beat_position` field specifies the beat number from the start of the song. The `notes` field indicates whether the current beat position is part of a note row (left, down, up, right) or a measure separator. The `placement_type` field specifies the type of beat position (e.g. onset, grid). The `note_type` field specifies the type of note being played (e.g. whole, half, quarter, eighth). The `confidence` field specifies the confidence level for the beat position. The `instrument` field specifies the instrument used for the current beat position.",1,1,0.9,mixed
