time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,3,1,1.000,synth
344.8,1.000,0000,0,2,1.000,unknown
689.6,2.000,0010,3,1,1.000,synth
1034.4,3.000,0000,0,2,1.000,unknown
1379.3,4.000,",",-1,-1,0.000,separator
1379.3,4.000,0100,3,1,1.000,synth
1724.1,5.000,0000,0,2,1.000,unknown
2068.9,6.000,0001,3,1,1.000,synth
2413.7,7.000,0000,0,2,1.000,unknown
2758.6,8.000,",",-1,-1,0.000,separator
2758.6,8.000,1000,3,1,1.000,synth
3103.4,9.000,0000,0,2,1.000,unknown
3448.2,10.000,0010,3,1,1.000,synth
3793.0,11.000,0000,0,2,1.000,unknown
4137.9,12.000,",",-1,-1,0.000,separator
4137.9,12.000,0100,1,2,1.000,kick
4482.7,13.000,0100,1,2,1.000,snare
4827.5,14.000,0000,0,2,0.000,unknown
5172.3,15.000,0000,0,2,0.000,unknown
5517.2,16.000,",",-1,-1,0.000,separator
5517.2,16.000,1000,4,2,1.000,kick
5862.0,17.000,0010,4,2,0.900,snare
6206.8,18.000,0100,4,2,0.900,kick
6551.6,19.000,0001,4,2,0.900,snare
6896.5,20.000,",",-1,-1,0.000,separator
6896.5,20.000,1000,4,2,1.000,kick
7241.3,21.000,0010,4,2,0.900,snare
7586.1,22.000,0100,4,2,0.900,kick
7930.9,23.000,0001,4,2,0.900,snare
8275.8,24.000,",",-1,-1,0.000,separator
8275.8,24.000,1000,4,2,1.000,kick
8620.6,25.000,0100,4,2,0.900,snare
8965.4,26.000,0010,4,2,0.900,kick
9310.2,27.000,0001,4,2,0.900,snare
9655.1,28.000,",",-1,-1,0.000,separator
9655.1,28.000,0100,4,2,1.000,kick
10000.0,29.000,1000,4,2,0.900,snare
10344.8,30.000,0001,4,2,0.900,kick
10689.6,31.000,0010,4,2,0.900,snare
11034.5,32.000,",",-1,-1,0.000,separator
11034.5,32.000,1000,4,2,1.000,kick
11379.3,33.000,0010,4,2,0.900,snare
11724.1,34.000,0100,4,2,0.900,kick
12068.9,35.000,0001,4,2,0.900,snare
12413.8,36.000,",",-1,-1,0.000,separator
12413.8,36.000,0010,4,2,1.000,kick
12758.6,37.000,0001,4,2,0.900,snare
13103.4,38.000,1000,4,2,0.900,kick
13448.2,39.000,0100,4,2,0.900,snare
13793.1,40.000,",",-1,-1,0.000,separator
13793.1,40.000,1000,4,2,1.000,kick
14137.9,41.000,0100,4,2,0.900,snare
14482.7,42.000,0010,4,2,0.900,kick
14827.5,43.000,0001,4,2,0.900,snare
15172.4,44.000,",",-1,-1,0.000,separator
15172.4,44.000,0100,4,2,1.000,kick
15517.2,45.000,1000,4,2,0.900,snare
15862.0,46.000,0001,4,2,0.900,kick
16206.8,47.000,0010,4,2,0.900,snare
16551.7,48.000,",",-1,-1,0.000,separator
16551.7,48.000,1000,4,2,1.000,kick
16896.5,49.000,0010,4,2,0.900,snare
17241.3,50.000,0100,4,2,0.900,kick
17586.1,51.000,0001,4,2,0.900,snare
17931.0,52.000,",",-1,-1,0.000,separator
17931.0,52.000,0010,4,2,1.000,kick
18275.8,53.000,0001,4,2,0.900,snare
18620.6,54.000,1000,4,2,0.900,kick
18965.4,55.000,0100,4,2,0.900,snare
19310.3,56.000,",",-1,-1,0.000,separator
19310.3,56.000,1000,4,2,1.000,kick
19655.1,57.000,0100,4,2,0.900,snare
19999.9,58.000,0010,4,2,0.900,kick
20344.8,59.000,0001,4,2,0.900,snare
20689.6,60.000,",",-1,-1,0.000,separator
20689.6,60.000,0100,4,2,1.000,kick
21034.4,61.000,1000,4,2,0.900,snare
21379.2,62.000,0001,4,2,0.900,kick
21724.1,63.000,0010,4,2,0.900,snare
22068.9,64.000,",",-1,-1,0.000,separator
22068.9,64.000,1000,4,2,1.000,kick
22413.7,65.000,0010,4,2,0.900,snare
22758.5,66.000,0100,4,2,0.900,kick
23103.4,67.000,0001,4,2,0.900,snare
23448.2,68.000,",",-1,-1,0.000,separator
23448.2,68.000,0010,4,2,1.000,kick
23793.0,69.000,0001,4,2,0.900,snare
24137.9,70.000,1000,4,2,0.900,kick
24482.7,71.000,0100,4,2,0.900,snare
24827.5,72.000,",",-1,-1,0.000,separator
24827.5,72.000,1000,4,2,1.000,kick
25172.3,73.000,0100,4,2,0.900,snare
25517.2,74.000,0010,4,2,0.900,kick
25862.0,75.000,0001,4,2,0.900,snare
26206.8,76.000,",",-1,-1,0.000,separator
