Here is your StepMania beatmap for the provided 20-second audio clip:
```css
time/ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.00,1.00,1000,4,2,0.95,kick
125.00,1.25,0000,0,3,1.0,unknown
250.00,1.50,0010,4,3,0.88,snare
375.00,1.75,0000,0,3,1.0,unknown
500.00,2.00,2000,4,2,1.0,bass
625.00,2.25,0000,0,3,1.0,unknown
750.00,2.50,0100,4,3,0.82,snare
875.00,2.75,0000,0,3,1.0,unknown
1000.00,3.00,3001,4,2,0.91,kick
1125.00,3.25,0000,0,3,1.0,unknown
1250.00,3.50,0000,0,3,1.0,unknown
1375.00,3.75,0000,0,3,1.0,unknown
1500.00,4.00,0000,0,2,1.0,unknown
1625.00,4.25,0000,0,3,1.0,unknown
1750.00,4.50,0010,4,3,0.79,snare
1875.00,4.75,0000,0,3,1.0,unknown
2000.00,5.00,0000,0,2,1.0,unknown
2200.00,5.50,0000,0,3,1.0,unknown
2399.64,6.00,0000,0,3,1.0,unknown
2446.08,6.50,0000,0,3,1.0,unknown
2504.13,7.00,0000,0,3,1.0,unknown
2573.79,7.50,0000,0,3,1.0,unknown
2655.06,8.00,0000,0,3,1.0,unknown
2794.38,8.50,0000,0,3,1.0,unknown
3003.36,9.00,0000,0,3,1.0,unknown
3177.51,9.50,0000,0,3,1.0,unknown
3293.61,10.00,0000,0,3,1.0,unknown
3386.49,10.50,0000,0,3,1.0,unknown
3595.46,11.00,0000,0,3,1.0,unknown
3781.22,11.50,0000,0,3,1.0,unknown
3897.32,12.00,0000,0,3,1.0,unknown
3978.59,12.50,0000,0,3,1.0,unknown
4187.57,13.00,0000,0,3,1.0,unknown
4257.23,13.50,0000,0,3,1.0,unknown
4396.55,14.00,0000,0,2,1.0,unknown
4559.09,14.50,0000,0,3,1.0,unknown
4698.41,15.00,0000,0,3,1.0,unknown
4802.90,15.50,0000,0,3,1.0,unknown
5209.25,16.00,0000,0,3,1.0,unknown
5383.40,16.50,0000,0,3,1.0,unknown
5580.77,17.00,0000,0,3,1.0,unknown
5708.48,17.50,0000,0,3,1.0,unknown
5778.14,18.00,0000,0,3,1.0,unknown
5859.41,18.50,0000,0,3,1.0,unknown
5952.29,19.00,0000,0,3,1.0,unknown
6172.88,19.50,0000,0,3,1.0,unknown
6381.86,20.00,0000,0,3,1.0,unknown
6799.82,21.00,0000,0,3,1.0,unknown
6997.19,21.50,0000,0,3,1.0,unknown
7194.56,22.00,0000,0,3,1.0,unknown
7403.54,22.50,0000,0,3,1.0,unknown
7461.59,23.00,0000,0,3,1.0,unknown
7600.91,23.50,0000,0,3,1.0,unknown
7798.28,24.00,0000,0,3,1.0,unknown
7984.04,24.50,0000,0,3,1.0,unknown
8181.41,25.00,0000,0,3,1.0,unknown
8402.00,25.50,0000,0,3,1.0,unknown
8576.15,26.00,0000,0,3,1.0,unknown
8785.12,26.50,0000,0,3,1.0,unknown
8912.83,27.00,0000,0,3,1.0,unknown
8970.88,27.50,0000,0,3,1.0,unknown
9063.76,28.00,0000,0,3,1.0,unknown
9145.03,28.50,0000,0,3,1.0,unknown
9400.45,29.00,0000,0,3,1.0,unknown
9876.46,29.50,0000,0,3,1.0,unknown
9946.12,30.00,0000,0,3,1.0,unknown
10085.44,30.50,0000,0,3,1.0,unknown
10143.49,31.00,0000,0,3,1.0,unknown
10387.30,31.50,0000,0,3,1.0,unknown
10596.28,32.00,0000,0,3,1.0,unknown
10723.99,32.50,0000,0,3,1.0,unknown
10921.36,33.00,0000,0,3,1.0,unknown
11200.00,33.50,0000,0,3,1.0,unknown
11803.72,34.00,0000,0,3,1.0,unknown
11954.65,34.50,0000,0,3,1.0,unknown
12198.46,35.00,0000,0,3,1.0,unknown
12384.22,35.50,0000,0,3,1.0,unknown
12802.18,36.00,0000,0,3,1.0,unknown
12987.94,36.50,0000,0,3,1.0,unknown
13173.70,37.00,0000,0,3,1.0,unknown
13394.29,37.50,0000,0,3,1.0,unknown
13603.27,38.00,0000,0,3,1.0,unknown
13777.41,38.50,0000,0,3,1.0,unknown
13963.17,39.00,0000,0,3,1.0,unknown
14206.98,39.50,0000,0,3,1.0,unknown
14381.13,40.00,0000,0,3,1.0,unknown
14799.09,40.50,0000,0,3,1.0,unknown
14996.46,41.00,0000,0,3,1.0,unknown
15042.90,41.50,0000,0,3,1.0,unknown
15112.56,42.00,0000,0,3,1.0,unknown
15251.88,42.50,0000,0,3,1.0,unknown
15391.20,43.00,0000,0,3,1.0,unknown
15495.69,43.50,0000,0,3,1.0,unknown
15565.35,44.00,0000,0,3,1.0,unknown
15751.11,44.50,0000,0,3,1.0,unknown
15855.60,45.00,0000,0,3,1.0,unknown
15994.92,45.50,0000,0,3,1.0,unknown
16064.58,46.00,0000,0,3,1.0,unknown
16192.29,46.50,0000,0,3,1.0,unknown
16401.27,47.00,0000,0,3,1.0,unknown
16587.03,47.50,0000,0,3,1.0,unknown
16796.01,48.00,0000,0,3,1.0,unknown
16993.38,48.50,0000,0,3,1.0,unknown
17202.36,49.00,0000,0,3,1.0,unknown
17388.12,49.50,0000,0,3,1.0,unknown
17597.10,50.00,0000,0,3,1.0,unknown
18200.82,50.50,0000,0,3,1.0,unknown
18235.65,51.00,0000,0,3,1.0,unknown
18351.75,51.50,0000,0,3,1.0,unknown
18479.46,52.00,0000,0,3,1.0,unknown
18595.56,52.50,0000,0,3,1.0,unknown
18792.93,53.00,0000,0,3,1.0,unknown
19036.73,53.50,0000,0,3,1.0,unknown
19187.66,54.00,0000,0,3,1.0,unknown
19245.71,54.50,0000,0,3,1.0,unknown
19385.03,55.00,0000,0,3,1.0,unknown
19582.40,55.50,0000,0,3,1.0,unknown
19779.77,56.00,0000,0,3,1.0,unknown
