```yaml
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,,"-",1,-1,1.0,separator
2142.0,5.0,,"-",1,-1,1.0,separator
2176.0,5.0,,"-",1,-1,1.0,separator
2250.0,5.0,,"-",1,-1,1.0,separator
2319.0,5.0,,"-",1,-1,1.0,separator
2351.0,5.0,,"-",1,-1,1.0,separator
2400.0,5.0,,"-",1,-1,1.0,separator
2471.0,5.0,,"-",1,-1,1.0,separator
2529.0,5.0,,"-",1,-1,1.0,separator
2557.0,5.0,,"-",1,-1,1.0,separator
2600.0,5.0,,"-",1,-1,1.0,separator
2682.0,5.0,,"-",1,-1,1.0,separator
2724.0,5.0,,"-",1,-1,1.0,separator
2775.0,5.0,,"-",1,-1,1.0,separator
2819.0,5.0,,"-",1,-1,1.0,separator
2887.0,5.0,,"-",1,-1,1.0,separator
2909.0,5.0,,"-",1,-1,1.0,separator
2977.0,5.0,,"-",1,-1,1.0,separator
3037.0,5.0,,"-",1,-1,1.0,separator
3094.0,5.0,,"-",1,-1,1.0,separator
3146.0,5.0,,"-",1,-1,1.0,separator
3191.0,5.0,,"-",1,-1,1.0,separator
3247.0,5.0,,"-",1,-1,1.0,separator
3294.0,5.0,,"-",1,-1,1.0,separator
3360.0,5.0,,"-",1,-1,1.0,separator
3424.0,5.0,,"-",1,-1,1.0,separator
3491.0,5.0,,"-",1,-1,1.0,separator
3566.0,5.0,,"-",1,-1,1.0,separator
3637.0,5.0,,"-",1,-1,1.0,separator
3692.0,5.0,,"-",1,-1,1.0,separator
3760.0,5.0,,"-",1,-1,1.0,separator
3836.0,5.0,,"-",1,-1,1.0,separator
3897.0,5.0,,"-",1,-1,1.0,separator
3976.0,5.0,,"-",1,-1,1.0,separator
4046.0,5.0,,"-",1,-1,1.0,separator
4118.0,5.0,,"-",1,-1,1.0,separator
4175.0,5.0,,"-",1,-1,1.0,separator
