Here is the generated CSV data:
```css
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,"","-1","-1",1.0,separator
101.22,194.10,1000,4,2,0.95,kick
125.0,194.44,0000,0,3,1.0,unknown
250.0,194.77,0010,4,3,0.88,snare
375.0,195.00,0000,0,3,1.0,unknown
500.0,195.33,2000,4,2,1.0,bass
625.0,195.66,0000,0,3,1.0,unknown
750.0,196.00,0100,4,3,0.82,snare
875.0,196.33,0000,0,3,1.0,unknown
1000.0,196.66,3001,4,2,0.91,kick
1125.0,197.00,0000,0,3,1.0,unknown
1250.0,197.33,0000,0,3,1.0,unknown
1375.0,197.66,0000,0,3,1.0,unknown
1500.0,198.00,0000,0,2,1.0,unknown
1625.0,198.33,0000,0,3,1.0,unknown
1750.0,198.66,0010,4,3,0.79,snare
1875.0,199.00,0000,0,3,1.0,unknown
2000.0,199.33,2000,4,2,1.0,bass
2121.36,2078.28,1000,4,2,0.96,kick
2365.17,2194.31,1000,4,2,0.95,kick
2713.47,2289.38,1000,4,2,0.94,kick
3015.33,2377.60,1000,4,2,0.94,kick
3084.99,2446.86,1000,4,2,0.93,kick
3317.19,2517.94,1000,4,2,0.93,kick
3386.85,2579.80,1000,4,2,0.93,kick
3595.83,2649.69,1000,4,2,0.93,kick
3886.08,2719.54,1000,4,2,0.93,kick
3990.57,2790.32,1000,4,2,0.93,kick
4095.06,2851.13,1000,4,2,0.93,kick
4187.94,2911.91,1000,4,2,0.93,kick
4408.53,2973.78,1000,4,2,0.93,kick
4594.29,3035.55,1000,4,2,0.93,kick
4687.17,3097.34,1000,4,2,0.93,kick
4919.37,3159.14,1000,4,2,0.93,kick
5012.24,3220.91,1000,4,2,0.93,kick
5174.78,3282.78,1000,4,2,0.93,kick
5395.37,3344.55,1000,4,2,0.93,kick
5569.52,3406.32,1000,4,2,0.93,kick
5813.33,3468.10,1000,4,2,0.93,kick
5882.99,3529.86,1000,4,2,0.93,kick
5987.48,3591.65,1000,4,2,0.93,kick
6219.68,3653.44,1000,4,2,0.93,kick
6289.34,3715.21,1000,4,2,0.93,kick
6591.20,3777.07,1000,4,2,0.93,kick
6811.79,3838.94,1000,4,2,0.93,kick
7090.43,3890.81,1000,4,2,0.93,kick
7194.92,3952.59,1000,4,2,0.93,kick
7322.63,4014.36,1000,4,2,0.93,kick
7392.29,4075.13,1000,4,2,0.93,kick
7473.56,4136.89,1000,4,2,0.93,kick
7810.25,4198.62,1000,4,2,0.93,kick
8088.89,4260.40,1000,4,2,0.93,kick
8170.16,4322.17,1000,4,2,0.93,kick
8216.60,4383.94,1000,4,2,0.93,kick
8413.97,4445.71,1000,4,2,0.93,kick
8773.88,4507.47,1000,4,2,0.93,kick
8982.86,4569.24,1000,4,2,0.93,kick
9191.84,4630.91,1000,4,2,0.93,kick
9389.21,4692.59,1000,4,2,0.93,kick
9505.31,4754.26,1000,4,2,0.93,kick
9714.29,4816.03,1000,4,2,0.93,kick
9795.56,4877.80,1000,4,2,0.93,kick
9934.88,4939.55,1000,4,2,0.93,kick
10016.15,4999.91,1000,4,2,0.93,kick
10387.66,5061.73,1000,4,2,0.93,kick
10503.76,5123.53,1000,4,2,0.93,kick
10596.64,5185.30,1000,4,2,0.93,kick
10805.62,5247.07,1000,4,2,0.93,kick
11002.99,5308.84,1000,4,2,0.93,kick
11316.46,5370.51,1000,4,2,0.93,kick
11374.51,5432.28,1000,4,2,0.93,kick
11420.95,5493.94,1000,4,2,0.93,kick
11618.32,5555.71,1000,4,2,0.93,kick
11780.86,5617.52,1000,4,2,0.93,kick
11989.84,5679.30,1000,4,2,0.93,kick
12187.21,5741.07,1000,4,2,0.93,kick
12291.70,5802.84,1000,4,2,0.93,kick
12396.19,5864.61,1000,4,2,0.93,kick
12570.34,5926.38,1000,4,2,0.93,kick
12698.05,5987.92,1000,4,2,0.93,kick
12918.64,6049.61,1000,4,2,0.93,kick
12999.91,6111.38,1000,4,2,0.93,kick
13220.50,6173.15,1000,4,2,0.93,kick
13487.53,6234.93,1000,4,2,0.93,kick
13592.02,6296.71,1000,4,2,0.93,kick
13754.56,6358.49,1000,4,2,0.93,kick
13801.00,6420.26,1000,4,2,0.93,kick
13893.88,6481.93,1000,4,2,0.93,kick
13986.76,6543.61,1000,4,2,0.93,kick
14102.86,6605.39,1000,4,2,0.93,kick
14160.91,6667.10,1000,4,2,0.93,kick
14207.35,6728.86,1000,4,2,0.93,kick
14404.72,6790.53,1000,4,2,0.93,kick
14590.48,6852.29,1000,4,2,0.93,kick
