time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
80000.0,201.000,1000,4,2,0.950,kick
80125.0,201.250,0000,0,3,1.000,unknown
80250.0,201.500,0010,4,3,0.880,snare
80375.0,201.750,0000,0,3,1.000,unknown
80500.0,202.000,2000,4,2,1.000,bass
80625.0,202.250,0000,0,3,1.000,unknown
80750.0,202.500,0100,4,3,0.820,snare
80875.0,202.750,0000,0,3,1.000,unknown
81000.0,203.000,3001,4,2,0.910,kick
81125.0,203.250,0000,0,3,1.000,unknown
81250.0,203.500,0000,0,3,1.000,unknown
81375.0,203.750,0000,0,3,1.000,unknown
81500.0,204.000,0000,0,2,1.000,unknown
81625.0,204.250,0000,0,3,1.000,unknown
81750.0,204.500,0010,4,3,0.790,snare
81875.0,204.750,0000,0,3,1.000,unknown
82000.0,205.000,",",-1,-1,1.000,separator
120000.0,301.000,1000,4,2,0.950,kick
120125.0,301.250,0000,0,3,1.000,unknown
120250.0,301.500,0010,4,3,0.880,snare
120375.0,301.750,0000,0,3,1.000,unknown
120500.0,302.000,2000,4,2,1.000,bass
120625.0,302.250,0000,0,3,1.000,unknown
120750.0,302.500,0100,4,3,0.820,snare
120875.0,302.750,0000,0,3,1.000,unknown
121000.0,303.000,3001,4,2,0.910,kick
121125.0,303.250,0000,0,3,1.000,unknown
121250.0,303.500,0000,0,3,1.000,unknown
121375.0,303.750,0000,0,3,1.000,unknown
121500.0,304.000,0000,0,2,1.000,unknown
121625.0,304.250,0000,0,3,1.000,unknown
121750.0,304.500,0010,4,3,0.790,snare
121875.0,304.750,0000,0,3,1.000,unknown
122000.0,305.000,",",-1,-1,1.000,separator
