Here is the StepMania beatmap for the 20-second audio clip at 150 BPM:
```css
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,2000,4,2,0.95,kick
2202.27,5.25,0000,0,3,1.0,unknown
2399.64,5.45,0010,4,3,0.80,snare
2446.08,5.65,0000,0,3,1.0,unknown
2504.13,5.84,0000,0,3,1.0,unknown
2573.79,6.04,0000,0,3,1.0,unknown
2655.06,6.23,0000,0,3,1.0,unknown
2794.38,6.44,0010,4,3,0.83,snare
3003.36,6.64,0000,0,3,1.0,unknown
3177.51,6.84,0000,0,3,1.0,unknown
3293.61,7.03,0000,0,3,1.0,unknown
3386.49,7.23,0000,0,3,1.0,unknown
3595.46,7.43,0000,0,3,1.0,unknown
3781.22,7.62,0000,0,3,1.0,unknown
3897.32,7.82,0010,4,3,0.81,snare
3978.59,8.02,0000,0,3,1.0,unknown
4187.57,8.22,0000,0,3,1.0,unknown
4257.23,8.42,0000,0,3,1.0,unknown
4396.55,8.62,0010,4,3,0.78,snare
4559.09,8.82,0000,0,3,1.0,unknown
4698.41,9.02,0000,0,3,1.0,unknown
4802.90,9.22,0010,4,3,0.80,snare
5209.25,9.43,0000,0,3,1.0,unknown
5383.40,9.63,0000,0,3,1.0,unknown
5580.77,9.82,0000,0,3,1.0,unknown
5708.48,10.02,0000,0,3,1.0,unknown
5778.14,10.22,0000,0,3,1.0,unknown
5859.41,10.42,0000,0,3,1.0,unknown
5952.29,10.62,0010,4,3,0.80,snare
6172.88,10.82,0000,0,3,1.0,unknown
6381.86,11.02,0000,0,3,1.0,unknown
6799.82,11.22,0000,0,3,1.0,unknown
6997.19,11.42,0000,0,3,1.0,unknown
7194.56,11.62,0000,0,3,1.0,unknown
7403.54,11.82,0000,0,3,1.0,unknown
7461.59,12.02,0000,0,3,1.0,unknown
7600.91,12.22,0000,0,3,1.0,unknown
7798.28,12.42,0000,0,3,1.0,unknown
7984.04,12.62,0000,0,3,1.0,unknown
8181.41,12.82,0000,0,3,1.0,unknown
8402.00,13.02,0000,0,3,1.0,unknown
8576.15,13.22,0000,0,3,1.0,unknown
8785.12,13.42,0000,0,3,1.0,unknown
8912.83,13.62,0000,0,3,1.0,unknown
8970.88,13.82,0000,0,3,1.0,unknown
9063.76,14.02,0000,0,3,1.0,unknown
9145.03,14.22,0000,0,3,1.0,unknown
9400.45,14.42,0000,0,3,1.0,unknown
9876.46,14.62,0000,0,3,1.0,unknown
9946.12,14.82,0000,0,3,1.0,unknown
10085.44,15.02,0000,0,3,1.0,unknown
10143.49,15.22,0000,0,3,1.0,unknown
10387.30,15.42,0000,0,3,1.0,unknown
10596.28,15.62,0000,0,3,1.0,unknown
10723.99,15.82,0000,0,3,1.0,unknown
10921.36,16.02,0000,0,3,1.0,unknown
11200.00,16.22,0000,0,3,1.0,unknown
11803.72,16.42,0000,0,3,1.0,unknown
11954.65,16.62,0000,0,3,1.0,unknown
12198.46,16.82,0000,0,3,1.0,unknown
12384.22,17.02,0000,0,3,1.0,unknown
12802.18,17.22,0000,0,3,1.0,unknown
12987.94,17.42,0000,0,3,1.0,unknown
13173.70,17.62,0000,0,3,1.0,unknown
13394.29,17.82,0000,0,3,1.0,unknown
13603.27,18.02,0000,0,3,1.0,unknown
13777.41,18.22,0000,0,3,1.0,unknown
13963.17,18.42,0000,0,3,1.0,unknown
14206.98,18.62,0000,0,3,1.0,unknown
14381.13,18.82,0000,0,3,1.0,unknown
14799.09,19.02,0000,0,3,1.0,unknown
14996.46,19.22,0000,0,3,1.0,unknown
15042.90,19.42,0000,0,3,1.0,unknown
15112.56,19.62,0000,0,3,1.0,unknown
15251.88,19.82,0000,0,3,1.0,unknown
15391.20,20.02,0000,0,3,1.0,unknown
15495.69,20.22,0000,0,3,1.0,unknown
15565.35,20.42,0000,0,3,1.0,unknown
15751.11,20.62,0000,0,3,1.0,unknown
15855.60,20.82,0000,0,3,1.0,unknown
15994.92,21.02,0000,0,3,1.0,unknown
16064.58,21.22,0000,0,3,1.0,unknown
16192.29,21.42,0000,0,3,1.0,unknown
16401.27,21.62,0000,0,3,1.0,unknown
16587.03,21.82,0000,0,3,1.0,unknown
16796.01,22.02,0000,0,3,1.0,unknown
16993.38,22.22,0000,0,3,1.0,unknown
17202.36,22.42,0000,0,3,1.0,unknown
17388.12,22.62,0000,0,3,1.0,unknown
17597.10,22.82,0000,0,3,1.0,unknown
18200.82,23.02,0000,0,3,1.0,unknown
18235.65,23.22,0000,0,3,1.0,unknown
18351.75,23.42,0000,0,3,1.0,unknown
