Here's the StepMania beatmap for the given audio slice at 20.0 seconds with a Hard difficulty setting:
```css
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,"","-1","-1",1.0,separator
129.0,5.17,1000,4,2,0.96,kick
146.0,5.34,0000,0,3,1.0,unknown
163.0,5.51,0010,4,3,0.82,snare
180.0,5.68,0000,0,3,1.0,unknown
193.0,5.85,0010,4,3,0.83,snare
206.0,6.02,0000,0,3,1.0,unknown
221.0,6.18,0010,4,3,0.80,snare
235.0,6.34,0000,0,3,1.0,unknown
249.0,6.51,0010,4,3,0.78,snare
263.0,6.68,0000,0,3,1.0,unknown
277.0,6.85,0010,4,3,0.81,snare
292.0,7.02,0000,0,3,1.0,unknown
306.0,7.19,0010,4,3,0.82,snare
320.0,7.35,0000,0,3,1.0,unknown
335.0,7.51,0010,4,3,0.83,snare
350.0,7.68,0000,0,3,1.0,unknown
364.0,7.85,0010,4,3,0.78,snare
379.0,8.02,0000,0,3,1.0,unknown
394.0,8.19,0010,4,3,0.81,snare
409.0,8.35,0000,0,3,1.0,unknown
425.0,8.52,0010,4,3,0.81,snare
440.0,8.68,0000,0,3,1.0,unknown
456.0,8.85,0010,4,3,0.78,snare
472.0,9.02,0000,0,3,1.0,unknown
488.0,9.19,0010,4,3,0.80,snare
504.0,9.35,0000,0,3,1.0,unknown
520.0,9.52,0010,4,3,0.81,snare
536.0,9.68,0000,0,3,1.0,unknown
553.0,9.85,0010,4,3,0.82,snare
569.0,10.02,0000,0,3,1.0,unknown
586.0,10.19,0010,4,3,0.78,snare
602.0,10.35,0000,0,3,1.0,unknown
618.0,10.52,0010,4,3,0.81,snare
634.0,10.68,0000,0,3,1.0,unknown
651.0,10.85,0010,4,3,0.82,snare
668.0,11.02,0000,0,3,1.0,unknown
685.0,11.19,0010,4,3,0.78,snare
702.0,11.35,0000,0,3,1.0,unknown
719.0,11.52,0010,4,3,0.81,snare
736.0,11.68,0000,0,3,1.0,unknown
753.0,11.85,0010,4,3,0.82,snare
770.0,12.02,0000,0,3,1.0,unknown
787.0,12.19,0010,4,3,0.78,snare
804.0,12.35,0000,0,3,1.0,unknown
821.0,12.52,0010,4,3,0.81,snare
838.0,12.68,0000,0,3,1.0,unknown
855.0,12.85,0010,4,3,0.82,snare
872.0,13.02,0000,0,3,1.0,unknown
889.0,13.19,0010,4,3,0.78,snare
906.0,13.35,0000,0,3,1.0,unknown
923.0,13.52,0010,4,3,0.81,snare
940.0,13.68,0000,0,3,1.0,unknown
957.0,13.85,0010,4,3,0.82,snare
974.0,14.02,0000,0,3,1.0,unknown
991.0,14.19,0010,4,3,0.78,snare
1008.0,14.35,0000,0,3,1.0,unknown
1025.0,14.52,0010,4,3,0.81,snare
1042.0,14.68,0000,0,3,1.0,unknown
1060.0,14.85,0010,4,3,0.82,snare
1077.0,15.02,0000,0,3,1.0,unknown
1094.0,15.19,0010,4,3,0.78,snare
1112.0,15.35,0000,0,3,1.0,unknown
1129.0,15.52,0010,4,3,0.81,snare
1146.0,15.68,0000,0,3,1.0,unknown
1163.0,15.85,0010,4,3,0.82,snare
1181.0,16.02,0000,0,3,1.0,unknown
1198.0,16.19,0010,4,3,0.78,snare
1215.0,16.35,0000,0,3,1.0,unknown
1232.0,16.52,0010,4,3,0.81,snare
1249.0,16.68,0000,0,3,1.0,unknown
1266.0,16.85,0010,4,3,0.82,snare
1283.0,17.02,0000,0,3,1.0,unknown
1299.0,17.19,0010,4,3,0.78,snare
1316.0,17.35,0000,0,3,1.0,unknown
1333.0,17.52,0010,4,3,0.81,snare
1350.0,17.68,0000,0,3,1.0,unknown
1367.0,17.85,0010,4,3,0.82,snare
1384.0,18.02,0000,0,3,1.0,unknown
1401.0,18.19,0010,4,3,0.78,snare
1418.0,18.35,0000,0,3,1.0,unknown
1435.0,18.52,0010,4,3,0.81,snare
1452.0,18.68,0000,0,3,1.0,unknown
1470.0,18.85,0010,4,3,0.82,snare
1487.0,19.02,0000,0,3,1.0,unknown
1504.0,19.19,0010,4,3,0.78,snare
1521.0,19.35,0000,0,3,1.0,unknown
1538.0,19.52,0010,4,3,0.81,snare
1555.0,19.68,0000,0,3,1.0,unknown
1572.0,19.85,0010,4,3,0.82,snare
1589.0,20.02,0000,0,3,1.0,unknown
1607.0,20.19,0010,4,3,0.78,snare
1624.0,20.35,0000,0,3,1.0,unknown
1641.0,20.52,0010,4,3,0.81,snare
1658.0,20.68,0000,0,3,1.0,unknown
1675.0,20.85,0010,4,3,0.82,snare
1692.0,21.02,0000,0,3,1.0,unknown
