Here's the StepMania beatmap for the 9.6-second audio slice with a Hard difficulty:
```yaml
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,0000,0,2,1.0,unknown
2175.0,5.25,0000,0,3,1.0,unknown
2375.0,5.50,0010,4,3,0.83,snare
2500.0,5.75,0000,0,3,1.0,unknown
2625.0,6.00,0000,0,2,1.0,unknown
2750.0,6.25,0000,0,3,1.0,unknown
2875.0,6.50,0010,4,3,0.83,snare
2975.0,6.75,0000,0,3,1.0,unknown
3125.0,7.00,0000,0,2,1.0,unknown
3250.0,7.25,0000,0,3,1.0,unknown
3375.0,7.50,0010,4,3,0.83,snare
3500.0,7.75,0000,0,3,1.0,unknown
3625.0,8.00,0000,0,2,1.0,unknown
3750.0,8.25,0000,0,3,1.0,unknown
3875.0,8.50,0010,4,3,0.83,snare
3975.0,8.75,0000,0,3,1.0,unknown
4125.0,9.00,0000,0,2,1.0,unknown
4250.0,9.25,0000,0,3,1.0,unknown
4375.0,9.50,0010,4,3,0.83,snare
4500.0,9.75,0000,0,3,1.0,unknown
4625.0,10.00,0000,0,2,1.0,unknown
4875.0,10.25,0000,0,3,1.0,unknown
4975.0,10.50,0010,4,3,0.83,snare
5125.0,10.75,0000,0,3,1.0,unknown
5250.0,11.00,0000,0,2,1.0,unknown
5416.0,11.25,0000,0,3,1.0,unknown
5575.0,11.50,0010,4,3,0.83,snare
5750.0,11.75,0000,0,3,1.0,unknown
5925.0,12.00,0000,0,2,1.0,unknown
6075.0,12.25,0000,0,3,1.0,unknown
6250.0,12.50,0010,4,3,0.83,snare
6417.0,12.75,0000,0,3,1.0,unknown
6575.0,13.00,0000,0,2,1.0,unknown
6750.0,13.25,0000,0,3,1.0,unknown
6925.0,13.50,0010,4,3,0.83,snare
7075.0,13.75,0000,0,3,1.0,unknown
7250.0,14.00,0000,0,2,1.0,unknown
7500.0,14.25,0000,0,3,1.0,unknown
7625.0,14.50,0000,0,2,1.0,unknown
7875.0,14.75,0000,0,3,1.0,unknown
7999.0,15.00,0000,0,2,1.0,unknown
8175.0,15.25,0000,0,3,1.0,unknown
8375.0,15.50,0010,4,3,0.83,snare
8500.0,15.75,0000,0,3,1.0,unknown
8625.0,16.00,0000,0,2,1.0,unknown
8875.0,16.25,0000,0,3,1.0,unknown
9000.0,16.50,0000,0,2,1.0,unknown
9125.0,16.75,0000,0,3,1.0,unknown
9250.0,17.00,0000,0,2,1.0,unknown
9375.0,17.25,0000,0,3,1.0,unknown
9500.0,17.50,0000,0,2,1.0,unknown
9625.0,17.75,0000,0,3,1.0,unknown
9750.0,18.00,0000,0,2,1.0,unknown
9875.0,18.25,0000,0,3,1.0,unknown
9999.0,18.50,0000,0,2,1.0,unknown
10175.0,18.75,0000,0,3,1.0,unknown
10375.0,19.00,0000,0,2,1.0,unknown
10500.0,19.25,0000,0,3,1.0,unknown
10625.0,19.50,0000,0,2,1.0,unknown
10750.0,19.75,0000,0,3,1.0,unknown
10925.0,20.00,0000,0,2,1.0,unknown
11075.0,20.25,0000,0,3,1.0,unknown
11250.0,20.50,0010,4,3,0.82,snare
11416.0,20.75,0000,0,3,1.0,unknown
11575.0,21.00,0000,0,2,1.0,unknown
11750.0,21.25,0000,0,3,1.0,unknown
11925.0,21.50,0010,4,3,0.82,snare
12075.0,21.75,0000,0,3,1.0,unknown
12250.0,22.00,0000,0,2,1.0,unknown
12417.0,22.25,0000,0,3,1.0,unknown
12575.0,22.50,0010,4,3,0.82,snare
12750.0,22.75,0000,0,3,1.0,unknown
12925.0,23.00,0000,0,2,1.0,unknown
13075.0,23.25,0000,0,3,1.0,unknown
13250.0,23.50,0010,4,3,0.82,snare
13417.0,23.75,0000,0,3,1.0,unknown
13575.0,24.00,0000,0,2,1.0,unknown
13750.0,24.25,0000,0,3,1.0,unknown
13925.0,24.50,0010,4,3,0.82,snare
14075.0,24.75,0000,0,3,1.0,unknown
14250.0,25.00,0000,0,2,1.0,unknown
14417.0,25.25,0000,0,3,1.0,unknown
14575.0,25.50,0010,4,3,0.82,snare
14750.0,25.75,0000,0,3,1.0,unknown
14925.0,26.00,0000,0,2,1.0,unknown
15075.0,26.25,0000,0,3,1.0,unknown
15250.0,26.50,0010,4,3,0.82,snare
15417.0,26.75,0000,0,3,1.0,unknown
15575.0,27.00,0000,0,2,1.0,unknown
15750.0,27.25,0000,0,3,1.0,unknown
15925.0,27.50,0010,4,3,0.82,snare
16075.0,27.75,0000,0,3,1.0,unknown
16250.0,28.00,0000,0,2,1.0,unknown
