time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.980,kick
86.2,1.250,0000,0,3,1.000,unknown
172.4,1.500,0000,0,3,1.000,unknown
258.6,1.750,0000,0,3,1.000,unknown
344.8,2.000,0100,4,2,0.950,snare
431.0,2.250,0000,0,3,1.000,unknown
517.2,2.500,0000,0,3,1.000,unknown
603.4,2.750,0000,0,3,1.000,unknown
689.6,3.000,1001,4,2,0.980,kick
775.8,3.250,0000,0,3,1.000,unknown
862.0,3.500,0000,0,3,1.000,unknown
948.2,3.750,0000,0,3,1.000,unknown
1034.4,4.000,0100,4,2,0.950,snare
1120.6,4.250,0000,0,3,1.000,unknown
1206.8,4.500,0000,0,3,1.000,unknown
1293.0,4.750,0000,0,3,1.000,unknown
1379.3,5.000,",",-1,-1,1.000,separator
1379.3,5.000,1000,4,2,0.980,kick
1465.5,5.250,0000,0,3,1.000,unknown
1551.7,5.500,0001,4,3,0.880,snare
1637.9,5.750,0000,0,3,1.000,unknown
1724.1,6.000,0100,4,2,0.950,snare
1810.3,6.250,0000,0,3,1.000,unknown
1896.5,6.500,0000,0,3,1.000,unknown
1982.7,6.750,1000,4,3,0.820,kick
2068.9,7.000,1001,4,2,0.980,kick
2155.1,7.250,0000,0,3,1.000,unknown
2241.3,7.500,0010,4,3,0.850,snare
2327.5,7.750,0000,0,3,1.000,unknown
2413.7,8.000,0100,4,2,0.950,snare
2499.9,8.250,0000,0,3,1.000,unknown
2586.1,8.500,0000,0,3,1.000,unknown
2672.3,8.750,0001,4,3,0.790,kick
2758.6,9.000,",",-1,-1,1.000,separator
2758.6,9.000,1010,4,2,0.980,kick
2844.8,9.250,0000,0,3,1.000,unknown
2931.0,9.500,0100,4,3,0.900,snare
3017.2,9.750,0000,0,3,1.000,unknown
3103.4,10.000,1000,4,2,0.950,kick
3189.6,10.250,0000,0,3,1.000,unknown
3275.8,10.500,0010,4,3,0.880,melody
3362.0,10.750,0000,0,3,1.000,unknown
3448.2,11.000,0001,4,2,0.980,kick
3534.4,11.250,0000,0,3,1.000,unknown
3620.6,11.500,1000,4,3,0.850,kick
3706.8,11.750,0000,0,3,1.000,unknown
3793.0,12.000,0100,4,2,0.950,snare
3879.2,12.250,0000,0,3,1.000,unknown
3965.4,12.500,0010,4,3,0.820,melody
4051.6,12.750,0001,4,3,0.750,kick
4137.9,13.000,",",-1,-1,1.000,separator
