time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,2000,4,2,1.0,bass
2125.0,5.25,0000,0,3,1.0,unknown
2250.0,5.5,0100,4,3,0.84,snare
2375.0,5.75,0000,0,3,1.0,unknown
2500.0,6.0,3001,4,2,0.93,kick
2625.0,6.25,0000,0,3,1.0,unknown
2750.0,6.5,0000,0,3,1.0,unknown
2875.0,6.75,0000,0,3,1.0,unknown
2999.999,7.0,2000,4,2,1.0,bass
2999.999,7.25,0000,0,3,1.0,unknown
2999.999,7.5,0100,4,3,0.82,snare
2999.999,7.75,0000,0,3,1.0,unknown
2999.999,8.0,3001,4,2,0.91,kick
2999.999,8.25,0000,0,3,1.0,unknown
2999.999,8.5,0000,0,3,1.0,unknown
2999.999,8.75,0000,0,3,1.0,unknown
2999.999,9.0,2000,4,2,1.0,bass
2999.999,9.25,0000,0,3,1.0,unknown
2999.999,9.5,0100,4,3,0.82,snare
2999.999,9.75,0000,0,3,1.0,unknown
2999.999,10.0,3001,4,2,0.93,kick
2999.999,10.25,0000,0,3,1.0,unknown
2999.999,10.5,0000,0,3,1.0,unknown
2999.999,10.75,0000,0,3,1.0,unknown
2999.999,11.0,2000,4,2,1.0,bass
2999.999,11.25,0000,0,3,1.0,unknown
2999.999,11.5,0100,4,3,0.84,snare
2999.999,11.75,0000,0,3,1.0,unknown
2999.999,12.0,3001,4,2,0.93,kick
2999.999,12.25,0000,0,3,1.0,unknown
2999.999,12.5,0000,0,3,1.0,unknown
2999.999,12.75,0000,0,3,1.0,unknown
2999.999,13.0,2000,4,2,1.0,bass
2999.999,13.25,0000,0,3,1.0,unknown
2999.999,13.5,0100,4,3,0.82,snare
2999.999,13.75,0000,0,3,1.0,unknown
2999.999,14.0,3001,4,2,0.91,kick
2999.999,14.25,0000,0,3,1.0,unknown
2999.999,14.5,0000,0,3,1.0,unknown
2999.999,14.75,0000,0,3,1.0,unknown
2999.999,15.0,2000,4,2,1.0,bass
2999.999,15.25,0000,0,3,1.0,unknown
2999.999,15.5,0100,4,3,0.82,snare
2999.999,15.75,0000,0,3,1.0,unknown
2999.999,16.0,3001,4,2,0.93,kick
2999.999,16.25,0000,0,3,1.0,unknown
2999.999,16.5,0000,0,3,1.0,unknown
2999.999,16.75,0000,0,3,1.0,unknown
2999.999,17.0,2000,4,2,1.0,bass
2999.999,17.25,0000,0,3,1.0,unknown
2999.999,17.5,0100,4,3,0.82,snare
2999.999,17.75,0000,0,3,1.0,unknown
2999.999,18.0,3001,4,2,0.91,kick
2999.999,18.25,0000,0,3,1.0,unknown
2999.999,18.5,0000,0,3,1.0,unknown
