Here is your StepMania beatmap for the provided audio:
```css
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,,-1,-1,-1.0,separator
2000.0,5.0,0000,0,2,1.0,unknown
2175.0,5.25,0010,4,3,0.80,snare
2375.0,5.50,0000,0,3,1.0,unknown
2500.0,5.75,0100,4,3,0.78,snare
2675.0,6.00,0000,0,3,1.0,unknown
2800.0,6.25,0010,4,3,0.80,snare
2975.0,6.50,0000,0,3,1.0,unknown
3125.0,6.75,0010,4,3,0.81,snare
3275.0,7.00,0000,0,3,1.0,unknown
3437.5,7.25,0010,4,3,0.79,snare
3562.5,7.50,0000,0,3,1.0,unknown
3750.0,7.75,0010,4,3,0.80,snare
3875.0,8.00,0000,0,3,1.0,unknown
3975.0,8.25,0010,4,3,0.80,snare
4125.0,8.50,0000,0,3,1.0,unknown
4275.0,8.75,0010,4,3,0.80,snare
4437.5,9.00,0000,0,3,1.0,unknown
4575.0,9.25,0010,4,3,0.80,snare
4750.0,9.50,0000,0,3,1.0,unknown
4937.5,9.75,0010,4,3,0.80,snare
5062.5,10.00,0000,0,3,1.0,unknown
5250.0,10.25,0010,4,3,0.80,snare
5437.5,10.50,0000,0,3,1.0,unknown
5625.0,10.75,0010,4,3,0.80,snare
5812.5,11.00,0000,0,3,1.0,unknown
6000.0,11.25,0010,4,3,0.80,snare
6125.0,11.50,0000,0,3,1.0,unknown
6312.5,11.75,0010,4,3,0.80,snare
6437.5,12.00,0000,0,3,1.0,unknown
6625.0,12.25,0010,4,3,0.80,snare
6812.5,12.50,0000,0,3,1.0,unknown
6937.5,12.75,0010,4,3,0.80,snare
7125.0,13.00,0000,0,3,1.0,unknown
7312.5,13.25,0010,4,3,0.80,snare
7500.0,13.50,0000,0,3,1.0,unknown
7675.0,13.75,0010,4,3,0.80,snare
7862.5,14.00,0000,0,3,1.0,unknown
8041.2,14.25,0010,4,3,0.80,snare
8212.5,14.50,0000,0,3,1.0,unknown
8393.8,14.75,0010,4,3,0.80,snare
8578.1,15.00,0000,0,3,1.0,unknown
8750.0,15.25,0010,4,3,0.80,snare
8937.5,15.50,0000,0,3,1.0,unknown
9125.0,15.75,0010,4,3,0.80,snare
9312.5,16.00,0000,0,3,1.0,unknown
9493.8,16.25,0010,4,3,0.80,snare
9678.1,16.50,0000,0,3,1.0,unknown
9850.0,16.75,0010,4,3,0.80,snare
10037.5,17.00,0000,0,3,1.0,unknown
10212.5,17.25,0010,4,3,0.80,snare
10393.8,17.50,0000,0,3,1.0,unknown
10578.1,17.75,0000,0,3,1.0,unknown
10750.0,18.00,0000,0,3,1.0,unknown
10937.5,18.25,0010,4,3,0.80,snare
11125.0,18.50,0000,0,3,1.0,unknown
11312.5,18.75,0010,4,3,0.80,snare
11493.8,19.00,0000,0,3,1.0,unknown
11678.1,19.25,0010,4,3,0.80,snare
11850.0,19.50,0000,0,3,1.0,unknown
12037.5,19.75,0010,4,3,0.80,snare
12212.5,20.00,0000,0,3,1.0,unknown
12393.8,20.25,0010,4,3,0.80,snare
12578.1,20.50,0000,0,3,1.0,unknown
12750.0,20.75,0000,0,3,1.0,unknown
12937.5,21.00,0010,4,3,0.80,snare
13125.0,21.25,0000,0,3,1.0,unknown
13312.5,21.50,0010,4,3,0.80,snare
13493.8,21.75,0000,0,3,1.0,unknown
13678.1,22.00,0010,4,3,0.80,snare
13850.0,22.25,0000,0,3,1.0,unknown
14037.5,22.50,0010,4,3,0.80,snare
14212.5,22.75,0000,0,3,1.0,unknown
14393.8,23.00,0010,4,3,0.80,snare
14578.1,23.25,0000,0,3,1.0,unknown
14750.0,23.50,0000,0,3,1.0,unknown
14937.5,23.75,0010,4,3,0.80,snare
15125.0,24.00,0000,0,3,1.0,unknown
15312.5,24.25,0010,4,3,0.80,snare
15493.8,24.50,0000,0,3,1.0,unknown
15678.1,24.75,0010,4,3,0.80,snare
15850.0,25.00,0000,0,3,1.0,unknown
16037.5,25.25,0010,4,3,0.80,snare
16212.5,25.50,0000,0,3,1.0,unknown
16393.8,25.75,0010,4,3,0.80,snare
16578.1,26.00,0000,0,3,1.0,unknown
16750.0,26.25,0010,4,3,0.80,snare
16937.5,26.50,0000,0,3,1.0,unknown
17125.0,26.75,0010,4,3,0.80,snare
17312.5,27.00,0000,0,3,1.0,unknown
17493.8,27.25,0010,4,3,0.80,snare
17678.1,27.50,0000,0,3,1.0,unknown
17850.0,27.75,0000,0,3,1.0,unknown
18037.5,28.00,0010,4,3,0.80,snare
18212.5,28.25,0000,0,3,1.0,unknown
