time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,4,2,1.000,kick
344.83,1.000,0010,4,2,1.000,snare
689.66,2.000,1000,4,2,1.000,kick
1034.48,3.000,0010,4,2,1.000,snare
1379.31,4.000,",",-1,-1,1.000,separator
1379.31,4.000,0100,4,2,1.000,kick
1724.14,5.000,0001,4,2,1.000,snare
2068.97,6.000,0100,4,2,1.000,kick
2413.79,7.000,0001,4,2,1.000,snare
2758.62,8.000,",",-1,-1,1.000,separator
2758.62,8.000,1000,4,2,1.000,kick
3103.45,9.000,0010,4,2,1.000,snare
3448.28,10.000,1000,4,2,1.000,kick
3793.1,11.000,0010,4,2,1.000,snare
4137.93,12.000,",",-1,-1,1.000,separator
4137.93,12.000,0100,4,2,1.000,kick
4482.76,13.000,0001,4,2,1.000,snare
4827.59,14.000,0100,4,2,1.000,kick
5172.41,15.000,0001,4,2,1.000,snare
5517.24,16.000,",",-1,-1,1.000,separator
5517.24,16.000,1001,4,2,1.000,kick
5862.07,17.000,0110,4,2,1.000,snare
6206.9,18.000,1001,4,2,1.000,kick
6551.72,19.000,0110,4,2,1.000,snare
6896.55,20.000,",",-1,-1,1.000,separator
6896.55,20.000,0100,4,2,1.000,kick
7241.38,21.000,0001,4,2,1.000,snare
7586.21,22.000,0100,4,2,1.000,kick
7931.03,23.000,0001,4,2,1.000,snare
8275.86,24.000,",",-1,-1,1.000,separator
8275.86,24.000,1000,4,2,1.000,kick
8620.69,25.000,0010,4,2,1.000,snare
8965.52,26.000,1000,4,2,1.000,kick
9310.34,27.000,0010,4,2,1.000,snare
9655.17,28.000,",",-1,-1,1.000,separator
9655.17,28.000,0100,4,2,1.000,kick
10000.0,29.000,0001,4,2,1.000,snare
10344.83,30.000,0100,4,2,1.000,kick
10689.66,31.000,0001,4,2,1.000,snare
11034.48,32.000,",",-1,-1,1.000,separator
11034.48,32.000,1000,4,2,1.000,kick
11206.9,32.500,0000,0,3,1.000,unknown
11379.31,33.000,0010,4,2,1.000,synth
11551.72,33.500,0000,0,3,1.000,unknown
11724.14,34.000,0100,4,2,1.000,kick
11896.55,34.500,0000,0,3,1.000,unknown
12068.97,35.000,0001,4,2,1.000,synth
12241.38,35.500,0000,0,3,1.000,unknown
12413.79,36.000,",",-1,-1,1.000,separator
12413.79,36.000,1000,4,2,1.000,kick
12586.21,36.500,0100,4,3,0.900,synth
12758.62,37.000,0010,4,2,1.000,synth
12931.03,37.500,0001,4,3,0.900,synth
13103.45,38.000,1000,4,2,1.000,kick
13275.86,38.500,0100,4,3,0.900,synth
13448.28,39.000,0010,4,2,1.000,synth
13620.69,39.500,0001,4,3,0.900,synth
13793.1,40.000,",",-1,-1,1.000,separator
13793.1,40.000,1000,4,2,1.000,kick
13965.52,40.500,0010,4,3,0.900,synth
14137.93,41.000,0100,4,2,1.000,synth
14310.34,41.500,0001,4,3,0.900,synth
14482.76,42.000,1000,4,2,1.000,kick
14655.17,42.500,0010,4,3,0.900,synth
14827.59,43.000,0100,4,2,1.000,synth
15000.0,43.500,0001,4,3,0.900,synth
15172.41,44.000,",",-1,-1,1.000,separator
15172.41,44.000,1000,4,2,1.000,kick
15344.83,44.500,0100,4,3,0.900,synth
15517.24,45.000,0010,4,2,1.000,synth
15689.66,45.500,0001,4,3,0.900,synth
15862.07,46.000,1000,4,2,1.000,kick
16034.48,46.500,0100,4,3,0.900,synth
16206.9,47.000,0010,4,2,1.000,synth
16379.31,47.500,0001,4,3,0.900,synth
16551.72,48.000,",",-1,-1,1.000,separator
16551.72,48.000,1000,4,2,1.000,kick
16724.14,48.500,0010,4,3,0.900,synth
16896.55,49.000,0100,4,2,1.000,synth
17068.97,49.500,0001,4,3,0.900,synth
17241.38,50.000,1000,4,2,1.000,kick
17413.79,50.500,0010,4,3,0.900,synth
17586.21,51.000,0100,4,2,1.000,synth
17758.62,51.500,0001,4,3,0.900,synth
17931.03,52.000,",",-1,-1,1.000,separator
17931.03,52.000,1001,4,2,1.000,kick
18103.45,52.500,0110,4,3,0.900,synth
18275.86,53.000,1001,4,2,1.000,kick
18448.28,53.500,0110,4,3,0.900,synth
18620.69,54.000,1001,4,2,1.000,kick
18793.1,54.500,0110,4,3,0.900,synth
18965.52,55.000,1001,4,2,1.000,kick
19137.93,55.500,0110,4,3,0.900,synth
19310.34,56.000,",",-1,-1,1.000,separator
19310.34,56.000,1001,4,2,1.000,kick
19482.76,56.500,0110,4,3,0.900,synth
19655.17,57.000,1001,4,2,1.000,kick
19827.59,57.500,0110,4,3,0.900,synth
20000.0,58.000,1001,4,2,1.000,kick
20172.41,58.500,0110,4,3,0.900,synth
20344.83,59.000,1001,4,2,1.000,kick
20517.24,59.500,0110,4,3,0.900,synth
20689.66,60.000,",",-1,-1,1.000,separator
20689.66,60.000,1000,4,2,1.000,kick
20862.07,60.500,0000,0,3,1.000,unknown
21034.48,61.000,0100,4,2,1.000,snare
21206.9,61.500,0000,0,3,1.000,unknown
21379.31,62.000,0010,4,2,1.000,kick
21551.72,62.500,0000,0,3,1.000,unknown
21724.14,63.000,0001,4,2,1.000,snare
21896.55,63.500,0000,0,3,1.000,unknown
22068.97,64.000,",",-1,-1,1.000,separator
22068.97,64.000,1001,4,2,1.000,kick
22241.38,64.500,0110,4,3,0.900,bass
22413.79,65.000,0110,4,2,1.000,bass
22586.21,65.500,0110,4,3,0.900,bass
22758.62,66.000,1001,4,2,1.000,snare
22931.03,66.500,0110,4,3,0.900,bass
23103.45,67.000,0110,4,2,1.000,bass
23275.86,67.500,0110,4,3,0.900,bass
23448.28,68.000,",",-1,-1,1.000,separator
23448.28,68.000,0110,4,2,1.000,kick
23620.69,68.500,1001,4,3,0.900,bass
23793.1,69.000,1001,4,2,1.000,bass
23965.52,69.500,1001,4,3,0.900,bass
24137.93,70.000,0110,4,2,1.000,snare
24310.34,70.500,1001,4,3,0.900,bass
24482.76,71.000,1001,4,2,1.000,bass
24655.17,71.500,1001,4,3,0.900,bass
24827.59,72.000,",",-1,-1,1.000,separator
24827.59,72.000,1001,4,2,1.000,kick
25000.0,72.500,0100,4,3,0.900,bass
25172.41,73.000,0010,4,2,1.000,bass
25344.83,73.500,0001,4,3,0.900,bass
25517.24,74.000,1001,4,2,1.000,snare
25689.66,74.500,0100,4,3,0.900,bass
25862.07,75.000,0010,4,2,1.000,bass
26034.48,75.500,0001,4,3,0.900,bass
26206.9,76.000,",",-1,-1,1.000,separator
26206.9,76.000,0110,4,2,1.000,kick
26379.31,76.500,1000,4,3,0.900,bass
26551.72,77.000,0001,4,2,1.000,bass
26724.14,77.500,1000,4,3,0.900,bass
26896.55,78.000,0110,4,2,1.000,snare
27068.97,78.500,0001,4,3,0.900,bass
27241.38,79.000,1000,4,2,1.000,bass
27413.79,79.500,0001,4,3,0.900,bass
27586.21,80.000,",",-1,-1,1.000,separator
27586.21,80.000,1001,4,2,1.000,kick
27758.62,80.500,0110,4,3,0.900,bass
27931.03,81.000,1001,4,2,1.000,bass
28103.45,81.500,0110,4,3,0.900,bass
28275.86,82.000,1001,4,2,1.000,snare
28448.28,82.500,0110,4,3,0.900,bass
28620.69,83.000,1001,4,2,1.000,bass
28793.1,83.500,0110,4,3,0.900,bass
28965.52,84.000,",",-1,-1,1.000,separator
28965.52,84.000,0110,4,2,1.000,kick
29137.93,84.500,1001,4,3,0.900,bass
29310.34,85.000,0110,4,2,1.000,bass
29482.76,85.500,1001,4,3,0.900,bass
29655.17,86.000,0110,4,2,1.000,snare
29827.59,86.500,1001,4,3,0.900,bass
30000.0,87.000,0110,4,2,1.000,bass
30172.41,87.500,1001,4,3,0.900,bass
30344.83,88.000,",",-1,-1,1.000,separator
