# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
152.0,2.16,0.00,0.07|0.35,True,0111,0000-8.1%|0001-13.4%|0010-8.0%|0100-5.1%|1000-4.0%|0011-7.5%|0101-4.1%|0110-15.0%|1001-0.0%|1010-0.0%|1100-5.4%|0111-8.1%|1011-0.0%|1101-6.1%|1110-7.2%|1111-7.9%,0111,1.87
152.0,2.16,0.39,0.46|0.67|0.77,True,0100,0000-8.5%|0001-14.1%|0010-8.3%|0100-5.8%|1000-3.9%|0011-7.7%|0101-4.8%|0110-16.8%|1001-0.0%|1010-0.0%|1100-5.2%|0111-3.8%|1011-0.0%|1101-5.7%|1110-7.2%|1111-8.2%,0100,1.70
152.0,2.16,0.79,0.98|1.07,True,0000,0000-8.8%|0001-14.6%|0010-8.9%|0100-0.0%|1000-4.0%|0011-8.6%|0101-5.3%|0110-17.8%|1001-0.0%|1010-0.0%|1100-5.4%|0111-5.2%|1011-0.0%|1101-5.7%|1110-7.4%|1111-8.5%,0000,1.70
152.0,2.16,1.18,1.28|1.56,True,1000,0000-9.0%|0001-14.4%|0010-7.9%|0100-0.0%|1000-3.8%|0011-7.6%|0101-5.0%|0110-17.1%|1001-0.0%|1010-0.0%|1100-6.1%|0111-4.9%|1011-0.0%|1101-6.3%|1110-8.4%|1111-9.4%,1000,1.70
152.0,2.16,1.58,1.65|1.76|1.86,True,0110,0000-10.5%|0001-12.1%|0010-0.0%|0100-0.0%|1000-5.3%|0011-5.5%|0101-4.9%|0110-13.5%|1001-4.7%|1010-4.5%|1100-5.5%|0111-13.2%|1011-5.1%|1101-0.0%|1110-6.0%|1111-9.2%,0110,1.88
152.0,2.16,1.97,2.04|2.25,True,1010,0000-11.9%|0001-13.4%|0010-4.0%|0100-0.0%|1000-5.4%|0011-5.9%|0101-5.4%|0110-7.2%|1001-4.5%|1010-4.4%|1100-4.9%|0111-13.9%|1011-4.9%|1101-0.0%|1110-5.6%|1111-8.7%,1010,1.88
152.0,2.16,2.37,2.55,True,1110,0000-12.0%|0001-13.9%|0010-4.3%|0100-0.0%|1000-5.1%|0011-6.5%|0101-5.5%|0110-9.2%|1001-4.5%|1010-0.0%|1100-4.9%|0111-15.1%|1011-4.9%|1101-0.0%|1110-5.5%|1111-8.5%,1110,1.88
152.0,2.16,2.76,2.83,True,1011,0000-13.4%|0001-15.1%|0010-4.5%|0100-0.0%|1000-5.7%|0011-6.7%|0101-5.6%|0110-9.3%|1001-4.9%|1010-0.0%|1100-5.4%|0111-14.6%|1011-5.3%|1101-0.0%|1110-0.0%|1111-9.4%,1011,1.88
152.0,2.16,3.16,3.25|3.55,True,0110,0000-7.6%|0001-10.1%|0010-4.0%|0100-0.0%|1000-0.0%|0011-5.9%|0101-5.0%|0110-12.9%|1001-3.9%|1010-4.5%|1100-6.4%|0111-15.7%|1011-0.0%|1101-4.7%|1110-5.2%|1111-14.1%,0110,1.94
152.0,2.16,3.55,3.65,True,0111,0000-7.6%|0001-10.4%|0010-4.0%|0100-0.0%|1000-0.0%|0011-6.0%|0101-5.0%|0110-6.7%|1001-0.0%|1010-4.4%|1100-6.1%|0111-22.8%|1011-4.0%|1101-4.6%|1110-4.9%|1111-13.5%,0111,1.94
152.0,2.16,3.95,3.95|4.25,True,1111,0000-8.5%|0001-11.4%|0010-4.2%|0100-7.6%|1000-0.0%|0011-6.3%|0101-5.4%|0110-8.5%|1001-0.0%|1010-4.4%|1100-6.0%|0111-15.2%|1011-0.0%|1101-4.6%|1110-4.6%|1111-13.4%,1111,1.94
152.0,2.16,4.34,4.48,True,0001,0000-9.3%|0001-12.3%|0010-4.6%|0100-8.1%|1000-0.0%|0011-7.1%|0101-5.5%|0110-9.4%|1001-0.0%|1010-4.4%|1100-6.3%|0111-18.0%|1011-0.0%|1101-4.7%|1110-4.7%|1111-5.6%,0001,1.94
152.0,2.16,4.74,4.76|4.83,True,0100,0000-7.9%|0001-4.2%|0010-4.1%|0100-7.6%|1000-7.0%|0011-6.2%|0101-4.9%|0110-11.1%|1001-4.1%|1010-3.7%|1100-5.0%|0111-19.3%|1011-0.0%|1101-0.0%|1110-5.5%|1111-9.4%,0100,2.07
152.0,2.16,5.13,5.25|5.48,True,0111,0000-8.2%|0001-5.5%|0010-4.4%|0100-0.0%|1000-5.6%|0011-6.7%|0101-5.2%|0110-20.3%|1001-3.2%|1010-0.0%|1100-4.3%|0111-21.7%|1011-0.0%|1101-3.1%|1110-4.5%|1111-7.4%,0111,2.07
152.0,2.16,5.53,5.67|5.87,True,0110,0000-8.4%|0001-5.6%|0010-4.3%|0100-0.0%|1000-6.2%|0011-6.6%|0101-5.5%|0110-19.6%|1001-3.7%|1010-8.7%|1100-4.8%|0111-13.0%|1011-0.0%|1101-0.0%|1110-5.1%|1111-8.5%,0110,2.07
152.0,2.16,5.92,5.99|6.15,True,0001,0000-9.4%|0001-6.0%|0010-4.3%|0100-0.0%|1000-6.6%|0011-6.6%|0101-4.9%|0110-10.5%|1001-3.9%|1010-8.8%|1100-4.7%|0111-14.6%|1011-0.0%|1101-0.0%|1110-11.2%|1111-8.4%,0001,2.10
152.0,2.16,6.32,6.43|6.55|6.64,True,1011,0000-10.6%|0001-0.0%|0010-3.8%|0100-3.8%|1000-4.5%|0011-6.9%|0101-7.0%|0110-10.9%|1001-0.0%|1010-6.4%|1100-3.8%|0111-20.7%|1011-7.1%|1101-0.0%|1110-8.5%|1111-6.0%,1011,2.12
