time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
40000.0,83.667,1000,4,2,0.950,kick
40125.0,83.917,0000,0,3,1.000,unknown
40250.0,84.167,0010,4,3,0.880,snare
40375.0,84.417,0000,0,3,1.000,unknown
40500.0,84.667,2000,4,2,1.000,bass
40625.0,84.917,0000,0,3,1.000,unknown
40750.0,85.167,0100,4,3,0.820,snare
40875.0,85.417,0000,0,3,1.000,unknown
41000.0,85.667,3001,4,2,0.910,kick
41125.0,85.917,,0,3,1.000,unknown
41250.0,86.167,,0,3,1.000,unknown
41375.0,86.417,,0,3,1.000,unknown
41500.0,86.667,,0,2,1.000,unknown
41625.0,86.917,,0,3,1.000,unknown
41750.0,87.167,0010,4,3,0.790,snare
41875.0,87.417,,0,3,1.000,unknown
42000.0,87.667,,0,2,1.000,unknown
100000.0,207.667,1000,4,2,0.950,kick
100125.0,207.917,0000,0,3,1.000,unknown
100250.0,208.167,0010,4,3,0.880,snare
100375.0,208.417,0000,0,3,1.000,unknown
100500.0,208.667,2000,4,2,1.000,bass
100625.0,208.917,0000,0,3,1.000,unknown
100750.0,209.167,0100,4,3,0.820,snare
100875.0,209.417,0000,0,3,1.000,unknown
101000.0,209.667,3001,4,2,0.910,kick
101125.0,209.917,0000,0,3,1.000,unknown
101250.0,210.167,0000,0,3,1.000,unknown
101375.0,210.417,0000,0,3,1.000,unknown
101500.0,210.667,0000,0,2,1.000,unknown
101625.0,210.917,0000,0,3,1.000,unknown
101750.0,211.167,0010,4,3,0.890,snare
101875.0,211.417,0000,0,3,1.000,unknown
102000.0,211.667,",",-1,-1,1.000,separator
140000.0,290.333,1000,4,2,0.950,kick
140125.0,290.583,0000,0,3,1.000,unknown
140250.0,290.833,0010,4,3,0.880,snare
140375.0,291.083,0000,0,3,1.000,unknown
140500.0,291.333,2000,4,2,1.000,bass
140625.0,291.583,0000,0,3,1.000,unknown
140750.0,291.833,0100,4,3,0.820,snare
140875.0,292.083,0000,0,3,1.000,unknown
141000.0,292.333,3001,4,2,0.910,kick
141125.0,292.583,0000,0,3,1.000,unknown
141250.0,292.833,0000,0,3,1.000,unknown
141375.0,293.083,0000,0,3,1.000,unknown
141500.0,293.333,0000,0,2,1.000,unknown
141625.0,293.583,0000,0,3,1.000,unknown
141750.0,293.833,0010,4,3,0.890,snare
141875.0,294.083,0000,0,3,1.000,unknown
142000.0,294.333,",",-1,-1,1.000,separator
