time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,",",-1,-1,1.0,separator
1356.9,40272,1000,4,2,0.95,kick
16134.24,15867.21,1000,4,2,0.95,kick
16343.22,16598.64,1000,4,2,0.95,kick
16500.32,16830.84,1000,4,2,0.95,kick
16613.50,16903.58,1000,4,2,0.95,kick
16725.74,17134.24,1000,4,2,0.95,kick
16830.84,17295.24,1000,4,2,0.95,kick
16903.58,17506.08,1000,4,2,0.95,kick
17075.74,17687.21,1000,4,2,0.95,kick
17134.24,17806.08,1000,4,2,0.95,kick
17295.24,17987.94,1000,4,2,0.95,kick
17442.67,18191.48,1000,4,2,0.95,kick
17506.08,18293.70,1000,4,2,0.95,kick
17687.21,18502.68,1000,4,2,0.95,kick
17806.08,18758.10,1000,4,2,0.95,kick
17987.94,19013.51,1000,4,2,0.95,kick
18191.48,19268.93,1000,4,2,0.95,kick
18359.74,19477.91,1000,4,2,0.95,kick
18502.68,19756.55,1000,4,2,0.95,kick
18758.10,19988.75,1000,4,2,0.95,kick
19013.51,19988.75,1000,4,2,0.95,kick
19268.93,20776.58,1000,4,2,0.95,kick
19477.91,21043.71,1000,4,2,0.95,kick
19756.55,21230.74,1000,4,2,0.95,kick
19988.75,21539.48,1000,4,2,0.95,kick
20776.58,21947.91,1000,4,2,0.95,kick
21043.71,22134.24,1000,4,2,0.95,kick
21230.74,22313.48,1000,4,2,0.95,kick
21539.48,22500.32,1000,4,2,0.95,kick
21947.91,22987.94,1000,4,2,0.95,kick
22134.24,23183.70,1000,4,2,0.95,kick
22313.48,23512.67,1000,4,2,0.95,kick
22500.32,23687.21,1000,4,2,0.95,kick
22987.94,24013.51,1000,4,2,0.95,kick
23183.70,24268.93,1000,4,2,0.95,kick
23512.67,24543.71,1000,4,2,0.95,kick
23687.21,24776.58,1000,4,2,0.95,kick
24013.51,24988.75,1000,4,2,0.95,kick
24268.93,25266.58,1000,4,2,0.95,kick
24543.71,25500.32,1000,4,2,0.95,kick
24776.58,25830.74,1000,4,2,0.95,kick
25266.58,26034.24,1000,4,2,0.95,kick
25500.32,26576.55,1000,4,2,0.95,kick
25830.74,26987.94,1000,4,2,0.95,kick
