time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,2000,4,2,1.000,bass
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,3001,4,2,0.910,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0000,0,3,1.000,unknown
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,0000,0,2,1.000,unknown
1625.0,4.250,0000,0,3,1.000,unknown
1750.0,4.500,0010,4,3,0.890,snare
1875.0,4.750,0000,0,3,1.000,unknown
2000.0,5.000,",",-1,-1,1.000,separator
120000.0,249.000,1000,4,2,0.950,kick
120125.0,249.250,0000,0,3,1.000,unknown
120250.0,249.500,0010,4,3,0.880,snare
120375.0,249.750,0000,0,3,1.000,unknown
120500.0,250.000,2000,4,2,1.000,bass
120625.0,250.250,0000,0,3,1.000,unknown
120750.0,250.500,0100,4,3,0.820,snare
120875.0,250.750,0000,0,3,1.000,unknown
121000.0,251.000,3001,4,2,0.910,kick
121125.0,251.250,,0,3,1.000,unknown
121250.0,251.500,,0,3,1.000,unknown
121375.0,251.750,,0,3,1.000,unknown
121500.0,252.000,,0,2,1.000,unknown
121625.0,252.250,,0,3,1.000,unknown
121750.0,252.500,0010,4,3,0.790,snare
121875.0,252.750,,0,3,1.000,unknown
122000.0,253.000,",",-1,-1,1.000,separator
140000.0,290.333,1000,4,2,0.950,kick
140125.0,290.583,0000,0,3,1.000,unknown
140250.0,290.833,0010,4,3,0.880,snare
140375.0,291.083,0000,0,3,1.000,unknown
140500.0,291.333,2000,4,2,1.000,bass
140625.0,291.583,0000,0,3,1.000,unknown
140750.0,291.833,0100,4,3,0.820,snare
140875.0,292.083,0000,0,3,1.000,unknown
141000.0,292.333,3001,4,2,0.910,kick
141125.0,292.583,,0,3,1.000,unknown
141250.0,292.833,,0,3,1.000,unknown
141375.0,293.083,,0,3,1.000,unknown
141500.0,293.333,,0,2,1.000,unknown
141625.0,293.583,,0,3,0.790,snare
141750.0,293.833,,0,3,1.000,unknown
141875.0,294.083,,0,3,1.000,unknown
142000.0,294.333,,0,2,1.000,unknown
142125.0,294.583,",",-1,-1,1.000,separator
