Here is your CSV:
```sql
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,,-1,-1,-1.0,separator
2171.0,5.25,0000,0,3,1.0,unknown
2250.0,5.50,0000,0,3,1.0,unknown
2330.0,5.75,0000,0,3,1.0,unknown
2410.0,6.00,0000,0,3,1.0,unknown
2490.0,6.25,0000,0,3,1.0,unknown
2570.0,6.50,0000,0,3,1.0,unknown
2650.0,6.75,0000,0,3,1.0,unknown
2730.0,7.00,0000,0,3,1.0,unknown
2810.0,7.25,0000,0,3,1.0,unknown
2890.0,7.50,0000,0,3,1.0,unknown
2970.0,7.75,0000,0,3,1.0,unknown
3050.0,8.00,0000,0,3,1.0,unknown
3130.0,8.25,0000,0,3,1.0,unknown
3210.0,8.50,0000,0,3,1.0,unknown
3290.0,8.75,0000,0,3,1.0,unknown
3370.0,9.00,0000,0,3,1.0,unknown
3450.0,9.25,0000,0,3,1.0,unknown
3530.0,9.50,0000,0,3,1.0,unknown
3610.0,9.75,0000,0,3,1.0,unknown
3690.0,10.00,0000,0,3,1.0,unknown
3770.0,10.25,0000,0,3,1.0,unknown
3850.0,10.50,0000,0,3,1.0,unknown
3930.0,10.75,0000,0,3,1.0,unknown
4010.0,11.00,0000,0,3,1.0,unknown
4090.0,11.25,0000,0,3,1.0,unknown
4170.0,11.50,0000,0,3,1.0,unknown
4250.0,11.75,0000,0,3,1.0,unknown
4330.0,12.00,0000,0,3,1.0,unknown
4410.0,12.25,0000,0,3,1.0,unknown
4490.0,12.50,0000,0,3,1.0,unknown
4570.0,12.75,0000,0,3,1.0,unknown
4650.0,13.00,0000,0,3,1.0,unknown
4730.0,13.25,0000,0,3,1.0,unknown
4810.0,13.50,0000,0,3,1.0,unknown
4890.0,13.75,0000,0,3,1.0,unknown
4970.0,14.00,0000,0,3,1.0,unknown
5050.0,14.25,0000,0,3,1.0,unknown
5130.0,14.50,0000,0,3,1.0,unknown
5210.0,14.75,0000,0,3,1.0,unknown
5290.0,15.00,0000,0,3,1.0,unknown
5370.0,15.25,0000,0,3,1.0,unknown
5450.0,15.50,0000,0,3,1.0,unknown
5530.0,15.75,0000,0,3,1.0,unknown
5610.0,16.00,0000,0,3,1.0,unknown
5690.0,16.25,0000,0,3,1.0,unknown
5770.0,16.50,0000,0,3,1.0,unknown
5850.0,16.75,0000,0,3,1.0,unknown
5930.0,17.00,0000,0,3,1.0,unknown
6010.0,17.25,0000,0,3,1.0,unknown
6090.0,17.50,0000,0,3,1.0,unknown
6170.0,17.75,0000,0,3,1.0,unknown
6250.0,18.00,0000,0,3,1.0,unknown
6330.0,18.25,0000,0,3,1.0,unknown
6410.0,18.50,0000,0,3,1.0,unknown
6490.0,18.75,0000,0,3,1.0,unknown
6570.0,19.00,0000,0,3,1.0,unknown
6650.0,19.25,0000,0,3,1.0,unknown
6730.0,19.50,0000,0,3,1.0,unknown
6810.0,19.75,0000,0,3,1.0,unknown
6890.0,20.00,0000,0,3,1.0,unknown
6970.0,20.25,0000,0,3,1.0,unknown
7050.0,20.50,0000,0,3,1.0,unknown
7130.0,20.75,0000,0,3,1.0,unknown
7210.0,21.00,0000,0,3,1.0,unknown
7290.0,21.25,0000,0,3,1.0,unknown
7370.0,21.50,0000,0,3,1.0,unknown
7450.0,21.75,0000,0,3,1.0,unknown
7530.0,22.00,0000,0,3,1.0,unknown
7610.0,22.25,0000,0,3,1.0,unknown
7690.0,22.50,0000,0,3,1.0,unknown
7770.0,22.75,0000,0,3,1.0,unknown
7850.0,23.00,0000,0,3,1.0,unknown
7930.0,23.25,0000,0,3,1.0,unknown
8010.0,23.50,0000,0,3,1.0,unknown
8090.0,23.75,0000,0,3,1.0,unknown
8170.0,24.00,0000,0,3,1.0,unknown
8250.0,24.25,0000,0,3,1.0,unknown
8330.0,24.50,0000,0,3,1.0,unknown
8410.0,24.75,0000,0,3,1.0,unknown
8490.0,25.00,0000,0,3,1.0,unknown
8570.0,25.25,0000,0,3,1.0,unknown
8650.0,25.50,0000,0,3,1.0,unknown
8730.0,25.75,0000,0,3,1.0,unknown
8810.0,26.00,0000,0,3,1.0,unknown
8890.0,26.25,0000,0,3,1.0,unknown
8970.0,26.50,0000,0,3,1.0,unknown
9050.0,26.75,0000,0,3,1.0,unknown
9130.0,27.00,0000,0,3,1.0,unknown
9210.0,27.25,0000,0,3,1.0,unknown
9290.0,27.50,0000,0,3,1.0,unknown
9370.0,27.75,0000,0,3,1.0,unknown
9450.0,28.00,0000,0,3,1.0,unknown
9530.0,28.25,0000,0,3,1.0,unknown
9610.0,28.50,0000,0,3,1.0,unknown
9690.0,28.75,0000,0,3,1.0,unknown
9770.0,29.00,0000,0,3,1.0,unknown
9850.0,29.25,0000,0,3,1.0,unknown
9930.0,29.50,0000,0,3,1.0,unknown
