time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,",",-1,-1,1.0,separator
1293.06,3208.71,0000,0,3,1.0,unknown
1502.04,3464.13,0000,0,3,1.0,unknown
1769.07,3707.94,0000,0,3,1.0,unknown
2001.27,3940.14,0000,0,3,1.0,unknown
2233.47,4195.05,0000,0,3,1.0,unknown
2500.50,4449.96,0000,0,3,1.0,unknown
2732.70,4696.70,0000,0,3,1.0,unknown
2976.51,4943.51,0000,0,3,1.0,unknown
3208.71,5190.31,0000,0,3,1.0,unknown
3464.13,5437.13,0000,0,3,1.0,unknown
3707.94,5683.94,0000,0,3,1.0,unknown
3940.14,5930.74,0000,0,3,1.0,unknown
4404.54,6177.25,0000,0,3,1.0,unknown
4659.95,6423.95,0000,0,3,1.0,unknown
4892.15,6670.15,0000,0,3,1.0,unknown
5147.57,6927.57,0000,0,3,1.0,unknown
5391.38,7179.38,0000,0,3,1.0,unknown
5623.58,7437.58,0000,0,3,1.0,unknown
5879.00,7695.00,0000,0,3,1.0,unknown
6134.42,7952.42,0000,0,3,1.0,unknown
6343.40,8209.40,0000,0,3,1.0,unknown
6598.82,8466.82,0000,0,3,1.0,unknown
6842.63,8723.63,0000,0,3,1.0,unknown
7098.05,8980.05,0000,0,3,1.0,unknown
7318.64,9237.64,0000,0,3,1.0,unknown
7574.06,9494.06,0000,0,3,1.0,unknown
7783.04,9751.04,0000,0,3,1.0,unknown
8038.46,10008.46,0000,0,3,1.0,unknown
8293.88,10265.88,0000,0,3,1.0,unknown
8537.69,10522.69,0000,0,3,1.0,unknown
8781.50,10780.50,0000,0,3,1.0,unknown
9036.92,11047.92,0000,0,3,1.0,unknown
9257.51,11305.51,0000,0,3,1.0,unknown
9512.93,11563.93,0000,0,3,1.0,unknown
9756.73,11821.73,0000,0,3,1.0,unknown
9988.93,12079.93,0000,0,3,1.0,unknown
10197.91,12355.91,0000,0,3,1.0,unknown
10453.33,12623.33,0000,0,3,1.0,unknown
10720.36,12888.36,0000,0,3,1.0,unknown
10952.56,13145.25,0000,0,3,1.0,unknown
11196.37,13403.37,0000,0,3,1.0,unknown
11440.18,13661.18,0000,0,3,1.0,unknown
11637.55,13923.55,0000,0,3,1.0,unknown
12136.78,14193.78,0000,0,3,1.0,unknown
12403.81,14455.81,0000,0,3,1.0,unknown
12612.79,14719.79,0000,0,3,1.0,unknown
12903.04,15000.04,0000,0,3,1.0,unknown
