time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
117.1875,1.250,0000,0,3,1.000,unknown
234.375,1.500,0010,4,3,0.880,synth
351.5625,1.750,0000,0,3,1.000,unknown
468.75,2.000,0100,4,2,0.920,snare
585.9375,2.250,0000,0,3,1.000,unknown
703.125,2.500,0010,4,3,0.850,synth
820.3125,2.750,0001,4,3,0.800,synth
937.5,3.000,1000,4,2,0.940,kick
1054.6875,3.250,0000,0,3,1.000,unknown
1171.875,3.500,0010,4,3,0.860,synth
1289.0625,3.750,0000,0,3,1.000,unknown
1406.25,4.000,0100,4,2,0.900,snare
1523.4375,4.250,1000,4,3,0.820,kick
1640.625,4.500,0011,4,3,0.870,synth
1757.8125,4.750,0000,0,3,1.000,unknown
1875.0,5.000,",",-1,-1,1.000,separator
1875.0,5.000,1001,4,2,0.960,kick
1992.1875,5.250,0000,0,3,1.000,unknown
2109.375,5.500,0010,4,3,0.880,synth
2226.5625,5.750,0100,4,3,0.840,synth
2343.75,6.000,0101,4,2,0.930,snare
2460.9375,6.250,0000,0,3,1.000,unknown
2578.125,6.500,0010,4,3,0.860,synth
2695.3125,6.750,0000,0,3,1.000,unknown
2812.5,7.000,1000,4,2,0.950,kick
2929.6875,7.250,0100,4,3,0.810,synth
3046.875,7.500,0010,4,3,0.870,synth
3164.0625,7.750,0001,4,3,0.830,synth
3281.25,8.000,0100,4,2,0.920,snare
3398.4375,8.250,0000,0,3,1.000,unknown
3515.625,8.500,1010,4,3,0.890,kick
3632.8125,8.750,0000,0,3,1.000,unknown
3750.0,9.000,",",-1,-1,1.000,separator
3750.0,9.000,1100,4,2,0.940,kick
3867.1875,9.250,0010,4,3,0.850,synth
3984.375,9.500,0001,4,3,0.820,synth
4101.5625,9.750,0000,0,3,1.000,unknown
4218.75,10.000,0110,4,2,0.910,snare
4335.9375,10.250,0000,0,3,1.000,unknown
4453.125,10.500,1000,4,3,0.880,kick
4570.3125,10.750,0100,4,3,0.830,synth
4687.5,11.000,0011,4,2,0.920,kick
4804.6875,11.250,0000,0,3,1.000,unknown
4921.875,11.500,1010,4,3,0.870,synth
5039.0625,11.750,0000,0,3,1.000,unknown
5156.25,12.000,0101,4,2,0.900,snare
5273.4375,12.250,1000,4,3,0.810,kick
5390.625,12.500,0010,4,3,0.840,synth
5507.8125,12.750,0001,4,3,0.860,synth
5625.0,13.000,",",-1,-1,1.000,separator
145000.0,310.000,1000,4,2,0.970,kick
145117.1875,310.250,0000,0,3,1.000,unknown
145234.375,310.500,0100,4,3,0.890,snare
145351.5625,310.750,0000,0,3,1.000,unknown
145468.75,311.000,0010,4,2,0.920,synth
145585.9375,311.250,0000,0,3,1.000,unknown
145703.125,311.500,0001,4,3,0.850,synth
145820.3125,311.750,0000,0,3,1.000,unknown
145937.5,312.000,1000,4,2,0.940,kick
146054.6875,312.250,0000,0,3,1.000,unknown
146171.875,312.500,0100,4,3,0.880,snare
146289.0625,312.750,0000,0,3,1.000,unknown
146406.25,313.000,0011,4,2,0.910,synth
146523.4375,313.250,0000,0,3,1.000,unknown
146640.625,313.500,1000,4,3,0.830,kick
146757.8125,313.750,0000,0,3,1.000,unknown
146875.0,314.000,",",-1,-1,1.000,separator
148000.0,316.000,1001,4,2,0.980,kick
148117.1875,316.250,0000,0,3,1.000,unknown
148234.375,316.500,0110,4,3,0.920,snare
148351.5625,316.750,0000,0,3,1.000,unknown
148468.75,317.000,0010,4,2,0.900,synth
148585.9375,317.250,0000,0,3,1.000,unknown
148703.125,317.500,0001,4,3,0.880,synth
148820.3125,317.750,0000,0,3,1.000,unknown
148937.5,318.000,1000,4,2,0.950,kick
149054.6875,318.250,0000,0,3,1.000,unknown
149171.875,318.500,0100,4,3,0.890,snare
149289.0625,318.750,0000,0,3,1.000,unknown
149406.25,319.000,0011,4,2,0.930,synth
149523.4375,319.250,0000,0,3,1.000,unknown
149640.625,319.500,1111,4,3,0.990,kick
149757.8125,319.750,0000,0,3,1.000,unknown
150000.0,320.000,",",-1,-1,1.000,separator
