time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.900,melody
250.0,1.500,0001,4,3,0.800,melody
500.0,2.000,0100,4,2,0.900,melody
750.0,2.500,0010,4,3,0.800,melody
1000.0,3.000,0001,4,2,0.900,melody
1250.0,3.500,1000,4,3,0.800,melody
1500.0,4.000,0010,4,2,0.900,melody
1750.0,4.500,0100,4,3,0.800,melody
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,0001,4,2,0.900,melody
2250.0,5.500,1000,4,3,0.800,melody
2500.0,6.000,0010,4,2,0.900,melody
2750.0,6.500,0100,4,3,0.800,melody
3000.0,7.000,1000,4,2,0.900,melody
3250.0,7.500,0001,4,3,0.800,melody
3500.0,8.000,0100,4,2,0.900,melody
3750.0,8.500,0010,4,3,0.800,melody
4000.0,9.000,",",-1,-1,1.000,separator
4000.0,9.000,1000,4,2,0.900,kick
4250.0,9.500,0010,4,3,0.800,hat
4500.0,10.000,0100,4,2,0.900,snare
4750.0,10.500,0001,4,3,0.800,hat
5000.0,11.000,1000,4,2,0.900,kick
5250.0,11.500,0100,4,3,0.800,hat
5500.0,12.000,0010,4,2,0.900,snare
5750.0,12.500,0001,4,3,0.800,hat
6000.0,13.000,",",-1,-1,1.000,separator
6000.0,13.000,0001,4,2,0.900,kick
6250.0,13.500,0100,4,3,0.800,hat
6500.0,14.000,0010,4,2,0.900,snare
6750.0,14.500,1000,4,3,0.800,hat
7000.0,15.000,0001,4,2,0.900,kick
7250.0,15.500,0010,4,3,0.800,hat
7500.0,16.000,0100,4,2,0.900,snare
7750.0,16.500,1000,4,3,0.800,hat
8000.0,17.000,",",-1,-1,1.000,separator
8000.0,17.000,1000,4,2,0.900,kick
8250.0,17.500,0010,4,3,0.800,hat
8500.0,18.000,0100,4,2,0.900,snare
8750.0,18.500,0001,4,3,0.800,hat
9000.0,19.000,1000,4,2,0.900,kick
9250.0,19.500,0010,4,3,0.800,hat
9500.0,20.000,0100,4,2,0.900,snare
9750.0,20.500,0001,4,3,0.800,hat
10000.0,21.000,",",-1,-1,1.000,separator
10000.0,21.000,0001,4,2,0.900,kick
10250.0,21.500,0100,4,3,0.800,hat
10500.0,22.000,0010,4,2,0.900,snare
10750.0,22.500,1000,4,3,0.800,hat
11000.0,23.000,0001,4,2,0.900,kick
11250.0,23.500,0010,4,3,0.800,hat
11500.0,24.000,0100,4,2,0.900,snare
11750.0,24.500,1000,4,3,0.800,hat
12000.0,25.000,",",-1,-1,1.000,separator
12000.0,25.000,1000,4,2,0.900,kick
12250.0,25.500,0000,0,3,1.000,unknown
12500.0,26.000,0100,4,2,0.900,snare
12750.0,26.500,0010,4,3,0.800,hat
13000.0,27.000,0001,4,2,0.900,kick
13250.0,27.500,0100,4,3,0.800,hat
13500.0,28.000,0010,4,2,0.900,snare
13750.0,28.500,1000,4,3,0.800,hat
14000.0,29.000,",",-1,-1,1.000,separator
14000.0,29.000,1001,4,2,0.900,kick
14250.0,29.500,0000,0,3,1.000,unknown
14500.0,30.000,0110,4,2,0.900,snare
14750.0,30.500,0000,0,3,1.000,unknown
15000.0,31.000,1001,4,2,0.900,kick
15250.0,31.500,0000,0,3,1.000,unknown
15500.0,32.000,0110,4,2,0.900,snare
15750.0,32.500,0000,0,3,1.000,unknown
16000.0,33.000,",",-1,-1,1.000,separator
16000.0,33.000,1000,4,2,0.900,kick
16250.0,33.500,0100,4,3,0.800,vocal
16500.0,34.000,0010,4,2,0.900,vocal
16750.0,34.500,0001,4,3,0.800,vocal
17000.0,35.000,1000,4,2,0.900,kick
17250.0,35.500,0100,4,3,0.800,vocal
17500.0,36.000,0010,4,2,0.900,vocal
17750.0,36.500,0001,4,3,0.800,vocal
18000.0,37.000,",",-1,-1,1.000,separator
18000.0,37.000,0001,4,2,0.900,kick
18250.0,37.500,0010,4,3,0.800,vocal
18500.0,38.000,0100,4,2,0.900,vocal
18750.0,38.500,1000,4,3,0.800,vocal
19000.0,39.000,0001,4,2,0.900,kick
19250.0,39.500,0010,4,3,0.800,vocal
19500.0,40.000,0100,4,2,0.900,vocal
19750.0,40.500,1000,4,3,0.800,vocal
20000.0,41.000,",",-1,-1,1.000,separator
20000.0,41.000,1000,4,2,0.900,kick
20250.0,41.500,0100,4,3,0.800,vocal
20500.0,42.000,0010,4,2,0.900,vocal
20750.0,42.500,0001,4,3,0.800,vocal
21000.0,43.000,1000,4,2,0.900,kick
21250.0,43.500,0100,4,3,0.800,vocal
21500.0,44.000,0010,4,2,0.900,vocal
21750.0,44.500,0001,4,3,0.800,vocal
22000.0,45.000,",",-1,-1,1.000,separator
22000.0,45.000,0001,4,2,0.900,kick
22250.0,45.500,0010,4,3,0.800,vocal
22500.0,46.000,0100,4,2,0.900,vocal
22750.0,46.500,1000,4,3,0.800,vocal
23000.0,47.000,0001,4,2,0.900,kick
23250.0,47.500,0010,4,3,0.800,vocal
23500.0,48.000,0100,4,2,0.900,vocal
23750.0,48.500,1000,4,3,0.800,vocal
24000.0,49.000,",",-1,-1,1.000,separator
24000.0,49.000,1000,4,2,0.900,kick
