Here is your CSV:
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,",",-1,-1,1.0,separator
318.19,1049.61,1000,4,2,0.94,kick
1293.42,2024.85,2000,4,2,1.0,bass
2164.17,2164.17,0000,0,3,1.0,unknown
2233.83,3232.29,0000,0,3,1.0,unknown
3232.29,3719.91,0000,0,3,1.0,unknown
3940.50,4184.31,0000,0,3,1.0,unknown
4184.31,4671.93,0000,0,3,1.0,unknown
4927.35,4927.35,0000,0,3,1.0,unknown
5147.94,5147.94,0000,0,3,1.0,unknown
5867.76,6134.78,0000,0,3,1.0,unknown
6134.78,6622.40,0000,0,3,1.0,unknown
6622.40,6761.98,0000,0,3,1.0,unknown
6761.98,7350.57,0000,0,3,1.0,unknown
7350.57,7840.16,0000,0,3,1.0,unknown
7840.16,8330.00,0000,0,3,1.0,unknown
8330.00,8720.00,0000,0,3,1.0,unknown
8720.00,9210.00,0000,0,3,1.0,unknown
9210.00,9700.00,0000,0,3,1.0,unknown
