time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,1.000,synth
375.0,2.000,0000,0,2,1.000,unknown
750.0,3.000,0001,1,2,1.000,synth
1125.0,4.000,0000,0,2,1.000,unknown
1500.0,5.000,",",-1,-1,1.000,separator
1500.0,5.000,0100,1,2,1.000,synth
1875.0,6.000,0000,0,2,1.000,unknown
2250.0,7.000,0010,1,2,1.000,synth
2625.0,8.000,0000,0,2,1.000,unknown
3000.0,9.000,",",-1,-1,1.000,separator
3000.0,9.000,1000,1,2,1.000,synth
3375.0,10.000,0001,1,2,1.000,synth
3750.0,11.000,0100,1,2,1.000,synth
4125.0,12.000,0010,1,2,1.000,synth
4500.0,13.000,",",-1,-1,1.000,separator
4500.0,13.000,1001,1,2,1.000,synth
4875.0,14.000,0000,0,2,1.000,unknown
5250.0,15.000,0110,1,2,1.000,synth
5625.0,16.000,0000,0,2,1.000,unknown
6000.0,17.000,",",-1,-1,1.000,separator
6000.0,17.000,1000,4,2,0.900,kick
6187.5,17.500,0000,0,3,1.000,unknown
6375.0,18.000,0010,4,2,0.800,snare
6562.5,18.500,0000,0,3,1.000,unknown
6750.0,19.000,0100,4,2,0.900,kick
6937.5,19.500,0000,0,3,1.000,unknown
7125.0,20.000,0001,4,2,0.800,snare
7312.5,20.500,0010,2,3,0.700,synth
7500.0,21.000,",",-1,-1,1.000,separator
7500.0,21.000,1000,4,2,0.900,kick
7687.5,21.500,0000,0,3,1.000,unknown
7875.0,22.000,0010,4,2,0.800,snare
8062.5,22.500,0000,0,3,1.000,unknown
8250.0,23.000,0100,4,2,0.900,kick
8437.5,23.500,0000,0,3,1.000,unknown
8625.0,24.000,0001,4,2,0.800,snare
8812.5,24.500,0100,2,3,0.700,synth
9000.0,25.000,",",-1,-1,1.000,separator
9000.0,25.000,1000,4,2,0.900,kick
9187.5,25.500,0000,0,3,1.000,unknown
9375.0,26.000,0010,4,2,0.800,snare
9562.5,26.500,0000,0,3,1.000,unknown
9750.0,27.000,0100,4,2,0.900,kick
9937.5,27.500,0000,0,3,1.000,unknown
10125.0,28.000,0001,4,2,0.800,snare
10312.5,28.500,0010,2,3,0.700,synth
10500.0,29.000,",",-1,-1,1.000,separator
10500.0,29.000,1000,4,2,0.900,kick
10687.5,29.500,0000,0,3,1.000,unknown
10875.0,30.000,0010,4,2,0.800,snare
11062.5,30.500,0000,0,3,1.000,unknown
11250.0,31.000,0100,4,2,0.900,kick
11437.5,31.500,0000,0,3,1.000,unknown
11625.0,32.000,0001,4,2,0.800,snare
11812.5,32.500,0100,2,3,0.700,synth
12000.0,33.000,",",-1,-1,1.000,separator
12000.0,33.000,1000,4,2,0.900,kick
12187.5,33.500,0000,0,3,1.000,unknown
12375.0,34.000,0010,4,2,0.800,snare
12562.5,34.500,0000,0,3,1.000,unknown
12750.0,35.000,0100,4,2,0.900,kick
12937.5,35.500,0000,0,3,1.000,unknown
13125.0,36.000,0001,4,2,0.800,snare
13312.5,36.500,0010,2,3,0.700,synth
13500.0,37.000,",",-1,-1,1.000,separator
13500.0,37.000,1000,4,2,0.900,kick
13687.5,37.500,0000,0,3,1.000,unknown
