onset_index,onset_ms
0,0.0
1,176.0
2,353.0
3,529.0
4,706.0
5,882.0
6,1059.0
7,1235.0
8,1412.0
9,1588.0
10,1765.0
11,1941.0
12,2118.0
13,2294.0
14,2471.0
15,2647.0
16,2824.0
17,3000.0
18,3176.0
19,3353.0
20,3529.0
21,3706.0
22,3882.0
23,4059.0
24,4235.0
25,4412.0
26,4588.0
27,4765.0
28,4941.0
29,5118.0
30,5294.0
31,5471.0
32,5647.0
33,5824.0
34,6000.0
35,6176.0
36,6353.0
37,6529.0
38,6706.0
39,6882.0
40,7059.0
41,7235.0
42,7412.0
43,7588.0
44,7765.0
45,7941.0
46,8118.0
47,8294.0
48,8471.0
49,8647.0
50,8824.0
51,9000.0
52,9176.0
53,9353.0
54,9529.0
55,9706.0
56,9882.0
57,9971.0
58,10059.0
59,10147.0
60,10235.0
61,10324.0
62,10412.0
63,10500.0
64,10588.0
65,10676.0
66,10765.0
67,10853.0
68,10941.0
69,11029.0
70,11118.0
71,11206.0
72,11294.0
73,11471.0
74,11647.0
75,11824.0
76,12000.0
77,12176.0
78,12353.0
79,12529.0
80,12706.0
81,12882.0
82,13059.0
83,13235.0
84,13412.0
85,13588.0
86,13765.0
87,13941.0
88,14118.0
89,14294.0
90,14471.0
91,14647.0
92,14824.0
93,15000.0
94,15176.0
95,15353.0
96,15529.0
97,15706.0
98,15882.0
99,16059.0
100,16235.0
101,16412.0
102,16588.0
103,16765.0
104,16941.0
105,17118.0
106,17294.0
107,17471.0
108,17647.0
109,17824.0
110,18000.0
111,18176.0
112,18353.0
113,18529.0
114,18706.0
115,18882.0
116,19059.0
117,19235.0
118,19412.0
119,19588.0
120,19765.0
121,19941.0
122,20118.0
123,20294.0
124,20471.0
125,20647.0
126,20824.0
127,21000.0
128,21176.0
129,21265.0
130,21353.0
131,21441.0
132,21529.0
133,21618.0
134,21706.0
135,21794.0
136,21882.0
137,21971.0
138,22059.0
139,22147.0
140,22235.0
141,22324.0
142,22412.0
143,22500.0
144,22588.0
145,22765.0
146,22941.0
147,23118.0
148,23294.0
149,23471.0
150,23647.0
151,23824.0
152,24000.0
153,24176.0
154,24353.0
155,24529.0
156,24706.0
157,24882.0
158,25059.0
159,25235.0
160,25412.0
161,25588.0
162,25765.0
163,25941.0
164,26118.0
165,26294.0
166,26471.0
167,26647.0
168,26824.0
169,27000.0
170,27176.0
171,27353.0
172,27529.0
173,27706.0
174,27882.0
175,28059.0
176,28235.0
177,28412.0
178,28588.0
179,28765.0
180,28941.0
181,29118.0
182,29294.0
183,29471.0
184,29647.0
185,29824.0
186,30000.0
187,30176.0
188,30353.0
189,30529.0
190,30706.0
191,30882.0
192,31059.0
193,31235.0
194,31412.0
195,31588.0
196,31765.0
197,31941.0
198,32118.0
199,32294.0
200,32471.0
201,32559.0
202,32647.0
203,32735.0
204,32824.0
205,32912.0
206,33000.0
207,33088.0
208,33176.0
209,33265.0
210,33353.0
211,33441.0
212,33529.0
213,33618.0
214,33706.0
215,33794.0
216,33882.0
217,34059.0
218,34235.0
219,34412.0
220,34588.0
221,34765.0
222,34941.0
223,35118.0
224,35294.0
225,35471.0
226,35647.0
227,35824.0
228,36000.0
229,36176.0
230,36353.0
231,36529.0
232,36706.0
233,36882.0
234,37059.0
235,37235.0
236,37412.0
237,37588.0
238,37765.0
239,37941.0
240,38118.0
241,38294.0
242,38471.0
243,38647.0
244,38824.0
245,39000.0
246,39176.0
247,39353.0
248,39529.0
249,39706.0
250,39882.0
251,40059.0
252,40235.0
253,40412.0
254,40588.0
255,40765.0
256,40941.0
257,41118.0
258,41294.0
259,41471.0
260,41647.0
261,41824.0
262,42000.0
263,42176.0
264,42353.0
265,42529.0
266,42706.0
267,42882.0
268,43059.0
269,43235.0
270,43412.0
271,43588.0
272,43765.0
273,43853.0
274,43941.0
275,44029.0
276,44118.0
277,44206.0
278,44294.0
279,44382.0
280,44471.0
281,44559.0
282,44647.0
283,44735.0
284,44824.0
285,44912.0
286,45000.0
287,45088.0
288,45176.0
289,45265.0
290,45353.0
