# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,Exhaustive Sequence Evaluation over MuMu-LLaMA c_loss
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,Dynamic Scale Matrix (1.0 + N*0.5)
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
123.0,2.50,0.00,0.07|0.28,True,0010,0001-0.2%|0011-0.2%|0010-0.1%|0110-0.1%|0101-0.1%|0100-0.1%|0111-0.1%|0000-0.1%|1111-0.1%|1110-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0010,2.56
123.0,2.50,0.49,0.51|0.77|0.88,True,0000,0001-0.2%|0011-0.2%|0110-0.1%|0101-0.1%|0100-0.1%|0111-0.1%|0010-0.1%|0000-0.1%|1111-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0000,2.29
123.0,2.50,0.98,1.00|1.25,True,0011,0001-0.2%|0011-0.2%|0110-0.1%|0101-0.1%|0111-0.1%|0010-0.1%|0100-0.1%|0000-0.1%|1111-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0011,2.29
123.0,2.50,1.46,1.49|1.58|1.72,True,0001,0001-0.2%|0110-0.1%|0101-0.1%|0100-0.1%|0111-0.1%|0011-0.1%|0000-0.1%|0010-0.1%|1111-0.1%|1110-0.0%|1100-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1011-0.0%|1101-0.0%,0001,2.29
123.0,2.50,1.95,1.97|2.21,True,0001,0111-0.1%|0110-0.1%|0101-0.1%|0010-0.1%|0100-0.1%|0011-0.1%|0001-0.1%|0000-0.1%|1110-0.0%|1100-0.0%|1011-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1101-0.0%,0001,2.40
123.0,2.50,2.44,2.44|2.69|2.83,True,0111,0111-0.2%|0110-0.1%|0010-0.1%|0101-0.1%|0100-0.1%|0011-0.1%|0000-0.1%|0001-0.0%|1110-0.0%|1100-0.0%|1011-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1101-0.0%,0111,2.39
123.0,2.50,2.93,3.18,True,0100,0110-0.2%|0101-0.1%|0010-0.1%|0100-0.1%|0011-0.1%|0000-0.1%|0111-0.1%|0001-0.1%|1110-0.0%|1100-0.0%|1011-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1101-0.0%,0100,2.39
123.0,2.50,3.41,3.51|3.65,True,0011,0110-0.2%|0101-0.1%|0010-0.1%|0011-0.1%|0111-0.1%|0000-0.1%|0001-0.1%|0100-0.0%|1110-0.0%|1100-0.0%|1011-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1101-0.0%,0011,2.39
123.0,2.50,3.90,4.13,True,1011,0101-0.2%|0110-0.2%|0010-0.1%|0111-0.1%|0001-0.1%|0000-0.1%|1110-0.1%|1100-0.1%|0011-0.1%|1011-0.1%|1111-0.1%|1101-0.0%|0100-0.0%|1000-0.0%|1001-0.0%|1010-0.0%,1011,2.45
123.0,2.50,4.39,4.39|4.76,True,0100,0010-0.2%|0101-0.1%|0110-0.1%|0111-0.1%|0001-0.1%|0011-0.1%|0000-0.1%|1110-0.1%|1100-0.1%|1111-0.0%|1101-0.0%|0100-0.0%|1001-0.0%|1000-0.0%|1010-0.0%|1011-0.0%,0100,2.45
123.0,2.50,4.88,4.88|4.99|5.13|5.20|5.34,True,0000,0010-0.2%|0101-0.2%|0110-0.1%|0111-0.1%|0011-0.1%|0001-0.1%|1110-0.1%|1100-0.1%|0000-0.1%|1111-0.1%|1101-0.0%|1001-0.0%|0100-0.0%|1000-0.0%|1010-0.0%|1011-0.0%,0000,2.45
123.0,2.50,5.36,5.60|5.83,True,0110,0010-0.2%|0101-0.1%|0110-0.1%|0011-0.1%|0111-0.1%|0001-0.1%|0000-0.1%|1100-0.1%|1110-0.1%|1111-0.0%|1101-0.0%|1001-0.0%|0100-0.0%|1000-0.0%|1010-0.0%|1011-0.0%,0110,2.45
