# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
123.0,2.50,0.00,0.07|0.28,True,1110,0000-7.5%|0001-12.3%|0010-7.6%|0100-5.6%|1000-3.9%|0011-7.7%|0101-5.1%|0110-15.8%|1001-0.0%|1010-0.0%|1100-4.7%|0111-9.8%|1011-0.0%|1101-5.6%|1110-6.9%|1111-7.4%,1110,2.03
123.0,2.50,0.49,0.51|0.77|0.88,True,1000,0000-8.2%|0001-13.3%|0010-7.7%|0100-6.0%|1000-3.8%|0011-7.7%|0101-5.6%|0110-16.6%|1001-0.0%|1010-3.3%|1100-4.4%|0111-10.9%|1011-0.0%|1101-5.1%|1110-0.0%|1111-7.4%,1000,1.85
123.0,2.50,0.98,1.00|1.25,True,1101,0000-8.5%|0001-14.0%|0010-8.2%|0100-6.3%|1000-0.0%|0011-8.5%|0101-6.0%|0110-17.2%|1001-0.0%|1010-3.2%|1100-4.4%|0111-11.6%|1011-0.0%|1101-4.9%|1110-0.0%|1111-7.2%,1101,1.85
123.0,2.50,1.46,1.49|1.58|1.72,True,0111,0000-8.8%|0001-13.7%|0010-8.0%|0100-6.4%|1000-0.0%|0011-7.9%|0101-6.0%|0110-16.9%|1001-3.7%|1010-4.1%|1100-4.9%|0111-11.5%|1011-0.0%|1101-0.0%|1110-0.0%|1111-8.2%,0111,1.85
123.0,2.50,1.95,1.97|2.21,True,0110,0000-8.4%|0001-13.2%|0010-4.4%|0100-4.4%|1000-0.0%|0011-6.1%|0101-4.9%|0110-13.5%|1001-4.9%|1010-0.0%|1100-5.6%|0111-7.7%|1011-0.0%|1101-4.9%|1110-12.3%|1111-9.6%,0110,1.93
123.0,2.50,2.44,2.44|2.69|2.83,True,1100,0000-9.8%|0001-14.8%|0010-5.0%|0100-4.9%|1000-0.0%|0011-7.1%|0101-5.5%|0110-7.1%|1001-4.5%|1010-0.0%|1100-5.7%|0111-10.2%|1011-0.0%|1101-4.6%|1110-11.1%|1111-9.7%,1100,1.93
123.0,2.50,2.93,3.18,True,0111,0000-10.1%|0001-16.0%|0010-5.3%|0100-5.1%|1000-0.0%|0011-7.7%|0101-5.8%|0110-8.7%|1001-4.8%|1010-0.0%|1100-0.0%|0111-11.0%|1011-0.0%|1101-4.7%|1110-10.9%|1111-10.0%,0111,1.93
123.0,2.50,3.41,3.51|3.65,True,0001,0000-10.8%|0001-16.7%|0010-4.9%|0100-5.2%|1000-0.0%|0011-7.1%|0101-5.8%|0110-9.1%|1001-4.6%|1010-0.0%|1100-0.0%|0111-5.5%|1011-3.5%|1101-4.8%|1110-11.5%|1111-10.4%,0001,1.93
123.0,2.50,3.90,4.13,True,0011,0000-9.6%|0001-8.8%|0010-4.3%|0100-0.0%|1000-0.0%|0011-7.6%|0101-4.7%|0110-13.2%|1001-4.3%|1010-0.0%|1100-4.5%|0111-9.2%|1011-4.0%|1101-6.2%|1110-12.6%|1111-10.9%,0011,1.96
123.0,2.50,4.39,4.39|4.76,True,0001,0000-10.2%|0001-11.2%|0010-4.4%|0100-4.1%|1000-0.0%|0011-0.0%|0101-4.8%|0110-14.0%|1001-3.8%|1010-0.0%|1100-3.7%|0111-10.0%|1011-0.0%|1101-5.1%|1110-18.6%|1111-10.0%,0001,1.96
123.0,2.50,4.88,4.88|4.99|5.13|5.20|5.34,True,0111,0000-10.5%|0001-5.6%|0010-4.3%|0100-4.1%|1000-6.0%|0011-0.0%|0101-4.7%|0110-13.3%|1001-3.9%|1010-0.0%|1100-3.7%|0111-10.1%|1011-0.0%|1101-5.1%|1110-18.5%|1111-10.1%,0111,1.96
123.0,2.50,5.36,5.60|5.83,True,0000,0000-10.7%|0001-6.8%|0010-4.6%|0100-4.1%|1000-5.6%|0011-0.0%|0101-4.7%|0110-13.6%|1001-3.5%|1010-0.0%|1100-3.6%|0111-5.1%|1011-0.0%|1101-10.8%|1110-17.5%|1111-9.4%,0000,1.97
123.0,2.50,5.85,6.08|6.32,True,0011,0000-9.0%|0001-3.8%|0010-6.7%|0100-5.4%|1000-4.4%|0011-7.4%|0101-4.9%|0110-14.0%|1001-3.0%|1010-0.0%|1100-0.0%|0111-10.2%|1011-0.0%|1101-8.0%|1110-13.8%|1111-9.5%,0011,2.12
123.0,2.50,6.34,6.69,True,0000,0000-9.2%|0001-3.8%|0010-6.9%|0100-5.6%|1000-4.0%|0011-3.2%|0101-5.1%|0110-22.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-10.3%|1011-0.0%|1101-7.7%|1110-13.0%|1111-9.1%,0000,2.12
123.0,2.50,6.83,6.94|7.15,True,1110,0000-8.4%|0001-3.6%|0010-6.5%|0100-5.2%|1000-3.9%|0011-3.8%|0101-4.8%|0110-19.8%|1001-0.0%|1010-0.0%|1100-6.7%|0111-9.3%|1011-0.0%|1101-7.3%|1110-12.1%|1111-8.7%,1110,2.12
123.0,2.50,7.31,7.55|7.69|7.78,True,1101,0000-9.0%|0001-3.5%|0010-6.4%|0100-5.0%|1000-4.0%|0011-3.7%|0101-4.5%|0110-19.9%|1001-0.0%|1010-0.0%|1100-7.0%|0111-14.0%|1011-0.0%|1101-7.6%|1110-5.9%|1111-9.5%,1101,2.12
123.0,2.50,7.80,8.01|8.24,True,0001,0000-6.7%|0001-5.1%|0010-6.0%|0100-4.4%|1000-4.3%|0011-6.5%|0101-4.0%|0110-20.2%|1001-0.0%|1010-0.0%|1100-6.5%|0111-16.1%|1011-0.0%|1101-0.0%|1110-8.0%|1111-12.0%,0001,2.14
