time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
23.22,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
243.81,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
464.4,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
731.43,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
975.24,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,3,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0000,0,3,1.0,unknown
1875.0,4.75,0000,0,3,1.0,unknown
1999.0,5.0,0000,0,3,1.0,unknown
2125.0,5.25,0000,0,3,1.0,unknown
2250.0,5.5,0000,0,3,1.0,unknown
2375.0,5.75,0000,0,3,1.0,unknown
2500.0,6.0,0000,0,3,1.0,unknown
2625.0,6.25,0000,0,3,1.0,unknown
2750.0,6.5,0000,0,3,1.0,unknown
2875.0,6.75,0000,0,3,1.0,unknown
2999.0,7.0,0000,0,3,1.0,unknown
3125.0,7.25,0000,0,3,1.0,unknown
3250.0,7.5,0000,0,3,1.0,unknown
3375.0,7.75,0000,0,3,1.0,unknown
3500.0,8.0,0000,0,3,1.0,unknown
3625.0,8.25,0000,0,3,1.0,unknown
3750.0,8.5,0000,0,3,1.0,unknown
3999.0,8.75,0000,0,3,1.0,unknown
4125.0,9.0,0000,0,3,1.0,unknown
4250.0,9.25,0000,0,3,1.0,unknown
4425.0,9.5,0000,0,3,1.0,unknown
4500.0,9.75,0000,0,3,1.0,unknown
4625.0,10.0,0000,0,3,1.0,unknown
4750.0,10.25,0000,0,3,1.0,unknown
4925.0,10.5,0000,0,3,1.0,unknown
5000.0,10.75,0000,0,3,1.0,unknown
5125.0,11.0,0000,0,3,1.0,unknown
5250.0,11.25,0000,0,3,1.0,unknown
5375.0,11.5,0000,0,3,1.0,unknown
5500.0,11.75,0000,0,3,1.0,unknown
5750.0,12.0,0000,0,3,1.0,unknown
5925.0,12.25,0000,0,3,1.0,unknown
6125.0,12.5,0000,0,3,1.0,unknown
6375.0,13.0,0000,0,3,1.0,unknown
6500.0,13.25,0000,0,3,1.0,unknown
6750.0,13.5,0000,0,3,1.0,unknown
6999.0,14.0,0000,0,3,1.0,unknown
7250.0,14.25,0000,0,3,1.0,unknown
7500.0,14.5,0000,0,3,1.0,unknown
7750.0,14.75,0000,0,3,1.0,unknown
8000.0,15.0,0000,0,3,1.0,unknown
8250.0,15.25,0000,0,3,1.0,unknown
8500.0,15.5,0000,0,3,1.0,unknown
8750.0,15.75,0000,0,3,1.0,unknown
9000.0,16.0,0000,0,3,1.0,unknown
9250.0,16.25,0000,0,3,1.0,unknown
9500.0,16.5,0000,0,3,1.0,unknown
9750.0,17.0,0000,0,3,1.0,unknown
9999.0,17.25,0000,0,3,1.0,unknown
10250.0,17.5,0000,0,3,1.0,unknown
10500.0,17.75,0000,0,3,1.0,unknown
11250.0,18.0,0000,0,3,1.0,unknown
12500.0,18.25,0000,0,3,1.0,unknown
13750.0,18.5,0000,0,3,1.0,unknown
14250.0,18.75,0000,0,3,1.0,unknown
15000.0,19.0,0000,0,3,1.0,unknown
15000.0,19.25,0000,0,3,1.0,unknown
15250.0,19.5,0000,0,3,1.0,unknown
16250.0,19.75,0000,0,3,1.0,unknown
16250.0,19.25,0000,0,3,1.0,unknown
16250.0,19.25,0000,0,3,1.0,unknown
17250.0,19.25,0000,0,3,1.0,unknown
18250.0,19.25,0000,0,3,1.0,unknown
19250.0,19.25,0000,0,3,1.0,unknown
19250.0,19.25,0000,0,3,1.0,unknown
1925.0,19.25,0000,0,3,1.0,unknown
19250.0,19.25,0000,0,3,1.0,unknown
19250.0,19.25,0000,0,3,1.0,unknown
1925.0,19.25,0000,0,3,1.0,unknown
19250.0,19.25,0000,0,3,1.0,unknown
19250.0,19.25,0000,0,3,1.0,unknown
19250.0,19.25,0000,0,3,1.0,unknown
23.22,0.0,00,0,0,0.0,0
23.22,10.0,30,30,30,30.0,30
23.22,10.0,30,30,30,30.0,30
23.22,0.0,60,30,30,30.0,50
23.22,50.0,50,50,50,50.0,50
23.22,50.0,60,50,30,50.0,5
23.22,50.0,0,50,0,50.0,6
23.22,0.0,50,6,30,30.0,3
23.22,5.0,0,5,60,30.0,5
