onset_index,onset_ms
0,0.0
1,25.0
2,50.0
3,75.0
4,100.0
5,125.0
6,150.0
7,175.0
8,200.0
9,225.0
10,250.0
11,275.0
12,300.0
13,325.0
14,350.0
15,375.0
16,400.0
17,425.0
18,450.0
19,475.0
20,500.0
21,525.0
22,550.0
23,575.0
24,600.0
25,625.0
26,650.0
27,675.0
28,700.0
29,725.0
30,750.0
31,775.0
32,800.0
33,825.0
34,850.0
35,875.0
36,900.0
37,925.0
38,950.0
39,975.0
40,1000.0
41,1025.0
42,1050.0
43,1075.0
44,1100.0
45,1125.0
46,1150.0
47,1175.0
48,1200.0
49,1225.0
50,1250.0
51,1275.0
52,1300.0
53,1325.0
54,1350.0
55,1375.0
56,1400.0
57,1425.0
58,1450.0
59,1475.0
60,1500.0
