time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
40000.0,115.667,1000,4,2,0.950,kick
40125.0,115.917,0000,0,3,1.000,unknown
40250.0,116.167,0010,4,3,0.880,snare
40375.0,116.417,0000,0,3,1.000,unknown
40500.0,116.667,2000,4,2,1.000,bass
40625.0,116.917,0000,0,3,1.000,unknown
40750.0,117.167,0100,4,3,0.820,snare
40875.0,117.417,0000,0,3,1.000,unknown
41000.0,117.667,3001,4,2,0.910,kick
41125.0,117.917,0000,0,3,1.000,unknown
41250.0,118.167,0000,0,3,1.000,unknown
41375.0,118.417,0000,0,3,1.000,unknown
41500.0,118.667,0000,0,2,1.000,unknown
41625.0,118.917,0000,0,3,1.000,unknown
41750.0,119.167,0010,4,3,0.890,snare
41875.0,119.417,0000,0,3,1.000,unknown
42000.0,119.667,",",-1,-1,1.000,separator
80000.0,230.333,1000,4,2,0.950,kick
80125.0,230.583,0000,0,3,1.000,unknown
80250.0,230.833,0010,4,3,0.880,snare
80375.0,231.083,0000,0,3,1.000,unknown
80500.0,231.333,2000,4,2,1.000,bass
80625.0,231.583,0000,0,3,1.000,unknown
80750.0,231.833,0100,4,3,0.820,snare
80875.0,232.083,0000,0,3,1.000,unknown
81000.0,232.333,3001,4,2,0.910,kick
81125.0,232.583,0000,0,3,1.000,unknown
81250.0,232.833,0000,0,3,1.000,unknown
81375.0,233.083,0000,0,3,1.000,unknown
81500.0,233.333,0000,0,2,1.000,unknown
81625.0,233.583,0000,0,3,1.000,unknown
81750.0,233.833,0010,4,3,0.790,snare
81875.0,234.083,0000,0,3,1.000,unknown
82000.0,234.333,",",-1,-1,1.000,separator
