time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,",",-1,-1,1.0,separator
9824.00,10325.33,10517.33,10688.00,10848.00,11200.00,11306.67,13482.67,13653.33,13717.33,13813.33,14016.00,14101.33,14176.00,14261.33,14336.00,14869.33,15221.33,15466.67,15733.33,15936.00,16085.33,16181.33,16266.67,16437.33,16544.00,16597.33,16896.00,16949.33,17056.00,17152.00,18026.67,18197.33,18528.00,18730.67,19061.33,19221.33,19317.33,19413.33,19594.67,19680.00,19765.33,19829.33,19936.00
19829.33,19936.00,20000.00,4,2,1.0,bass
20000.00,20006.00,20010.00,4,3,0.97,snare
20000.00,20008.00,20020.00,4,2,0.95,kick
20000.00,20027.00,20033.00,4,3,0.95,snare
20000.00,20041.00,20053.00,4,2,0.96,kick
20000.00,20063.00,20073.00,4,3,0.94,snare
20000.00,20085.00,20097.00,4,2,0.95,kick
20000.00,20109.00,20119.00,4,3,0.93,snare
20000.00,20131.00,20143.00,4,2,0.95,kick
20000.00,20155.00,20167.00,4,3,0.93,snare
20000.00,20181.00,20193.00,4,2,0.94,kick
20000.00,20207.00,20219.00,4,3,0.93,snare
20000.00,20231.00,20243.00,4,2,0.95,kick
20000.00,20255.00,20267.00,4,3,0.93,snare
20000.00,20285.00,20297.00,4,2,0.94,kick
20000.00,20313.00,20325.00,4,3,0.93,snare
20000.00,20337.00,20353.00,4,2,0.95,kick
20000.00,20365.00,20377.00,4,3,0.94,snare
20000.00,20391.00,20403.00,4,2,0.95,kick
20000.00,20415.00,20427.00,4,3,0.93,snare
20000.00,20441.00,20453.00,4,2,0.95,kick
20000.00,20465.00,20477.00,4,3,0.93,snare
20000.00,20491.00,20503.00,4,2,0.95,kick
20000.00,20515.00,20527.00,4,3,0.93,snare
20000.00,20541.00,20553.00,4,2,0.95,kick
20000.00,20565.00,20577.00,4,3,0.93,snare
20000.00,20591.00,20603.00,4,2,0.95,kick
20000.00,20615.00,20627.00,4,3,00.93,snare
