time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,0.900,kick
85.7,1.250,0000,0,4,1.000,unknown
171.4,1.500,0100,4,3,0.850,snare
257.1,1.750,0000,0,4,1.000,unknown
342.8,2.000,1000,4,2,0.900,kick
428.5,2.250,0000,0,4,1.000,unknown
514.2,2.500,0100,4,3,0.850,snare
599.9,2.750,0000,0,4,1.000,unknown
685.6,3.000,1000,4,2,0.900,kick
771.3,3.250,0000,0,4,1.000,unknown
857.0,3.500,0100,4,3,0.850,snare
942.7,3.750,0000,0,4,1.000,unknown
1028.4,4.000,1000,4,2,0.900,kick
1114.1,4.250,0000,0,4,1.000,unknown
1199.8,4.500,0110,4,3,0.850,snare
1285.5,4.750,0000,0,4,1.000,unknown
1371.4,5.000,",",-1,-1,1.000,separator
1371.4,5.000,0010,1,2,0.900,kick
1457.1,5.250,0000,0,4,1.000,unknown
1542.8,5.500,0001,4,3,0.850,snare
1628.5,5.750,0000,0,4,1.000,unknown
1714.2,6.000,0010,4,2,0.900,kick
1799.9,6.250,0000,0,4,1.000,unknown
1885.6,6.500,0001,4,3,0.850,snare
1971.3,6.750,0000,0,4,1.000,unknown
2057.0,7.000,0010,4,2,0.900,kick
2142.7,7.250,0000,0,4,1.000,unknown
2228.4,7.500,0001,4,3,0.850,snare
2314.1,7.750,0000,0,4,1.000,unknown
2399.8,8.000,0010,4,2,0.900,kick
2485.5,8.250,0000,0,4,1.000,unknown
2571.2,8.500,0110,4,3,0.850,snare
2656.9,8.750,0000,0,4,1.000,unknown
2742.8,9.000,",",-1,-1,1.000,separator
