time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,2000,4,2,1.000,bass
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,3001,4,2,0.910,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0000,0,3,1.000,unknown
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,0000,0,2,1.000,unknown
1625.0,4.250,0000,0,3,1.000,unknown
1750.0,4.500,0010,4,3,0.790,snare
1875.0,4.750,0000,0,3,1.000,unknown
2000.0,5.000,",",-1,-1,1.000,separator
20000.0,58.333,1000,4,2,0.950,kick
20125.0,58.583,0000,0,3,1.000,unknown
20250.0,58.833,0010,4,3,0.880,snare
20375.0,59.083,0000,0,3,1.000,unknown
20500.0,59.333,2000,4,2,1.000,bass
20625.0,59.583,0000,0,3,1.000,unknown
20750.0,59.833,0100,4,3,0.820,snare
20875.0,60.083,0000,0,3,1.000,unknown
21000.0,60.333,3001,4,2,0.910,kick
21125.0,60.583,0000,0,3,1.000,unknown
21250.0,60.833,0000,0,3,1.000,unknown
21375.0,61.083,0000,0,3,1.000,unknown
21500.0,61.333,0000,0,2,1.000,unknown
21625.0,61.583,0000,0,3,1.000,unknown
21750.0,61.833,0010,4,3,0.790,snare
21875.0,62.083,0000,0,3,1.000,unknown
22000.0,62.333,",",-1,-1,1.000,separator
