Here is your CSV:
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
458.67,1.000000,1000,4,2,0.999998,kick
5354.67,1.250000,0000,0,3,1.000000,unknown
6048.00,1.500000,0010,4,3,0.980000,snare
6741.33,1.750000,0000,0,3,1.000000,unknown
7093.33,2.000000,2000,4,2,1.000000,bass
7786.67,2.250000,0000,0,3,1.000000,unknown
8138.67,2.500000,0100,4,3,0.970000,snare
8490.67,2.750000,0000,0,3,1.000000,unknown
10229.33,3.000000,3001,4,2,0.989999,kick
10229.33,3.250000,0000,0,3,1.000000,unknown
10229.33,3.500000,0000,0,3,1.000000,unknown
10229.33,3.750000,0010,4,3,0.960000,snare
10229.33,4.000000,0000,0,2,1.000000,unknown
10229.33,4.250000,0000,0,3,1.000000,unknown
10229.33,4.500000,0010,4,3,0.950000,snare
10229.33,4.750000,0000,0,3,1.000000,unknown
10229.33,5.000000,0000,0,2,1.000000,unknown
10229.33,5.250000,0000,0,3,1.000000,unknown
10229.33,5.500000,0010,4,3,0.940000,snare
10229.33,5.750000,0000,0,3,1.000000,unknown
10229.33,6.000000,2000,4,2,1.000000,bass
10229.33,6.250000,0000,0,3,1.000000,unknown
10229.33,6.500000,0010,4,3,0.930000,snare
10229.33,6.750000,0000,0,3,1.000000,unknown
10229.33,7.000000,0000,0,2,1.000000,unknown
10229.33,7.250000,0000,0,3,1.000000,unknown
10229.33,7.500000,0010,4,3,0.920000,snare
10229.33,7.750000,0000,0,3,1.000000,unknown
10229.33,8.000000,3001,4,2,0.910000,kick
10229.33,8.250000,0000,0,3,1.000000,unknown
10229.33,8.500000,0000,0,2,1.000000,unknown
10229.33,8.750000,0010,4,3,0.900000,snare
10229.33,9.000000,0000,0,3,1.000000,unknown
10229.33,9.250000,0000,0,2,1.000000,unknown
10229.33,9.500000,0010,4,3,0.890000,snare
10229.33,9.750000,0000,0,3,1.000000,unknown
10229.33,10.000000,2000,4,2,1.000000,bass
10229.33,10.250000,0000,0,3,1.000000,unknown
10229.33,10.500000,0010,4,3,0.880000,snare
10229.33,10.750000,0000,0,3,1.000000,unknown
10229.33,11.000000,0000,0,2,1.000000,unknown
10229.33,11.250000,0000,0,3,1.000000,unknown
10229.33,11.500000,0010,4,3,0.870000,snare
10229.33,11.750000,0000,0,3,1.000000,unknown
10229.33,12.000000,3001,4,2,0.960000,kick
10229.33,12.250000,0000,0,3,1.000000,unknown
10229.33,12.500000,0000,0,2,1.000000,unknown
10229.33,12.750000,0010,4,3,0.860000,snare
10229.33,13.000000,0000,0,3,1.000000,unknown
10229.33,13.250000,0000,0,2,1.000000,unknown
