time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,0100,4,2,0.920,snare
625.0,2.250,1000,4,3,0.850,kick
750.0,2.500,0010,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,1001,4,2,0.910,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0100,4,3,0.870,snare
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,0010,4,2,0.930,snare
1625.0,4.250,0001,4,3,0.840,synth
1750.0,4.500,0010,4,3,0.790,snare
1875.0,4.750,0100,4,3,0.810,snare
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,1000,4,2,0.950,kick
2125.0,5.250,0010,3,3,0.880,synth
2250.0,5.500,0000,0,3,1.000,unknown
2375.0,5.750,0100,3,3,0.850,synth
2500.0,6.000,1001,4,2,0.940,kick
2625.0,6.250,0000,0,3,1.000,unknown
2750.0,6.500,0110,4,3,0.890,snare
2875.0,6.750,0000,0,3,1.000,unknown
3000.0,7.000,1000,4,2,0.910,kick
3125.0,7.250,0001,3,3,0.820,synth
3250.0,7.500,0100,4,3,0.880,snare
3375.0,7.750,1000,3,3,0.840,kick
3500.0,8.000,0011,4,2,0.920,snare
3625.0,8.250,0000,0,3,1.000,unknown
3750.0,8.500,0100,4,3,0.870,snare
3875.0,8.750,1000,3,3,0.830,kick
4000.0,9.000,",",-1,-1,1.000,separator
4000.0,9.000,1100,4,2,0.960,kick
4125.0,9.250,0001,3,3,0.880,synth
4250.0,9.500,1000,4,3,0.900,kick
4375.0,9.750,0100,4,3,0.860,snare
4500.0,10.000,0011,4,2,0.930,snare
4625.0,10.250,0000,0,3,1.000,unknown
4750.0,10.500,0110,4,3,0.890,snare
4875.0,10.750,1000,3,3,0.840,kick
5000.0,11.000,1001,4,2,0.940,kick
5125.0,11.250,0010,3,3,0.850,synth
5250.0,11.500,0100,4,3,0.890,snare
5375.0,11.750,0001,3,3,0.820,synth
5500.0,12.000,1000,4,2,0.910,kick
5625.0,12.250,0100,4,3,0.880,snare
5750.0,12.500,0010,4,3,0.870,snare
5875.0,12.750,0001,4,3,0.860,synth
6000.0,13.000,",",-1,-1,1.000,separator
6000.0,13.000,1010,4,2,0.930,kick
6125.0,13.250,0100,3,3,0.840,snare
6250.0,13.500,1000,4,3,0.890,kick
6375.0,13.750,0001,3,3,0.810,synth
6500.0,14.000,0110,4,2,0.920,snare
6625.0,14.250,0010,3,3,0.850,synth
6750.0,14.500,1001,4,3,0.910,kick
6875.0,14.750,0000,0,3,1.000,unknown
7000.0,15.000,1100,4,2,0.950,kick
7125.0,15.250,0001,3,3,0.830,synth
7250.0,15.500,0010,4,3,0.880,snare
7375.0,15.750,0100,4,3,0.860,snare
7500.0,16.000,1001,4,2,0.940,kick
7625.0,16.250,0010,3,3,0.820,synth
7750.0,16.500,1000,4,3,0.890,kick
7875.0,16.750,0100,4,3,0.850,snare
8000.0,17.000,",",-1,-1,1.000,separator
