time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,0.900,kick
120.0,1.250,0000,0,3,1.000,unknown
240.0,1.500,0000,0,3,1.000,unknown
360.0,1.750,0000,0,3,1.000,unknown
480.0,2.000,0010,2,2,0.900,snare
600.0,2.250,0000,0,3,1.000,unknown
720.0,2.500,0000,0,3,1.000,unknown
840.0,2.750,0000,0,3,1.000,unknown
960.0,3.000,1000,1,2,0.900,kick
1080.0,3.250,0000,0,3,1.000,unknown
1200.0,3.500,0000,0,3,1.000,unknown
1320.0,3.750,0000,0,3,1.000,unknown
1440.0,4.000,0010,2,2,0.900,snare
1560.0,4.250,0000,0,3,1.000,unknown
1680.0,4.500,0000,0,3,1.000,unknown
1800.0,4.750,0000,0,3,1.000,unknown
1920.0,5.000,",",-1,-1,1.000,separator
1920.0,5.000,1000,1,2,0.900,kick
2040.0,5.250,0000,0,3,1.000,unknown
2160.0,5.500,0001,3,3,0.800,melody
2280.0,5.750,0000,0,3,1.000,unknown
2400.0,6.000,0100,2,2,0.900,snare
2520.0,6.250,0000,0,3,1.000,unknown
2640.0,6.500,0010,3,3,0.800,melody
2760.0,6.750,0000,0,3,1.000,unknown
2880.0,7.000,1000,1,2,0.900,kick
3000.0,7.250,0000,0,3,1.000,unknown
3120.0,7.500,0001,3,3,0.800,melody
3240.0,7.750,0000,0,3,1.000,unknown
3360.0,8.000,0100,2,2,0.900,snare
3480.0,8.250,0000,0,3,1.000,unknown
3600.0,8.500,0010,3,3,0.800,melody
3720.0,8.750,0000,0,3,1.000,unknown
3840.0,9.000,",",-1,-1,1.000,separator
3840.0,9.000,1001,1,2,0.950,kick
3960.0,9.250,0000,0,3,1.000,unknown
4080.0,9.500,0100,3,3,0.800,melody
4200.0,9.750,0000,0,3,1.000,unknown
4320.0,10.000,0010,2,2,0.900,snare
4440.0,10.250,0000,0,3,1.000,unknown
4560.0,10.500,0100,3,3,0.800,melody
4680.0,10.750,1000,3,3,0.800,kick
4800.0,11.000,0001,1,2,0.900,kick
4920.0,11.250,0000,0,3,1.000,unknown
5040.0,11.500,0010,3,3,0.800,melody
5160.0,11.750,0000,0,3,1.000,unknown
5280.0,12.000,0110,2,2,0.950,snare
5400.0,12.250,0000,0,3,1.000,unknown
5520.0,12.500,1000,3,3,0.800,kick
5640.0,12.750,0000,0,3,1.000,unknown
5760.0,13.000,",",-1,-1,1.000,separator
5760.0,13.000,1000,1,2,0.900,kick
5880.0,13.250,0001,3,3,0.800,melody
6000.0,13.500,0100,3,3,0.800,melody
6120.0,13.750,0010,3,3,0.800,melody
6240.0,14.000,0001,2,2,0.900,snare
6360.0,14.250,1000,3,3,0.800,melody
6480.0,14.500,0100,3,3,0.800,melody
6600.0,14.750,0010,3,3,0.800,melody
6720.0,15.000,1000,1,2,0.900,kick
6840.0,15.250,0001,3,3,0.800,melody
6960.0,15.500,0100,3,3,0.800,melody
7080.0,15.750,0010,3,3,0.800,melody
7200.0,16.000,0001,2,2,0.900,snare
7320.0,16.250,1000,3,3,0.800,melody
7440.0,16.500,0100,3,3,0.800,melody
7560.0,16.750,0010,3,3,0.800,melody
7680.0,17.000,",",-1,-1,1.000,separator
7680.0,17.000,1000,1,2,0.900,kick
7800.0,17.250,0001,3,3,0.800,melody
7920.0,17.500,0010,3,3,0.800,melody
8040.0,17.750,0100,3,3,0.800,melody
8160.0,18.000,1001,2,2,0.950,snare
8280.0,18.250,0000,0,3,1.000,unknown
8400.0,18.500,0110,3,3,0.800,melody
8520.0,18.750,0000,0,3,1.000,unknown
8640.0,19.000,1000,1,2,0.900,kick
8760.0,19.250,0100,3,3,0.800,melody
8880.0,19.500,0010,3,3,0.800,melody
9000.0,19.750,0001,3,3,0.800,melody
9120.0,20.000,0110,2,2,0.950,snare
9240.0,20.250,1000,3,3,0.800,kick
9360.0,20.500,0001,3,3,0.800,melody
9480.0,20.750,0100,3,3,0.800,melody
9600.0,21.000,",",-1,-1,1.000,separator
9600.0,21.000,1001,1,2,0.950,kick
9720.0,21.250,0100,3,3,0.800,melody
9840.0,21.500,0010,3,3,0.800,melody
9960.0,21.750,1000,3,3,0.800,melody
10080.0,22.000,0001,2,2,0.900,snare
10200.0,22.250,0100,3,3,0.800,melody
10320.0,22.500,0010,3,3,0.800,melody
10440.0,22.750,1000,3,3,0.800,melody
10560.0,23.000,1001,1,2,0.950,kick
10680.0,23.250,0100,3,3,0.800,melody
10800.0,23.500,0010,3,3,0.800,melody
10920.0,23.750,0001,3,3,0.800,melody
11040.0,24.000,0110,2,2,0.950,snare
11160.0,24.250,1000,3,3,0.800,melody
11280.0,24.500,0010,3,3,0.800,melody
11400.0,24.750,0100,3,3,0.800,melody
11520.0,25.000,",",-1,-1,1.000,separator
11520.0,25.000,1001,1,2,0.950,kick
11640.0,25.250,0000,0,3,1.000,unknown
11760.0,25.500,0110,4,3,0.850,kick
11880.0,25.750,0000,0,3,1.000,unknown
12000.0,26.000,0011,2,2,0.950,snare
12120.0,26.250,0000,0,3,1.000,unknown
12240.0,26.500,1100,4,3,0.850,kick
12360.0,26.750,0000,0,3,1.000,unknown
12480.0,27.000,1001,1,2,0.950,kick
12600.0,27.250,0000,0,3,1.000,unknown
12720.0,27.500,0110,4,3,0.850,kick
12840.0,27.750,0000,0,3,1.000,unknown
12960.0,28.000,0011,2,2,0.950,snare
13080.0,28.250,0000,0,3,1.000,unknown
13200.0,28.500,1100,4,3,0.850,kick
13320.0,28.750,0000,0,3,1.000,unknown
13440.0,29.000,",",-1,-1,1.000,separator
13440.0,29.000,1000,1,2,0.900,kick
13560.0,29.250,0100,3,3,0.800,melody
13680.0,29.500,0010,3,3,0.800,melody
13800.0,29.750,0001,3,3,0.800,melody
13920.0,30.000,0110,2,2,0.900,snare
14040.0,30.250,1000,3,3,0.800,melody
14160.0,30.500,0010,3,3,0.800,melody
14280.0,30.750,0100,3,3,0.800,melody
14400.0,31.000,1001,1,2,0.900,kick
14520.0,31.250,0100,3,3,0.800,melody
14640.0,31.500,0010,3,3,0.800,melody
14760.0,31.750,0001,3,3,0.800,melody
14880.0,32.000,0110,2,2,0.900,snare
15000.0,32.250,1000,3,3,0.800,melody
15120.0,32.500,0010,3,3,0.800,melody
15240.0,32.750,0100,3,3,0.800,melody
15360.0,33.000,",",-1,-1,1.000,separator
15360.0,33.000,1001,1,2,0.950,kick
15480.0,33.250,0100,3,3,0.800,melody
15600.0,33.500,0010,3,3,0.800,melody
15720.0,33.750,0001,3,3,0.800,melody
15840.0,34.000,0110,2,2,0.950,snare
15960.0,34.250,1000,3,3,0.800,melody
16080.0,34.500,0100,3,3,0.800,melody
16200.0,34.750,0010,3,3,0.800,melody
16320.0,35.000,1001,1,2,0.950,kick
16440.0,35.250,0100,3,3,0.800,melody
16560.0,35.500,0010,3,3,0.800,melody
16680.0,35.750,0001,3,3,0.800,melody
16800.0,36.000,0110,2,2,0.950,snare
16920.0,36.250,1000,3,3,0.800,melody
17040.0,36.500,0100,3,3,0.800,melody
17160.0,36.750,0010,3,3,0.800,melody
17280.0,37.000,",",-1,-1,1.000,separator
17280.0,37.000,1000,1,2,0.900,kick
17400.0,37.250,0000,0,3,1.000,unknown
17520.0,37.500,0001,4,3,0.850,hat
17640.0,37.750,0000,0,3,1.000,unknown
17760.0,38.000,0010,2,2,0.900,snare
17880.0,38.250,0000,0,3,1.000,unknown
18000.0,38.500,0001,4,3,0.850,hat
18120.0,38.750,0000,0,3,1.000,unknown
18240.0,39.000,1000,1,2,0.900,kick
18360.0,39.250,0000,0,3,1.000,unknown
18480.0,39.500,0001,4,3,0.850,hat
18600.0,39.750,0000,0,3,1.000,unknown
18720.0,40.000,0010,2,2,0.900,snare
18840.0,40.250,0000,0,3,1.000,unknown
18960.0,40.500,0001,4,3,0.850,hat
19080.0,40.750,0000,0,3,1.000,unknown
19200.0,41.000,",",-1,-1,1.000,separator
19200.0,41.000,1000,1,2,0.900,kick
19320.0,41.250,0000,0,3,1.000,unknown
19440.0,41.500,0001,4,3,0.850,hat
19560.0,41.750,0000,0,3,1.000,unknown
19680.0,42.000,0010,2,2,0.900,snare
19800.0,42.250,0000,0,3,1.000,unknown
19920.0,42.500,0001,4,3,0.850,hat
20040.0,42.750,0000,0,3,1.000,unknown
20160.0,43.000,1000,1,2,0.900,kick
20280.0,43.250,0000,0,3,1.000,unknown
20400.0,43.500,0001,4,3,0.850,hat
20520.0,43.750,0000,0,3,1.000,unknown
20640.0,44.000,0010,2,2,0.900,snare
20760.0,44.250,0000,0,3,1.000,unknown
20880.0,44.500,0001,4,3,0.850,hat
21000.0,44.750,0000,0,3,1.000,unknown
21120.0,45.000,",",-1,-1,1.000,separator
21120.0,45.000,1000,1,2,0.900,kick
21240.0,45.250,0000,0,3,1.000,unknown
21360.0,45.500,0001,4,3,0.850,hat
21480.0,45.750,0000,0,3,1.000,unknown
21600.0,46.000,0010,2,2,0.900,snare
21720.0,46.250,0000,0,3,1.000,unknown
21840.0,46.500,0001,4,3,0.850,hat
21960.0,46.750,0000,0,3,1.000,unknown
22080.0,47.000,1000,1,2,0.900,kick
22200.0,47.250,0000,0,3,1.000,unknown
22320.0,47.500,0001,4,3,0.850,hat
22440.0,47.750,0000,0,3,1.000,unknown
22560.0,48.000,0010,2,2,0.900,snare
22680.0,48.250,0000,0,3,1.000,unknown
22800.0,48.500,0001,4,3,0.850,hat
22920.0,48.750,0000,0,3,1.000,unknown
23040.0,49.000,",",-1,-1,1.000,separator
23040.0,49.000,1000,1,2,0.900,kick
23160.0,49.250,0000,0,3,1.000,unknown
23280.0,49.500,0001,4,3,0.850,hat
23400.0,49.750,0000,0,3,1.000,unknown
23520.0,50.000,0010,2,2,0.900,snare
23640.0,50.250,0000,0,3,1.000,unknown
23760.0,50.500,0001,4,3,0.850,hat
23880.0,50.750,0000,0,3,1.000,unknown
24000.0,51.000,1000,1,2,0.900,kick
24120.0,51.250,0000,0,3,1.000,unknown
24240.0,51.500,0001,4,3,0.850,hat
24360.0,51.750,0000,0,3,1.000,unknown
24480.0,52.000,0010,2,2,0.900,snare
24600.0,52.250,0000,0,3,1.000,unknown
24720.0,52.500,0001,4,3,0.850,hat
24840.0,52.750,0000,0,3,1.000,unknown
24960.0,53.000,",",-1,-1,1.000,separator
24960.0,53.000,1000,1,2,0.900,kick
