time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,2000,4,2,1.000,bass
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,3001,4,2,0.910,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0000,0,3,1.000,unknown
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,0000,0,2,1.000,unknown
1625.0,4.250,0000,0,3,1.000,unknown
1750.0,4.500,0010,4,3,0.790,snare
1875.0,4.750,0000,0,3,1.000,unknown
2000.0,5.000,",",-1,-1,1.000,separator
20000.0,58.333,1000,4,2,0.950,kick
20125.0,58.583,0000,0,3,1.000,unknown
20250.0,58.833,0010,4,3,0.880,snare
20375.0,59.083,0000,0,3,1.000,unknown
20500.0,59.333,2000,4,2,1.000,bass
20625.0,59.583,0000,0,3,1.000,unknown
20750.0,59.833,0100,4,3,0.820,snare
20875.0,60.083,0000,0,3,1.000,unknown
21000.0,60.333,3001,4,2,0.910,kick
21125.0,60.583,0000,0,3,1.000,unknown
21250.0,60.833,0000,0,3,1.000,unknown
21375.0,61.083,0000,0,3,1.000,unknown
21500.0,61.333,0000,0,2,1.000,unknown
21625.0,61.583,0000,0,3,1.000,unknown
21750.0,61.833,0010,4,3,0.790,snare
21875.0,62.083,0000,0,3,1.000,unknown
22000.0,62.333,",",-1,-1,1.000,separator
40000.0,115.667,1000,4,2,0.950,kick
40125.0,115.917,0000,0,3,1.000,unknown
40250.0,116.167,0010,4,3,0.880,snare
40375.0,116.417,0000,0,3,1.000,unknown
40500.0,116.667,2000,4,2,1.000,bass
40625.0,116.917,0000,0,3,1.000,unknown
40750.0,117.167,0100,4,3,0.820,snare
40875.0,117.417,0000,0,3,1.000,unknown
41000.0,117.667,3001,4,2,0.910,kick
41125.0,117.917,0000,0,3,1.000,unknown
41250.0,118.167,0000,0,3,1.000,unknown
41375.0,118.417,0000,0,3,1.000,unknown
41500.0,118.667,0000,0,2,1.000,unknown
41625.0,118.917,0000,0,3,1.000,unknown
41750.0,119.167,0010,4,3,0.790,snare
41875.0,119.417,0000,0,3,1.000,unknown
42000.0,119.667,",",-1,-1,1.000,separator
100000.0,287.667,1000,4,2,0.950,kick
100125.0,287.917,0000,0,3,1.000,unknown
100250.0,288.167,0010,4,3,0.880,snare
100375.0,288.417,0000,0,3,1.000,unknown
100500.0,288.667,2000,4,2,1.000,bass
100625.0,288.917,0000,0,3,1.000,unknown
100750.0,289.167,0100,4,3,0.820,snare
100875.0,289.417,0000,0,3,1.000,unknown
101000.0,289.667,3001,4,2,0.910,kick
101125.0,289.917,0000,0,3,1.000,unknown
101250.0,290.167,0000,0,3,1.000,unknown
101375.0,290.417,0000,0,3,1.000,unknown
101500.0,290.667,0000,0,2,1.000,unknown
101625.0,290.917,0000,0,3,1.000,unknown
101750.0,291.167,0010,4,3,0.790,snare
101875.0,291.417,0000,0,3,1.000,unknown
102000.0,291.667,",",-1,-1,1.000,separator
120000.0,345.000,1000,4,2,0.950,kick
120125.0,345.250,0000,0,3,1.000,unknown
120250.0,345.500,0010,4,3,0.880,snare
120375.0,345.750,0000,0,3,1.000,unknown
120500.0,346.000,2000,4,2,1.000,bass
120625.0,346.250,0000,0,3,1.000,unknown
120750.0,346.500,0100,4,3,0.820,snare
120875.0,346.750,0000,0,3,1.000,unknown
121000.0,347.000,3001,4,2,0.910,kick
121125.0,347.250,0000,0,3,1.000,unknown
121250.0,347.500,0000,0,3,1.000,unknown
121375.0,347.750,0000,0,3,1.000,unknown
121500.0,348.000,0000,0,2,1.000,unknown
121625.0,348.250,0000,0,3,1.000,unknown
121750.0,348.500,0010,4,3,0.790,snare
121875.0,348.750,0000,0,3,1.000,unknown
122000.0,349.000,",",-1,-1,1.000,separator
