time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,4,2,0.900,kick
117.2,0.250,0000,0,3,1.000,unknown
234.4,0.500,0000,0,3,1.000,unknown
351.6,0.750,0000,0,3,1.000,unknown
468.8,1.000,0100,4,2,0.950,snare
586.0,1.250,0000,0,3,1.000,unknown
703.2,1.500,0000,0,3,1.000,unknown
820.4,1.750,0000,0,3,1.000,unknown
937.6,2.000,1000,4,2,0.900,kick
1054.8,2.250,0000,0,3,1.000,unknown
1172.0,2.500,0000,0,3,1.000,unknown
1289.2,2.750,0000,0,3,1.000,unknown
1406.4,3.000,0100,4,2,0.950,snare
1523.6,3.250,0000,0,3,1.000,unknown
1640.8,3.500,0000,0,3,1.000,unknown
1758.0,3.750,0000,0,3,1.000,unknown
1875.2,4.000,",",-1,-1,1.000,separator
1875.2,4.000,1000,4,2,0.900,kick
1992.4,4.250,0000,0,3,1.000,unknown
2109.6,4.500,0001,3,3,0.800,synth
2226.8,4.750,0000,0,3,1.000,unknown
2344.0,5.000,0100,4,2,0.950,snare
2461.2,5.250,0000,0,3,1.000,unknown
2578.4,5.500,0010,3,3,0.800,synth
2695.6,5.750,0000,0,3,1.000,unknown
2812.8,6.000,1000,4,2,0.900,kick
2930.0,6.250,0000,0,3,1.000,unknown
3047.2,6.500,0001,3,3,0.800,synth
3164.4,6.750,0000,0,3,1.000,unknown
3281.6,7.000,0100,4,2,0.950,snare
3398.8,7.250,0000,0,3,1.000,unknown
3516.0,7.500,0010,3,3,0.800,synth
3633.2,7.750,0000,0,3,1.000,unknown
3750.4,8.000,",",-1,-1,1.000,separator
3750.4,8.000,1100,4,2,0.900,kick
3867.6,8.250,0000,0,3,1.000,unknown
3984.8,8.500,0000,0,3,1.000,unknown
4102.0,8.750,0000,0,3,1.000,unknown
4219.2,9.000,0110,4,2,0.950,snare
4336.4,9.250,0000,0,3,1.000,unknown
4453.6,9.500,0000,0,3,1.000,unknown
4570.8,9.750,0000,0,3,1.000,unknown
4688.0,10.000,1100,4,2,0.900,kick
4805.2,10.250,0000,0,3,1.000,unknown
4922.4,10.500,0000,0,3,1.000,unknown
5039.6,10.750,0000,0,3,1.000,unknown
5156.8,11.000,0110,4,2,0.950,snare
5274.0,11.250,0001,3,3,0.850,synth
5391.2,11.500,1000,4,3,0.800,kick
5508.4,11.750,0001,3,3,0.850,synth
5625.6,12.000,",",-1,-1,1.000,separator
31000.0,66.000,1001,4,2,0.900,kick
31117.2,66.250,1000,4,4,0.850,kick
31234.4,66.500,0100,4,3,0.950,snare
31351.6,66.750,0010,4,4,0.800,synth
31468.8,67.000,1001,4,2,0.900,kick
31586.0,67.250,0100,4,4,0.850,snare
31703.2,67.500,0010,4,3,0.950,synth
31820.4,67.750,0001,4,4,0.800,synth
31937.6,68.000,1001,4,2,0.900,kick
32054.8,68.250,1000,4,4,0.850,kick
32172.0,68.500,0100,4,3,0.950,snare
32289.2,68.750,0010,4,4,0.800,synth
32406.4,69.000,1111,4,2,0.900,kick
32523.6,69.250,0100,4,4,0.850,snare
32640.8,69.500,1000,4,3,0.950,kick
32758.0,69.750,0001,4,4,0.800,synth
32875.2,70.000,",",-1,-1,1.000,separator
73000.0,155.000,1000,4,2,0.950,kick
73117.2,155.250,0000,0,3,1.000,unknown
73234.4,155.500,0100,4,3,0.950,snare
73351.6,155.750,0000,0,3,1.000,unknown
73468.8,156.000,1000,4,2,0.950,kick
73586.0,156.250,0000,0,3,1.000,unknown
73703.2,156.500,0100,4,3,0.950,snare
73820.4,156.750,0000,0,3,1.000,unknown
73937.6,157.000,1000,4,2,0.950,kick
74054.8,157.250,0000,0,3,1.000,unknown
74172.0,157.500,0100,4,3,0.950,snare
74289.2,157.750,0000,0,3,1.000,unknown
74406.4,158.000,1000,4,2,0.950,kick
74523.6,158.250,0000,0,3,1.000,unknown
74640.8,158.500,0100,4,3,0.950,snare
74758.0,158.750,0000,0,3,1.000,unknown
74875.2,159.000,",",-1,-1,1.000,separator
113000.0,241.000,1001,4,2,0.950,kick
113117.2,241.250,0110,4,4,0.900,snare
113234.4,241.500,1001,4,3,0.900,kick
113351.6,241.750,0110,4,4,0.900,snare
113468.8,242.000,1001,4,2,0.950,kick
113586.0,242.250,0110,4,4,0.900,snare
113703.2,242.500,1001,4,3,0.900,kick
113820.4,242.750,0110,4,4,0.900,snare
113937.6,243.000,1001,4,2,0.950,kick
114054.8,243.250,0110,4,4,0.900,snare
114172.0,243.500,1001,4,3,0.900,kick
114289.2,243.750,0110,4,4,0.900,snare
114406.4,244.000,1111,4,2,0.980,kick
114523.6,244.250,1111,4,4,0.980,kick
114640.8,244.500,1111,4,3,0.980,kick
114758.0,244.750,1111,4,4,0.980,kick
114875.2,245.000,",",-1,-1,1.000,separator
133000.0,283.000,1000,4,2,0.990,kick
133117.2,283.250,0000,0,3,1.000,unknown
133234.4,283.500,0000,0,3,1.000,unknown
133351.6,283.750,0000,0,3,1.000,unknown
133468.8,284.000,0100,4,2,0.990,snare
133586.0,284.250,0000,0,3,1.000,unknown
133703.2,284.500,0000,0,3,1.000,unknown
133820.4,284.750,0000,0,3,1.000,unknown
133937.6,285.000,1000,4,2,0.990,kick
134054.8,285.250,0000,0,3,1.000,unknown
134172.0,285.500,0000,0,3,1.000,unknown
134289.2,285.750,0000,0,3,1.000,unknown
134406.4,286.000,0100,4,2,0.990,snare
134523.6,286.250,0000,0,3,1.000,unknown
134640.8,286.500,0000,0,3,1.000,unknown
134758.0,286.750,0000,0,3,1.000,unknown
134875.2,287.000,",",-1,-1,1.000,separator
