time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
78.0,1.000,",",-1,-1,1.000,separator
765.7,3.000,0010,1,2,0.600,unknown
1108.6,4.000,0001,1,2,0.700,unknown
1451.4,5.000,",",-1,-1,1.000,separator
1451.4,5.000,1000,1,2,0.980,kick
1622.8,5.500,0010,3,3,0.850,bass
1794.3,6.000,0100,2,2,0.950,kick
2137.1,7.000,0001,2,2,0.950,snare
2480.0,8.000,0010,2,2,0.950,kick
2822.9,9.000,",",-1,-1,1.000,separator
2822.9,9.000,1000,1,2,0.980,kick
3165.7,10.000,0100,2,2,0.950,kick
3337.1,10.500,0001,3,3,0.800,bass
3508.6,11.000,0010,2,2,0.950,snare
3851.4,12.000,1000,2,2,0.950,kick
4194.3,13.000,",",-1,-1,1.000,separator
4194.3,13.000,0100,1,2,0.980,kick
4537.1,14.000,0001,2,2,0.950,kick
4880.0,15.000,1000,2,2,0.950,snare
5222.9,16.000,0010,2,2,0.950,kick
5565.7,17.000,",",-1,-1,1.000,separator
5565.7,17.000,1000,1,2,0.990,kick
5737.1,17.500,0100,3,3,0.880,synth
5908.6,18.000,0001,2,2,0.950,kick
6251.4,19.000,0010,2,2,0.950,snare
6594.3,20.000,1000,2,2,0.950,kick
6937.1,21.000,",",-1,-1,1.000,separator
6937.1,21.000,0100,1,2,0.980,kick
7280.0,22.000,0010,2,2,0.950,kick
7622.9,23.000,1000,2,2,0.950,snare
7794.3,23.500,0001,3,3,0.850,synth
7965.7,24.000,0100,2,2,0.950,kick
8308.6,25.000,",",-1,-1,1.000,separator
8308.6,25.000,1000,1,2,0.990,kick
8480.0,25.500,0010,3,3,0.850,bass
8651.4,26.000,0001,2,2,0.950,kick
8994.3,27.000,0100,2,2,0.950,snare
9337.1,28.000,1000,2,2,0.950,kick
9680.0,29.000,",",-1,-1,1.000,separator
9680.0,29.000,0010,1,2,0.980,kick
10022.9,30.000,0001,2,2,0.950,kick
10365.7,31.000,1000,2,2,0.950,snare
10708.6,32.000,0100,2,2,0.950,kick
11051.4,33.000,",",-1,-1,1.000,separator
11051.4,33.000,1000,1,2,0.980,kick
11394.3,34.000,0010,2,2,0.950,kick
11737.1,35.000,0100,2,2,0.950,snare
12080.0,36.000,0001,2,2,0.950,kick
12422.9,37.000,",",-1,-1,1.000,separator
12422.9,37.000,1000,1,2,0.980,kick
12765.7,38.000,0010,2,2,0.950,kick
13108.6,39.000,0100,2,2,0.950,snare
13451.4,40.000,0001,2,2,0.950,kick
13794.3,41.000,",",-1,-1,1.000,separator
13794.3,41.000,1000,1,2,0.980,kick
13965.7,41.500,0010,3,3,0.880,synth
14137.1,42.000,0100,2,2,0.950,kick
14480.0,43.000,0001,2,2,0.950,snare
14822.9,44.000,1000,2,2,0.950,kick
15165.7,45.000,",",-1,-1,1.000,separator
15165.7,45.000,0010,1,2,0.980,kick
15508.6,46.000,0001,2,2,0.950,kick
15851.4,47.000,0100,2,2,0.950,snare
16194.3,48.000,1000,2,2,0.950,kick
16537.1,49.000,",",-1,-1,1.000,separator
16537.1,49.000,1000,1,2,0.980,kick
16880.0,50.000,0010,2,2,0.950,kick
17222.9,51.000,0001,2,2,0.950,snare
17565.7,52.000,0100,2,2,0.950,kick
17908.6,53.000,",",-1,-1,1.000,separator
17908.6,53.000,1000,1,2,0.980,kick
18251.4,54.000,0100,2,2,0.950,kick
18594.3,55.000,0001,2,2,0.950,snare
18937.1,56.000,0010,2,2,0.950,kick
19280.0,57.000,",",-1,-1,1.000,separator
19280.0,57.000,1000,1,2,0.980,kick
19622.9,58.000,0010,2,2,0.950,kick
19965.7,59.000,0100,2,2,0.950,snare
20308.6,60.000,0001,2,2,0.950,kick
20651.4,61.000,",",-1,-1,1.000,separator
20651.4,61.000,1000,1,2,0.980,kick
20994.3,62.000,0100,2,2,0.950,kick
21337.1,63.000,0001,2,2,0.950,snare
21680.0,64.000,0010,2,2,0.950,kick
22022.9,65.000,",",-1,-1,1.000,separator
22022.9,65.000,1000,1,2,0.980,kick
22365.7,66.000,0010,2,2,0.950,kick
22708.6,67.000,0100,2,2,0.950,snare
