time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
20.0,1.000,1000,1,2,0.900,kick
372.9,2.000,0000,0,2,1.000,unknown
725.9,3.000,0010,4,2,0.800,snare
1078.8,4.000,0000,0,2,1.000,unknown
1431.8,5.000,",",-1,-1,1.000,separator
1431.8,5.000,1000,1,2,0.900,kick
1784.7,6.000,0000,0,2,1.000,unknown
2137.6,7.000,0010,4,2,0.800,snare
2490.6,8.000,0000,0,2,1.000,unknown
2843.5,9.000,",",-1,-1,1.000,separator
2843.5,9.000,0100,1,2,0.900,kick
3196.5,10.000,0000,0,2,1.000,unknown
3549.4,11.000,0001,4,2,0.800,snare
3902.4,12.000,0000,0,2,1.000,unknown
4255.3,13.000,",",-1,-1,1.000,separator
4255.3,13.000,0100,1,2,0.900,kick
4608.2,14.000,0000,0,2,1.000,unknown
4961.2,15.000,0001,4,2,0.800,snare
5314.1,16.000,0000,0,2,1.000,unknown
5667.1,17.000,",",-1,-1,1.000,separator
5667.1,17.000,1001,1,2,0.950,kick
6020.0,18.000,0000,0,2,1.000,unknown
6372.9,19.000,0110,4,2,0.850,snare
6725.9,20.000,0000,0,2,1.000,unknown
7078.8,21.000,",",-1,-1,1.000,separator
7078.8,21.000,1000,1,2,0.900,kick
7431.8,22.000,0000,0,2,1.000,unknown
7784.7,23.000,0010,4,2,0.800,snare
8137.6,24.000,0000,0,2,1.000,unknown
8490.6,25.000,",",-1,-1,1.000,separator
8490.6,25.000,0001,1,2,0.900,kick
8843.5,26.000,0000,0,2,1.000,unknown
9196.5,27.000,0100,4,2,0.800,snare
9549.4,28.000,0000,0,2,1.000,unknown
9902.4,29.000,",",-1,-1,1.000,separator
9902.4,29.000,1000,2,2,0.900,kick
10078.8,29.500,0000,0,3,1.000,unknown
10255.3,30.000,0100,4,2,0.850,snare
10431.8,30.500,0000,0,3,1.000,unknown
10608.2,31.000,0010,2,2,0.850,kick
10784.7,31.500,0000,0,3,1.000,unknown
10961.2,32.000,0001,4,2,0.850,snare
11137.6,32.500,1000,4,3,0.900,kick
11314.1,33.000,",",-1,-1,1.000,separator
11314.1,33.000,0100,1,2,0.900,kick
11490.6,33.500,0000,0,3,1.000,unknown
11667.1,34.000,0010,4,2,0.850,snare
11843.5,34.500,0000,0,3,1.000,unknown
12020.0,35.000,1000,2,2,0.850,kick
12196.5,35.500,0001,5,3,0.800,synth
12372.9,36.000,0100,4,2,0.850,snare
12549.4,36.500,0010,4,3,0.800,kick
12725.9,37.000,",",-1,-1,1.000,separator
12725.9,37.000,1000,1,2,0.950,kick
12902.4,37.500,0000,0,3,1.000,unknown
13078.8,38.000,0010,4,2,0.900,snare
13255.3,38.500,0000,0,3,1.000,unknown
13431.8,39.000,0000,0,2,1.000,unknown
13608.2,39.500,0100,2,3,0.850,kick
13784.7,40.000,0001,4,2,0.900,snare
13961.2,40.500,0000,0,3,1.000,unknown
14137.6,41.000,",",-1,-1,1.000,separator
14137.6,41.000,0001,1,2,0.900,kick
14314.1,41.500,0000,0,3,1.000,unknown
14490.6,42.000,0100,4,2,0.900,snare
14667.1,42.500,0000,0,3,1.000,unknown
14843.5,43.000,0000,0,2,1.000,unknown
15020.0,43.500,1000,2,3,0.850,kick
15196.5,44.000,0010,4,2,0.900,snare
15372.9,44.500,0000,0,3,1.000,unknown
15549.4,45.000,",",-1,-1,1.000,separator
15549.4,45.000,1000,1,2,0.950,kick
15725.9,45.500,0000,0,3,1.000,unknown
15902.4,46.000,0010,4,2,0.900,snare
16078.8,46.500,0000,0,3,1.000,unknown
16255.3,47.000,0000,0,2,1.000,unknown
16431.8,47.500,0100,2,3,0.850,kick
16608.2,48.000,0001,4,2,0.900,snare
16784.7,48.500,0000,0,3,1.000,unknown
16961.2,49.000,",",-1,-1,1.000,separator
16961.2,49.000,1001,1,2,0.950,kick
17137.6,49.500,0000,0,3,1.000,unknown
17314.1,50.000,0110,4,2,0.900,snare
17490.6,50.500,0000,0,3,1.000,unknown
17667.1,51.000,0000,0,2,1.000,unknown
17843.5,51.500,1000,2,3,0.850,kick
18020.0,52.000,0010,4,2,0.900,snare
18196.5,52.500,0100,2,3,0.800,kick
18372.9,53.000,",",-1,-1,1.000,separator
18372.9,53.000,1000,1,2,0.950,kick
18549.4,53.500,0000,0,3,1.000,unknown
18725.9,54.000,0010,4,2,0.900,snare
18902.4,54.500,0000,0,3,1.000,unknown
19078.8,55.000,0000,0,2,1.000,unknown
19255.3,55.500,0100,2,3,0.850,kick
19431.8,56.000,0001,4,2,0.900,snare
19608.2,56.500,0000,0,3,1.000,unknown
19784.7,57.000,",",-1,-1,1.000,separator
19784.7,57.000,0001,1,2,0.950,kick
19961.2,57.500,0000,0,3,1.000,unknown
20137.6,58.000,0100,4,2,0.900,snare
20314.1,58.500,0000,0,3,1.000,unknown
20490.6,59.000,0000,0,2,1.000,unknown
20667.1,59.500,1000,2,3,0.850,kick
20843.5,60.000,0010,4,2,0.900,snare
21020.0,60.500,0000,0,3,1.000,unknown
21196.5,61.000,",",-1,-1,1.000,separator
21196.5,61.000,1000,1,2,0.950,kick
21372.9,61.500,0000,0,3,1.000,unknown
21549.4,62.000,0010,4,2,0.900,snare
21725.9,62.500,0000,0,3,1.000,unknown
21902.4,63.000,0000,0,2,1.000,unknown
22078.8,63.500,0100,2,3,0.850,kick
22255.3,64.000,0001,4,2,0.900,snare
22431.8,64.500,1001,4,3,0.900,kick
22608.2,65.000,",",-1,-1,1.000,separator
22608.2,65.000,1000,1,2,0.950,kick
22784.7,65.500,0000,0,3,1.000,unknown
22961.2,66.000,0010,4,2,0.900,snare
23137.6,66.500,0000,0,3,1.000,unknown
23314.1,67.000,0000,0,2,1.000,unknown
23490.6,67.500,0100,2,3,0.850,kick
23667.1,68.000,0001,4,2,0.900,snare
23843.5,68.500,0000,0,3,1.000,unknown
24020.0,69.000,",",-1,-1,1.000,separator
24020.0,69.000,0100,1,2,0.950,kick
24196.5,69.500,0000,0,3,1.000,unknown
24372.9,70.000,0001,4,2,0.900,snare
24549.4,70.500,0000,0,3,1.000,unknown
24725.9,71.000,0000,0,2,1.000,unknown
24902.4,71.500,1000,2,3,0.850,kick
25078.8,72.000,0010,4,2,0.900,snare
25255.3,72.500,0000,0,3,1.000,unknown
25431.8,73.000,",",-1,-1,1.000,separator
25431.8,73.000,1000,1,2,0.950,kick
25608.2,73.500,0000,0,3,1.000,unknown
25784.7,74.000,0010,4,2,0.900,snare
25961.2,74.500,0000,0,3,1.000,unknown
26137.6,75.000,0000,0,2,1.000,unknown
26314.1,75.500,0100,2,3,0.850,kick
26490.6,76.000,0001,4,2,0.900,snare
26667.1,76.500,0000,0,3,1.000,unknown
26843.5,77.000,",",-1,-1,1.000,separator
26843.5,77.000,0100,1,2,0.950,kick
27020.0,77.500,0000,0,3,1.000,unknown
27196.5,78.000,0001,4,2,0.900,snare
27372.9,78.500,0000,0,3,1.000,unknown
27549.4,79.000,0000,0,2,1.000,unknown
27725.9,79.500,1000,2,3,0.850,kick
27902.4,80.000,0010,4,2,0.900,snare
28078.8,80.500,0000,0,3,1.000,unknown
28255.3,81.000,",",-1,-1,1.000,separator
28255.3,81.000,1000,1,2,0.950,kick
28431.8,81.500,0000,0,3,1.000,unknown
28608.2,82.000,0010,4,2,0.900,snare
28784.7,82.500,0000,0,3,1.000,unknown
28961.2,83.000,0000,0,2,1.000,unknown
29137.6,83.500,0100,2,3,0.850,kick
29314.1,84.000,0001,4,2,0.900,snare
29490.6,84.500,0000,0,3,1.000,unknown
29667.1,85.000,",",-1,-1,1.000,separator
29667.1,85.000,0100,1,2,0.950,kick
29843.5,85.500,0000,0,3,1.000,unknown
30020.0,86.000,0001,4,2,0.900,snare
30196.5,86.500,0000,0,3,1.000,unknown
30372.9,87.000,0000,0,2,1.000,unknown
30549.4,87.500,1000,2,3,0.850,kick
30725.9,88.000,0010,4,2,0.900,snare
30902.4,88.500,0100,4,3,0.800,kick
31078.8,89.000,",",-1,-1,1.000,separator
31078.8,89.000,1000,1,2,0.950,kick
31255.3,89.500,0000,0,3,1.000,unknown
31431.8,90.000,0010,4,2,0.900,snare
31608.2,90.500,0000,0,3,1.000,unknown
31784.7,91.000,0000,0,2,1.000,unknown
31961.2,91.500,0100,2,3,0.850,kick
32137.6,92.000,0001,4,2,0.900,snare
32314.1,92.500,0000,0,3,1.000,unknown
32490.6,93.000,",",-1,-1,1.000,separator
32490.6,93.000,0001,1,2,0.950,kick
32667.1,93.500,0000,0,3,1.000,unknown
32843.5,94.000,0100,4,2,0.900,snare
33020.0,94.500,0000,0,3,1.000,unknown
33196.5,95.000,0000,0,2,1.000,unknown
33372.9,95.500,1000,2,3,0.850,kick
33549.4,96.000,0010,4,2,0.900,snare
33725.9,96.500,0000,0,3,1.000,unknown
33902.4,97.000,",",-1,-1,1.000,separator
33902.4,97.000,1000,1,2,0.950,kick
34078.8,97.500,0000,0,3,1.000,unknown
34255.3,98.000,0010,4,2,0.900,snare
34431.8,98.500,0000,0,3,1.000,unknown
34608.2,99.000,0000,0,2,1.000,unknown
34784.7,99.500,0100,2,3,0.850,kick
34961.2,100.000,0001,4,2,0.900,snare
35137.6,100.500,0000,0,3,1.000,unknown
35314.1,101.000,",",-1,-1,1.000,separator
35314.1,101.000,0001,1,2,0.950,kick
35490.6,101.500,0000,0,3,1.000,unknown
35667.1,102.000,0100,4,2,0.900,snare
35843.5,102.500,0000,0,3,1.000,unknown
36020.0,103.000,0000,0,2,1.000,unknown
36196.5,103.500,1000,2,3,0.850,kick
36372.9,104.000,0010,4,2,0.900,snare
36549.4,104.500,0000,0,3,1.000,unknown
36725.9,105.000,",",-1,-1,1.000,separator
36725.9,105.000,1000,1,2,0.950,kick
36902.4,105.500,0000,0,3,1.000,unknown
37078.8,106.000,0010,4,2,0.900,snare
37255.3,106.500,0000,0,3,1.000,unknown
37431.8,107.000,0000,0,2,1.000,unknown
37608.2,107.500,0100,2,3,0.850,kick
37784.7,108.000,0001,4,2,0.900,snare
37961.2,108.500,0000,0,3,1.000,unknown
38137.6,109.000,",",-1,-1,1.000,separator
38137.6,109.000,0100,1,2,0.950,kick
38314.1,109.500,0000,0,3,1.000,unknown
38490.6,110.000,0001,4,2,0.900,snare
38667.1,110.500,0000,0,3,1.000,unknown
38843.5,111.000,0000,0,2,1.000,unknown
39020.0,111.500,1000,2,3,0.850,kick
39196.5,112.000,0010,4,2,0.900,snare
39372.9,112.500,0000,0,3,1.000,unknown
39549.4,113.000,",",-1,-1,1.000,separator
39549.4,113.000,1000,1,2,0.950,kick
39902.4,114.000,0010,4,2,0.850,snare
40255.3,115.000,0100,2,2,0.800,kick
40608.2,116.000,0001,4,2,0.850,snare
40961.2,117.000,",",-1,-1,1.000,separator
40961.2,117.000,0010,1,2,0.950,kick
41314.1,118.000,0100,4,2,0.850,snare
41667.1,119.000,1000,2,2,0.800,kick
42020.0,120.000,0010,4,2,0.850,snare
42372.9,121.000,",",-1,-1,1.000,separator
42372.9,121.000,1000,1,2,0.950,kick
42725.9,122.000,0010,4,2,0.850,snare
43078.8,123.000,0000,0,2,1.000,unknown
43431.8,124.000,0001,4,2,0.850,snare
43784.7,125.000,",",-1,-1,1.000,separator
43784.7,125.000,0100,1,2,0.950,kick
44137.6,126.000,0000,0,2,1.000,unknown
44490.6,127.000,1000,2,2,0.800,kick
44843.5,128.000,0010,4,2,0.850,snare
45196.5,129.000,",",-1,-1,1.000,separator
45196.5,129.000,0010,1,2,0.950,kick
45549.4,130.000,0100,4,2,0.850,snare
45902.4,131.000,0000,0,2,1.000,unknown
46255.3,132.000,0010,4,2,0.850,snare
46608.2,133.000,",",-1,-1,1.000,separator
46608.2,133.000,1000,1,2,0.950,kick
46961.2,134.000,0010,4,2,0.850,snare
47314.1,135.000,0000,0,2,1.000,unknown
47667.1,136.000,0100,4,2,0.850,snare
48020.0,137.000,",",-1,-1,1.000,separator
48020.0,137.000,0010,1,2,0.950,kick
48372.9,138.000,1000,4,2,0.850,snare
48725.9,139.000,0100,2,2,0.800,kick
49078.8,140.000,0010,4,2,0.850,snare
49431.8,141.000,",",-1,-1,1.000,separator
49431.8,141.000,1000,1,2,0.950,kick
49784.7,142.000,0001,4,2,0.850,snare
50137.6,143.000,0000,0,2,1.000,unknown
50490.6,144.000,0100,4,2,0.850,snare
50843.5,145.000,",",-1,-1,1.000,separator
50843.5,145.000,0010,1,2,0.950,kick
51196.5,146.000,1000,4,2,0.850,snare
51549.4,147.000,0100,2,2,0.800,kick
51902.4,148.000,0010,4,2,0.850,snare
52255.3,149.000,",",-1,-1,1.000,separator
52255.3,149.000,1000,1,2,0.950,kick
52608.2,150.000,0000,0,2,1.000,unknown
52961.2,151.000,0100,4,2,0.850,snare
53314.1,152.000,0000,0,2,1.000,unknown
53667.1,153.000,",",-1,-1,1.000,separator
53667.1,153.000,0010,1,2,0.950,kick
54020.0,154.000,1000,4,2,0.850,snare
54372.9,155.000,0100,2,2,0.800,kick
54725.9,156.000,0010,4,2,0.850,snare
55078.8,157.000,",",-1,-1,1.000,separator
55078.8,157.000,1000,1,2,0.950,kick
55431.8,158.000,0001,4,2,0.850,snare
55784.7,159.000,0000,0,2,1.000,unknown
56137.6,160.000,0100,4,2,0.850,snare
56490.6,161.000,",",-1,-1,1.000,separator
56490.6,161.000,0010,1,2,0.950,kick
56843.5,162.000,0000,0,2,1.000,unknown
57196.5,163.000,1000,4,2,0.850,snare
57549.4,164.000,0001,4,2,0.850,snare
57902.4,165.000,",",-1,-1,1.000,separator
57902.4,165.000,1000,1,2,0.950,kick
58255.3,166.000,0010,4,2,0.850,snare
58608.2,167.000,0100,2,2,0.800,kick
58961.2,168.000,0010,4,2,0.850,snare
59314.1,169.000,",",-1,-1,1.000,separator
59314.1,169.000,1000,1,2,0.950,kick
59667.1,170.000,0001,4,2,0.850,snare
60020.0,171.000,0000,0,2,1.000,unknown
60372.9,172.000,0100,4,2,0.850,snare
60725.9,173.000,",",-1,-1,1.000,separator
60725.9,173.000,0010,1,2,0.950,kick
61078.8,174.000,0000,0,2,1.000,unknown
61431.8,175.000,1000,4,2,0.850,snare
61784.7,176.000,0000,0,2,1.000,unknown
62137.6,177.000,",",-1,-1,1.000,separator
62137.6,177.000,1000,1,2,0.950,kick
62490.6,178.000,0100,4,2,0.850,snare
62843.5,179.000,0010,2,2,0.800,kick
63196.5,180.000,0001,4,2,0.850,snare
63549.4,181.000,",",-1,-1,1.000,separator
63549.4,181.000,1000,1,2,0.950,kick
63902.4,182.000,0010,4,2,0.850,snare
64255.3,183.000,0100,2,2,0.800,kick
64608.2,184.000,0000,0,2,1.000,unknown
64961.2,185.000,",",-1,-1,1.000,separator
64961.2,185.000,0010,1,2,0.950,kick
65314.1,186.000,0000,0,2,1.000,unknown
65667.1,187.000,1000,4,2,0.850,snare
66020.0,188.000,0100,4,2,0.850,snare
66372.9,189.000,",",-1,-1,1.000,separator
66372.9,189.000,1000,1,2,0.950,kick
66725.9,190.000,0010,4,2,0.850,snare
67078.8,191.000,0001,2,2,0.800,kick
67431.8,192.000,0100,4,2,0.850,snare
67784.7,193.000,",",-1,-1,1.000,separator
67784.7,193.000,1000,1,2,0.950,kick
68137.6,194.000,0010,4,2,0.850,snare
68490.6,195.000,0000,0,2,1.000,unknown
68843.5,196.000,0100,4,2,0.850,snare
69196.5,197.000,",",-1,-1,1.000,separator
69196.5,197.000,0010,1,2,0.950,kick
69549.4,198.000,0000,0,2,1.000,unknown
69902.4,199.000,1000,4,2,0.850,snare
70255.3,200.000,0000,0,2,1.000,unknown
70608.2,201.000,",",-1,-1,1.000,separator
70608.2,201.000,1000,1,2,0.950,kick
70961.2,202.000,0000,0,2,1.000,unknown
71314.1,203.000,0010,4,2,0.850,snare
71667.1,204.000,0000,0,2,1.000,unknown
72020.0,205.000,",",-1,-1,1.000,separator
72020.0,205.000,0001,1,2,0.950,kick
72372.9,206.000,0100,4,2,0.850,snare
72725.9,207.000,0000,0,2,1.000,unknown
73078.8,208.000,1000,4,2,0.850,snare
73431.8,209.000,",",-1,-1,1.000,separator
73431.8,209.000,1000,1,2,0.950,kick
73784.7,210.000,0000,0,2,1.000,unknown
74137.6,211.000,0010,4,2,0.850,snare
74490.6,212.000,0000,0,2,1.000,unknown
74843.5,213.000,",",-1,-1,1.000,separator
74843.5,213.000,0100,1,2,0.950,kick
75196.5,214.000,0000,0,2,1.000,unknown
75549.4,215.000,0001,4,2,0.850,snare
75902.4,216.000,0000,0,2,1.000,unknown
76255.3,217.000,",",-1,-1,1.000,separator
76255.3,217.000,1000,1,2,0.950,kick
76608.2,218.000,0010,4,2,0.850,snare
76961.2,219.000,0000,0,2,1.000,unknown
77314.1,220.000,0100,4,2,0.850,snare
77667.1,221.000,",",-1,-1,1.000,separator
77667.1,221.000,0010,1,2,0.950,kick
78020.0,222.000,0000,0,2,1.000,unknown
78372.9,223.000,1000,4,2,0.850,snare
78725.9,224.000,0000,0,2,1.000,unknown
79078.8,225.000,",",-1,-1,1.000,separator
79078.8,225.000,1000,1,2,0.950,kick
79431.8,226.000,0000,0,2,1.000,unknown
79784.7,227.000,0010,4,2,0.850,snare
80137.6,228.000,0000,0,2,1.000,unknown
80490.6,229.000,",",-1,-1,1.000,separator
80490.6,229.000,0100,1,2,0.950,kick
80843.5,230.000,0001,4,2,0.850,snare
81196.5,231.000,0000,0,2,1.000,unknown
81549.4,232.000,1000,4,2,0.850,snare
81902.4,233.000,",",-1,-1,1.000,separator
81902.4,233.000,1000,1,2,0.950,kick
82255.3,234.000,0000,0,2,1.000,unknown
82608.2,235.000,0010,4,2,0.850,snare
82961.2,236.000,0000,0,2,1.000,unknown
83314.1,237.000,",",-1,-1,1.000,separator
83314.1,237.000,0010,1,2,0.950,kick
83667.1,238.000,0000,0,2,1.000,unknown
84020.0,239.000,1000,4,2,0.850,snare
84372.9,240.000,0000,0,2,1.000,unknown
84725.9,241.000,",",-1,-1,1.000,separator
84725.9,241.000,1000,1,2,0.950,kick
85078.8,242.000,0010,4,2,0.850,snare
85431.8,243.000,0000,0,2,1.000,unknown
85784.7,244.000,0100,4,2,0.850,snare
86137.6,245.000,",",-1,-1,1.000,separator
86137.6,245.000,0001,1,2,0.950,kick
86490.6,246.000,0000,0,2,1.000,unknown
86843.5,247.000,0010,4,2,0.850,snare
87196.5,248.000,0000,0,2,1.000,unknown
87549.4,249.000,",",-1,-1,1.000,separator
87549.4,249.000,1000,1,2,0.950,kick
87902.4,250.000,0100,4,2,0.850,snare
88255.3,251.000,0000,0,2,1.000,unknown
88608.2,252.000,0010,4,2,0.850,snare
88961.2,253.000,",",-1,-1,1.000,separator
88961.2,253.000,1000,1,2,0.950,kick
89314.1,254.000,0000,0,2,1.000,unknown
89667.1,255.000,0100,4,2,0.850,snare
90020.0,256.000,0000,0,2,1.000,unknown
90372.9,257.000,",",-1,-1,1.000,separator
90372.9,257.000,0010,1,2,0.950,kick
90725.9,258.000,0000,0,2,1.000,unknown
91078.8,259.000,1000,4,2,0.850,snare
91431.8,260.000,0000,0,2,1.000,unknown
91784.7,261.000,",",-1,-1,1.000,separator
91784.7,261.000,1000,1,2,0.950,kick
92137.6,262.000,0001,4,2,0.850,snare
92490.6,263.000,0000,0,2,1.000,unknown
92843.5,264.000,0100,4,2,0.850,snare
93196.5,265.000,",",-1,-1,1.000,separator
93196.5,265.000,0010,1,2,0.950,kick
93549.4,266.000,0000,0,2,1.000,unknown
93902.4,267.000,1000,4,2,0.850,snare
94255.3,268.000,0000,0,2,1.000,unknown
94608.2,269.000,",",-1,-1,1.000,separator
94608.2,269.000,1000,1,2,0.950,kick
94961.2,270.000,0100,4,2,0.850,snare
95314.1,271.000,0000,0,2,1.000,unknown
95667.1,272.000,0010,4,2,0.850,snare
96020.0,273.000,",",-1,-1,1.000,separator
96020.0,273.000,0001,1,2,0.950,kick
96372.9,274.000,0000,0,2,1.000,unknown
96725.9,275.000,1000,4,2,0.850,snare
97078.8,276.000,0000,0,2,1.000,unknown
97431.8,277.000,",",-1,-1,1.000,separator
97431.8,277.000,1000,1,2,0.950,kick
97784.7,278.000,0010,4,2,0.850,snare
98137.6,279.000,0000,0,2,1.000,unknown
98490.6,280.000,0100,4,2,0.850,snare
98843.5,281.000,",",-1,-1,1.000,separator
98843.5,281.000,0010,1,2,0.950,kick
99196.5,282.000,0000,0,2,1.000,unknown
99549.4,283.000,1000,4,2,0.850,snare
99902.4,284.000,0000,0,2,1.000,unknown
100255.3,285.000,",",-1,-1,1.000,separator
100255.3,285.000,1000,1,2,0.950,kick
100608.2,286.000,0100,4,2,0.850,snare
100961.2,287.000,0000,0,2,1.000,unknown
101314.1,288.000,0010,4,2,0.850,snare
101667.1,289.000,",",-1,-1,1.000,separator
101667.1,289.000,0001,1,2,0.950,kick
102020.0,290.000,0000,0,2,1.000,unknown
102372.9,291.000,1000,4,2,0.850,snare
102725.9,292.000,0000,0,2,1.000,unknown
103078.8,293.000,",",-1,-1,1.000,separator
103078.8,293.000,1000,1,2,0.950,kick
103431.8,294.000,0010,4,2,0.850,snare
103784.7,295.000,0000,0,2,1.000,unknown
104137.6,296.000,0100,4,2,0.850,snare
104490.6,297.000,",",-1,-1,1.000,separator
104490.6,297.000,0010,1,2,0.950,kick
104843.5,298.000,0000,0,2,1.000,unknown
105196.5,299.000,1000,4,2,0.850,snare
105549.4,300.000,0000,0,2,1.000,unknown
105902.4,301.000,",",-1,-1,1.000,separator
105902.4,301.000,1000,1,2,0.950,kick
106255.3,302.000,0001,4,2,0.850,snare
106608.2,303.000,0000,0,2,1.000,unknown
106961.2,304.000,1000,4,2,0.850,snare
107314.1,305.000,",",-1,-1,1.000,separator
107314.1,305.000,1000,1,2,0.950,kick
107667.1,306.000,0000,0,2,1.000,unknown
108020.0,307.000,0010,4,2,0.850,snare
108372.9,308.000,0000,0,2,1.000,unknown
108725.9,309.000,",",-1,-1,1.000,separator
108725.9,309.000,0010,1,2,0.950,kick
109078.8,310.000,0000,0,2,1.000,unknown
109431.8,311.000,1000,4,2,0.850,snare
109784.7,312.000,0000,0,2,1.000,unknown
110137.6,313.000,",",-1,-1,1.000,separator
110137.6,313.000,1000,1,2,0.950,kick
110490.6,314.000,0100,4,2,0.850,snare
110843.5,315.000,0000,0,2,1.000,unknown
111196.5,316.000,0010,4,2,0.850,snare
111549.4,317.000,",",-1,-1,1.000,separator
111549.4,317.000,0001,1,2,0.950,kick
111902.4,318.000,0000,0,2,1.000,unknown
112255.3,319.000,1000,4,2,0.850,snare
112608.2,320.000,0000,0,2,1.000,unknown
112961.2,321.000,",",-1,-1,1.000,separator
112961.2,321.000,1000,1,2,0.950,kick
113314.1,322.000,0010,4,2,0.850,snare
113667.1,323.000,0000,0,2,1.000,unknown
114020.0,324.000,0100,4,2,0.850,snare
114372.9,325.000,",",-1,-1,1.000,separator
114372.9,325.000,0010,1,2,0.950,kick
114725.9,326.000,0000,0,2,1.000,unknown
115078.8,327.000,1000,4,2,0.850,snare
115431.8,328.000,0000,0,2,1.000,unknown
115784.7,329.000,",",-1,-1,1.000,separator
115784.7,329.000,1000,1,2,0.950,kick
116137.6,330.000,0001,4,2,0.850,snare
