Here is your StepMania beatmap for the provided audio:
```css
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.00,1.00,1000,4,2,0.95,kick
125.00,1.25,0000,0,3,1.0,unknown
250.00,1.50,0010,4,3,0.88,snare
375.00,1.75,0000,0,3,1.0,unknown
500.00,2.00,2000,4,2,1.0,bass
625.00,2.25,0000,0,3,1.0,unknown
750.00,2.50,0100,4,3,0.82,snare
875.00,2.75,0000,0,3,1.0,unknown
1000.00,3.00,3001,4,2,0.91,kick
1125.00,3.25,0000,0,3,1.0,unknown
1250.00,3.50,0000,0,3,1.0,unknown
1375.00,3.75,0000,0,3,1.0,unknown
1500.00,4.00,0000,0,2,1.0,unknown
1625.00,4.25,0000,0,3,1.0,unknown
1750.00,4.50,0010,4,3,0.79,snare
1875.00,4.75,0000,0,3,1.0,unknown
2000.00,5.00,"", "", -1, -1, 1.0, separator
1234.65,6.28,0000,0,3,1.0,unknown
1362.36,6.48,0000,0,3,1.0,unknown
1571.34,6.69,0000,0,3,1.0,unknown
1815.15,7.01,0000,0,3,1.0,unknown
2244.72,8.44,0000,0,3,1.0,unknown
2488.53,8.67,0000,0,3,1.0,unknown
2720.73,9.00,0000,0,3,1.0,unknown
2941.32,9.22,0000,0,3,1.0,unknown
3173.51,9.45,0000,0,3,1.0,unknown
3359.27,9.67,0000,0,3,1.0,unknown
3637.91,9.88,0000,0,3,1.0,unknown
3870.11,10.10,0000,0,3,1.0,unknown
4032.65,10.32,0000,0,3,1.0,unknown
4079.09,10.55,0000,0,3,1.0,unknown
4264.85,10.77,0000,0,3,1.0,unknown
4311.29,11.00,0000,0,3,1.0,unknown
4497.05,11.22,0000,0,3,1.0,unknown
4764.08,11.44,0000,0,3,1.0,unknown
4984.67,11.66,0000,0,3,1.0,unknown
5205.26,11.89,0000,0,3,1.0,unknown
5437.46,12.11,0000,0,3,1.0,unknown
5681.27,12.33,0000,0,3,1.0,unknown
5890.25,12.55,0000,0,3,1.0,unknown
6134.06,12.77,0000,0,3,1.0,unknown
6366.26,13.00,0000,0,3,1.0,unknown
6586.85,13.22,0000,0,3,1.0,unknown
6714.56,13.44,0000,0,3,1.0,unknown
6819.05,13.66,0000,0,3,1.0,unknown
7039.64,13.88,0000,0,3,1.0,unknown
7225.40,14.11,0000,0,3,1.0,unknown
7480.82,14.33,0000,0,3,1.0,unknown
7724.63,14.55,0000,0,3,1.0,unknown
7956.83,14.77,0000,0,3,1.0,unknown
8165.80,15.00,0000,0,3,1.0,unknown
8398.00,15.22,0000,0,3,1.0,unknown
8641.81,15.44,0000,0,3,1.0,unknown
8839.18,15.66,0000,0,3,1.0,unknown
9082.99,16.00,0000,0,3,1.0,unknown
9315.19,16.22,0000,0,3,1.0,unknown
9535.78,16.44,0000,0,3,1.0,unknown
9779.59,16.66,0000,0,3,1.0,unknown
10000.18,17.00,0000,0,3,1.0,unknown
10220.77,17.22,0000,0,3,1.0,unknown
10406.53,17.44,0000,0,3,1.0,unknown
10627.12,17.66,0000,0,3,1.0,unknown
10685.17,17.88,0000,0,3,1.0,unknown
10859.32,18.10,0000,0,3,1.0,unknown
11010.25,18.32,0000,0,3,1.0,unknown
11358.55,18.54,0000,0,3,1.0,unknown
11544.31,18.76,0000,0,3,1.0,unknown
11764.90,19.00,0000,0,3,1.0,unknown
12031.93,19.22,0000,0,3,1.0,unknown
12217.69,19.44,0000,0,3,1.0,unknown
12484.72,19.66,0000,0,3,1.0,unknown
12682.09,19.88,0000,0,3,1.0,unknown
13025.90,20.00,0000,0,3,1.0,unknown
