time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,4,2,0.950,kick
113.6,0.250,0000,0,4,1.000,unknown
227.3,0.500,0100,4,3,0.880,snare
340.9,0.750,0000,0,4,1.000,unknown
454.5,1.000,1000,4,2,0.920,kick
568.2,1.250,0000,0,4,1.000,unknown
681.8,1.500,0010,4,3,0.850,snare
795.5,1.750,0000,0,4,1.000,unknown
909.1,2.000,1000,4,2,0.900,kick
1022.7,2.250,0000,0,4,1.000,unknown
1136.4,2.500,0100,4,3,0.830,snare
1250.0,2.750,0000,0,4,1.000,unknown
1363.6,3.000,1001,4,2,0.910,kick
1477.3,3.250,0000,0,4,1.000,unknown
1590.9,3.500,0010,4,3,0.800,snare
1704.5,3.750,0000,0,4,1.000,unknown
1818.2,4.000,",",-1,-1,1.000,separator
1818.2,4.000,0001,4,2,0.950,kick
1931.8,4.250,0000,0,4,1.000,unknown
2045.5,4.500,0100,4,3,0.880,snare
2159.1,4.750,0000,0,4,1.000,unknown
2272.7,5.000,0001,4,2,0.920,kick
2386.4,5.250,0000,0,4,1.000,unknown
2500.0,5.500,1000,4,3,0.850,snare
2613.6,5.750,0000,0,4,1.000,unknown
2727.3,6.000,0001,4,2,0.900,kick
2840.9,6.250,0000,0,4,1.000,unknown
2954.5,6.500,0100,4,3,0.830,snare
3068.2,6.750,0000,0,4,1.000,unknown
3181.8,7.000,1001,4,2,0.910,kick
3295.5,7.250,0000,0,4,1.000,unknown
3409.1,7.500,1000,4,3,0.800,snare
3522.7,7.750,0000,0,4,1.000,unknown
3636.4,8.000,",",-1,-1,1.000,separator
3636.4,8.000,1100,4,2,0.900,kick
3750.0,8.250,0000,0,4,1.000,unknown
3863.6,8.500,0011,4,3,0.800,snare
3977.3,8.750,0000,0,4,1.000,unknown
4090.9,9.000,1100,4,2,0.900,kick
4204.5,9.250,0000,0,4,1.000,unknown
4318.2,9.500,0011,4,3,0.800,snare
4431.8,9.750,0000,0,4,1.000,unknown
4545.5,10.000,1100,4,2,0.900,kick
4659.1,10.250,0000,0,4,1.000,unknown
4772.7,10.500,0011,4,3,0.800,snare
4886.4,10.750,0000,0,4,1.000,unknown
5000.0,11.000,1100,4,2,0.900,kick
5113.6,11.250,0000,0,4,1.000,unknown
5227.3,11.500,0011,4,3,0.800,snare
5340.9,11.750,0000,0,4,1.000,unknown
5454.5,12.000,",",-1,-1,1.000,separator
5454.5,12.000,1000,3,2,0.920,synth
5568.2,12.250,0100,3,4,0.890,synth
5681.8,12.500,0010,3,3,0.870,synth
5795.5,12.750,0001,3,4,0.850,synth
5909.1,13.000,1000,3,2,0.920,synth
6022.7,13.250,0100,3,4,0.890,synth
6136.4,13.500,0010,3,3,0.870,synth
6250.0,13.750,0001,3,4,0.850,synth
6363.6,14.000,1000,3,2,0.920,synth
6477.3,14.250,0100,3,4,0.890,synth
6590.9,14.500,0010,3,3,0.870,synth
6704.5,14.750,0001,3,4,0.850,synth
6818.2,15.000,1000,3,2,0.920,synth
6931.8,15.250,0100,3,4,0.890,synth
7045.5,15.500,0010,3,3,0.870,synth
7159.1,15.750,0001,3,4,0.850,synth
7272.7,16.000,",",-1,-1,1.000,separator
