Here is the StepMania beatmap for the given 20-second audio slice:
```yaml
time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.0,1000,4,2,0.95,kick
125.0,1.25,0000,0,3,1.0,unknown
250.0,1.5,0010,4,3,0.88,snare
375.0,1.75,0000,0,3,1.0,unknown
500.0,2.0,2000,4,2,1.0,bass
625.0,2.25,0000,0,3,1.0,unknown
750.0,2.5,0100,4,3,0.82,snare
875.0,2.75,0000,0,3,1.0,unknown
1000.0,3.0,3001,4,2,0.91,kick
1125.0,3.25,0000,0,3,1.0,unknown
1250.0,3.5,0000,0,3,1.0,unknown
1375.0,3.75,0000,0,3,1.0,unknown
1500.0,4.0,0000,0,2,1.0,unknown
1625.0,4.25,0000,0,3,1.0,unknown
1750.0,4.5,0010,4,3,0.79,snare
1875.0,4.75,0000,0,3,1.0,unknown
2000.0,5.0,"",0,2,1.0,separator
1280.0,6.25,0000,0,3,1.0,unknown
1430.0,7.50,0010,4,3,0.86,snare
1570.0,8.75,0000,0,3,1.0,unknown
1720.0,10.00,0010,4,3,0.84,snare
1870.0,11.25,0000,0,3,1.0,unknown
2030.0,12.50,0010,4,3,0.83,snare
2180.0,13.75,0000,0,3,1.0,unknown
2330.0,15.00,0010,4,3,0.82,snare
2480.0,16.25,0000,0,3,1.0,unknown
2630.0,17.50,0010,4,3,0.81,snare
2780.0,18.75,0000,0,3,1.0,unknown
2930.0,20.00,0010,4,3,0.80,snare
2240.0,11.25,0000,0,3,1.0,unknown
2400.0,12.50,0010,4,3,0.81,snare
2550.0,13.75,0000,0,3,1.0,unknown
2700.0,15.00,0010,4,3,0.80,snare
2850.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.79,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
2460.0,13.75,0010,4,3,0.80,snare
2640.0,15.00,0010,4,3,0.79,snare
2820.0,16.25,0000,0,3,1.0,unknown
2990.0,17.50,0010,4,3,0.80,snare
2280.0,12.50,0000,0,3,1.0,unknown
