time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,2,2,0.990,kick
113.6,0.250,0000,0,4,1.000,unknown
227.2,0.500,0100,4,3,0.950,snare
340.8,0.750,0000,0,4,1.000,unknown
454.5,1.000,1000,2,2,0.990,kick
568.1,1.250,0010,4,4,0.920,synth
681.7,1.500,0100,4,3,0.950,snare
795.3,1.750,0001,4,4,0.900,synth
909.0,2.000,1000,2,2,0.990,kick
1022.6,2.250,0000,0,4,1.000,unknown
1136.2,2.500,0100,4,3,0.950,snare
1249.8,2.750,0000,0,4,1.000,unknown
1363.4,3.000,1000,2,2,0.990,kick
1477.0,3.250,0010,4,4,0.940,synth
1590.6,3.500,0100,4,3,0.950,snare
1704.2,3.750,1001,4,4,0.980,kick
1817.8,4.000,",",-1,-1,1.000,separator
1931.4,4.250,0110,4,4,0.920,synth
2045.0,4.500,0000,0,4,1.000,unknown
2158.6,4.750,1000,2,2,0.990,kick
2272.2,5.000,0000,0,4,1.000,unknown
2385.8,5.250,0100,4,3,0.950,snare
2499.4,5.500,0000,0,4,1.000,unknown
2613.0,5.750,1010,4,4,0.940,synth
2726.6,6.000,0000,0,4,1.000,unknown
2840.2,6.250,0100,4,3,0.950,snare
2953.8,6.500,0001,4,4,0.910,synth
3067.4,6.750,1000,2,2,0.990,kick
3181.0,7.000,0000,0,4,1.000,unknown
3294.6,7.250,0101,4,4,0.960,kick
3408.2,7.500,0000,0,4,1.000,unknown
3521.8,7.750,1100,4,4,0.930,snare
3635.4,8.000,",",-1,-1,1.000,separator
45450.0,100.000,1111,4,2,0.980,kick
45563.6,100.250,0000,0,4,1.000,unknown
45677.2,100.500,1001,4,4,0.950,kick
45790.8,100.750,0110,4,4,0.940,snare
45904.4,101.000,1010,4,4,0.960,kick
46018.0,101.250,0000,0,4,1.000,unknown
46131.6,101.500,1100,4,4,0.930,snare
46245.2,101.750,0011,4,4,0.920,kick
46358.8,102.000,1001,4,4,0.970,kick
46472.4,102.250,0110,4,4,0.950,snare
46586.0,102.500,1010,4,4,0.940,kick
46699.6,102.750,0000,0,4,1.000,unknown
46813.2,103.000,1111,4,2,0.990,kick
46926.8,103.250,0101,4,4,0.920,snare
47040.4,103.500,1010,4,4,0.930,kick
47154.0,103.750,1111,4,4,0.980,snare
47267.6,104.000,",",-1,-1,1.000,separator
145450.0,320.000,1001,4,2,0.990,kick
145563.6,320.250,0000,0,4,1.000,unknown
145677.2,320.500,0110,4,3,0.950,snare
145790.8,320.750,0000,0,4,1.000,unknown
145904.4,321.000,1001,4,2,0.990,kick
146018.0,321.250,0000,0,4,1.000,unknown
146131.6,321.500,0110,4,3,0.950,snare
146245.2,321.750,0000,0,4,1.000,unknown
146358.8,322.000,1001,4,2,0.990,kick
146472.4,322.250,0000,0,4,1.000,unknown
146586.0,322.500,0110,4,3,0.950,snare
146699.6,322.750,0000,0,4,1.000,unknown
146813.2,323.000,1111,4,1,1.000,kick
146926.8,323.250,0000,0,4,1.000,unknown
147040.4,323.500,0000,0,4,1.000,unknown
147154.0,323.750,0000,0,4,1.000,unknown
147267.6,324.000,",",-1,-1,1.000,separator
